"Home","Startseite"
"Go to Home Page","Zur Startseite"
"Categories","Kategorien"
"Pages","Seiten"
"Products","Produkte"
"Stores","Shops"
"Top of page","Oben auf der Seite"
"Bottom of page","Unten auf der Seite"
"Both top and bottom","Oben und unten"
"Disable","Deaktivieren"
"Permanent only","Nur dauerhaft"
"All","Alle"
"Priority must be between 0 and 1","Priorität muss zwischen 0 und 1 liegen"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Für die automatische Sitemap-Generierung ist ein Cron-Job erforderlich. Die automatische Generierung kann unter System > Konfiguration > Katalog > Google Sitemap > Generierungseinstellungen konfiguriert werden. Cron für Magento läuft nicht. Um einen Cron-Job einzurichten, folgen Sie dem Link."
"Blog","Blog"
"Blog Home","Blog-Startseite"
"Brand","Marke"
"Knowledge Base","Wissensdatenbank"
"Landing Pages","Landing Pages"
"Search sitemap","Sitemap durchsuchen"
"Search","Suchen"
"Search through sitemap items","Sitemap-Elemente durchsuchen"
"Visit %1 store","Shop %1 besuchen"
"View %1 page","Seite %1 anzeigen"
"Additional Links","Zusätzliche Links"
"Visit %1","Besuchen %1"
"View %1","Anzeigen %1"
"View category: %1","Kategorie anzeigen: %1"
"View product: %1","Produkt anzeigen: %1"
"Nothing to show, please change a search query","Nichts anzuzeigen, bitte Suchanfrage ändern"
"Extended sitemap","Erweiterte Sitemap"
"General sitemap settings","Allgemeine Sitemap-Einstellungen"
"Basic configuration options that affect both frontend and XML sitemaps.","Grundlegende Konfigurationsoptionen, die sowohl Frontend- als auch XML-Sitemaps betreffen."
"Ignore CMS pages","CMS-Seiten ignorieren"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Seiten auswählen, die in keiner Sitemap erscheinen sollen. Nützlich für Anmelde-, Registrierungs- und andere Hilfsseiten."
"Include SEO rewrites in sitemap","SEO-Umschreibungen in Sitemap einbeziehen"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Wenn aktiviert, werden alle SEO-Umschreibungs-URLs mit INDEX FOLLOW Meta-Robots in die Sitemap aufgenommen. Das eingeschlossene Linkmuster darf kein Aktionsname sein oder Platzhalterzeichen enthalten. Für eine Frontend-Sitemap ist das <b>Titel</b>-Feld erforderlich."
"Exclude redirects from sitemap","Weiterleitungen aus Sitemap ausschließen"
