"Conditions","Condições"
"Wrong request.","Requisição incorreta."
"Rich snippet extender has been deleted.","O extensor de rich snippet foi excluído."
"Edit rich snippet extender","Editar extensor de rich snippet"
"Rich snippet extender with ID ""%1"" does not exist.","O extensor de rich snippet com ID ""%1"" não existe."
"Rich snippet extenders","Extensores de rich snippet"
"New rich snippet extender","Novo extensor de rich snippet"
"No data to save.","Nenhum dado para salvar."
"Rich snippet extender no longer exists.","O extensor de rich snippet não existe mais."
"Incorrect JSON format","Formato JSON incorreto"
"Rich snippet extender has been saved.","O extensor de rich snippet foi salvo."
"Disabled","Desativado"
"Use description","Usar descrição"
"Use meta description","Usar meta descrição"
"No","Não"
"Yes, for all categories","Sim, para todas as categorias"
"Yes, only for non-filtered categories","Sim, apenas para categorias não filtradas"
"Full (OfferCatalog)","Completo (OfferCatalog)"
"Simple (ItemList)","Simples (ItemList)"
"Aggregate Product","Aggregate Product"
"Current page","Página atual"
"Entire category","Categoria inteira"
"Yes, for all landing pages","Sim, para todas as páginas de destino"
"Yes, only for non-filtered landing pages","Sim, apenas para páginas de destino não filtradas"
"Entire landing page","Página de destino inteira"
"Homepage only","Apenas a página inicial"
"All CMS pages","Todas as páginas CMS"
"Specific CMS pages","Páginas CMS específicas"
"Add from store information","Adicionar das informações da loja"
"Add manually","Adicionar manualmente"
"Default (from configuration)","Padrão (da configuração)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Usar descrição curta"
"Configure manually","Configurar manualmente"
"New for all products","Novo para todos os produtos"
"Kilograms (kg)","Quilogramas (kg)"
"Pounds (lb)","Libras (lb)"
"Grams (g)","Gramas (g)"
"Search in the catalog of products","Pesquisar no catálogo de produtos"
"Search in the blog articles","Pesquisar nos artigos do blog"
"Summary card","Cartão de resumo"
"Summary card with large image","Cartão de resumo com imagem grande"
"The rich snippet extender with ID ""%1"" doesn't exist.","O extensor de rich snippet com ID ""%1"" não existe."
"Edit","Editar"
"Delete","Excluir"
"Delete record with ID %1","Excluir registro com ID %1"
"Are you sure you want to delete this rich snippet extender?","Tem certeza de que deseja excluir este extensor de rich snippet?"
"Template variables","Variáveis do template"
"learn more","saiba mais"
"Double click on a variable to insert it into the field","Clique duas vezes em uma variável para inseri-la no campo"
"Learn more about template variables","Saiba mais sobre as variáveis do template"
"Rich snippets and OpenGraph","Rich snippets e OpenGraph"
"Product page","Página do produto"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configure rich snippets para páginas de produtos para melhorar a visibilidade nos mecanismos de busca. Essas configurações aprimoram como seus produtos aparecem nos resultados de pesquisa com informações adicionais como preços, disponibilidade e avaliações."
"Delete wrong snippets automatically","Excluir snippets incorretos automaticamente"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de produtos. Ajuda a manter um markup limpo e prevenir problemas de validação de schema."
"Enable rich snippet","Ativar rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Ativa o markup de dados estruturados para páginas de produtos. Este é o interruptor principal para todos os rich snippets relacionados a produtos."
"Item name length","Comprimento do nome do item"
"Maximum character length for item name in structured data.","Comprimento máximo de caracteres para o nome do item em dados estruturados."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","O valor máximo recomendado pelo Google é 150. Valores abaixo de 25 terão como padrão 150. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Item price","Preço do item"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Inclui informações de preço do produto em OpenGraph e Rich Snippets. Aviso: desativar isso removerá o preço dos dados estruturados e pode causar erros de validação no Google Rich Results, pois o preço é obrigatório para rich snippets de Produto válidos."
"Single price mode","Modo de preço único"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Quando ativado, usa o tipo schema.org Offer com um único valor de preço em vez do tipo AggregateOffer com faixas de preço. Isso muda os dados estruturados de agregação de múltiplas ofertas para uma representação de oferta única."
"Include price valid until","Incluir preço válido até"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Isso ajuda os mecanismos de busca a entender a validade temporal do preço e pode melhorar a precisão nos recursos de comparação de preços. Útil para preços promocionais, ofertas por tempo limitado ou estruturas de preços atualizadas regularmente."
"Item description","Descrição do item"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Controla qual campo de descrição do produto é usado em dados estruturados. Selecione a fonte mais adequada para informações completas do produto."
"Item description length","Comprimento da descrição do item"
"Maximum character length for item description in structured data.","Comprimento máximo de caracteres para a descrição do item em dados estruturados."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","O valor máximo recomendado pelo Google é 5000. Valores abaixo de 25 terão como padrão 5000. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Item image","Imagem do item"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Inclui imagens do produto em dados estruturados. Isso permite a representação visual dos produtos nos resultados de pesquisa e rich snippets."
"Item availability","Disponibilidade do item"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Mostra o status do inventário do produto em dados estruturados. Isso ajuda a comunicar os níveis de estoque a clientes potenciais diretamente nos resultados de pesquisa."
"Payment methods","Métodos de pagamento"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Lista os métodos de pagamento aceitos em dados estruturados. Isso fornece transparência sobre as opções de pagamento antes de os visitantes clicarem."
"Delivery methods","Métodos de entrega"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Inclui opções de envio e entrega em dados estruturados. Isso ajuda a definir as expectativas dos clientes em relação aos métodos de cumprimento de pedidos."
"Product category","Categoria do produto"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Exibe informações de categoria nos dados estruturados do produto. Isso ajuda a estabelecer o contexto de classificação do produto para os mecanismos de busca."
"Manufacturer part number","Número de peça do fabricante"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Inclui números de peça do fabricante em dados estruturados. Isso melhora a descoberta para pesquisas de produtos específicos por identificadores técnicos."
"Manufacturer part number attribute","Atributo de número de peça do fabricante"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Especifique qual atributo do produto contém os dados do número de peça do fabricante. O sistema lerá este atributo para preencher os dados estruturados."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Especifique qual atributo do produto contém informações de marca. Isso mapeia os dados de marca existentes para o markup estruturado."
"Model attribute","Atributo de modelo"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Especifique qual atributo do produto contém informações de modelo. Ajuda a identificar modelos de produtos específicos em dados estruturados."
"Color attribute","Atributo de cor"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Especifique qual atributo do produto contém informações de cor. Importante para variantes de produto e filtragem em resultados enriquecidos."
"Size attribute","Atributo de tamanho"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Especifique qual atributo do produto contém informações de tamanho. Relevante para vestuário e dados dimensionais do produto."
"Material attribute","Atributo de material"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Especifique qual atributo do produto contém informações de material (por exemplo, ""material"", ""tecido""). É emitido como uma propriedade direta de schema.org em Product."
"Pattern attribute","Atributo de padrão"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Especifique qual atributo do produto contém informações de padrão (por exemplo, ""padrão""). É emitido como uma propriedade direta de schema.org em Product."
"Weight unit","Unidade de peso"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Selecione a unidade de medida padrão usada para pesos de produtos. Garante uma representação consistente do peso em dados estruturados."
"Dimensions","Dimensões"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Ative as medições dimensionais em dados estruturados. Importante para produtos físicos onde o tamanho importa para os clientes."
"Unit","Unidade"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Especifique a unidade de medida para as dimensões do produto (por exemplo, polegadas, cm). Mantém a consistência na representação dimensional."
"Height attribute","Atributo de altura"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Especifique qual atributo do produto contém medidas de altura. Mapeia os dados de altura para o markup estruturado."
"Width attribute","Atributo de largura"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Especifique qual atributo do produto contém medidas de largura. Mapeia os dados de largura para o markup estruturado."
"Depth attribute","Atributo de profundidade"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Especifique qual atributo do produto contém medidas de profundidade. Mapeia os dados de profundidade para o markup estruturado."
"Product condition","Condição do produto"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indique se os produtos são novos, usados ou recondicionados. Isso é importante para marketplaces e revendedores."
"Condition attribute","Atributo de condição"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Especifique qual atributo do produto contém informações de condição. O sistema lerá este atributo para os dados de condição."
"New attribute value","Valor do atributo para novo"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é novo. Isso mapeia seus valores internos para os padrões de schema.org."
"Used attribute value","Valor do atributo para usado"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é usado. Isso mapeia seus valores internos para os padrões de schema.org."
"Refurbished attribute value","Valor do atributo para recondicionado"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é recondicionado. Isso mapeia seus valores internos para os padrões de schema.org."
"Damaged attribute value","Valor do atributo para danificado"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto está danificado. Isso mapeia seus valores internos para os padrões de schema.org."
"Individual review markup","Markup de avaliações individuais"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Inclua markup para cada avaliação individual do produto. Isso permite uma exibição rica do conteúdo das avaliações nos resultados de pesquisa além das classificações agregadas."
"Add rich snippets for product variants","Adicionar rich snippets para variantes de produto"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Inclua dados estruturados para variações de produto como diferentes cores ou tamanhos. Isso ajuda os mecanismos de busca a entender sua oferta completa de produtos."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Configuração GTIN:</u></strong>"
"GTIN-8 attribute","Atributo GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Especifique qual atributo contém códigos GTIN/EAN de 8 dígitos. Importante para a identificação internacional de produtos."
"GTIN-12 attribute","Atributo GTIN-12"
