"Add new link","添加新链接"
"Import/Export links","导入/导出链接"
"[deleted]","[已删除]"
"All store views","所有商店视图"
"There is no sample file for this entity.","此实体没有示例文件。"
"Unable to create export file.","无法创建导出文件。"
"Unable to send export file.","无法发送导出文件。"
"Cross-links","交叉链接"
"%1 records were inserted or updated","已插入或更新 %1 条记录"
"New link","新链接"
"Item was successfully deleted","项目已成功删除"
"Edit link '%1'","编辑链接 '%1'"
"The link does not exist.","该链接不存在。"
"Please select item(s)","请选择项目"
"Total of %1 record(s) were successfully deleted","共 %1 条记录已成功删除"
"Total of %1 record(s) were successfully disabled","共 %1 条记录已成功禁用"
"Total of %1 record(s) were successfully enabled","共 %1 条记录已成功启用"
"Link was successfully saved","链接已成功保存"
"Unable to find link to save","找不到可保存的链接"
"First","第一个"
"Last","最后一个"
"Random","随机"
"CMS page","CMS页面"
"CMS block","CMS块"
"Category description","分类描述"
"Product short description","产品简短描述"
"Product full description","产品完整描述"
"Product attributes","产品属性"
"SEO description","SEO描述"
"Blog MX post content","Blog MX文章内容"
"Mageplaza Blog post content","Mageplaza Blog文章内容"
"_self (in current window)","_self (在当前窗口)"
"_blank (in new window)","_blank (在新窗口)"
"_self (in own frameset)","_self (在自身框架集)"
"_top (in full current browser window)","_top (在完整浏览器窗口)"
"Back","返回"
"Delete","删除"
"Are you sure you want to do this?","您确定要执行此操作吗？"
"Reset","重置"
"Resets input fields values","重置输入字段的值"
"Save and continue edit","保存并继续编辑"
"Save","保存"
"Edit","编辑"
"SEO Autolink Import","SEO自动链接导入"
"Import links (.csv)","导入链接 (.csv)"
"Import links","导入链接"
"This is a required field.","此为必填字段。"
"Download example CSV file for autolink import","下载自动链接导入的CSV示例文件"
"Example of CSV file","CSV文件示例"
"SEO Autolink Export","SEO自动链接导出"
"Export links (.csv)","导出链接 (.csv)"
"Export links","导出链接"
"Cross-links settings","交叉链接设置"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","配置交叉链接在整个网站内容中的行为，以增强内部链接结构。"
"Allowed areas for cross-links","交叉链接允许的区域"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","选择应自动插入交叉链接的特定内容区域。限制在相关区域可提高页面加载性能。"
"Restrict link placement in tags","限制在标签中放置链接"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","指定不应插入链接的HTML标签（例如h1、h2、a、strong）。每行输入一个标签，不含括号。"
"Prevent adding cross-links on pages","防止在页面上添加交叉链接"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","输入应禁用交叉链接的URL模式（每行一个）。使用*作为通配符（例如catalog/product/*或*/checkout）。"
"Template paths for link insertion","链接插入的模板路径"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","指定应插入链接的模板文件路径（每行一个）。注意：由于内存限制，超过1000个HTML标签的模板处理将失败。"
"Max number of links per page","每页最大链接数"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","设置每页自动生成的交叉链接最大数量。较低的值可以改善页面加载时间并防止过度优化。"
"Avoid duplicate URLs in cross-links","避免交叉链接中的重复URL"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","启用后，如果多个关键词指向同一URL，则只有第一次出现的会被链接。这可以防止重复链接并改善页面加载性能。"
"General information","基本信息"
"Keyword","关键词"
"URL","URL"
"URL target","URL目标"
"URL title","URL标题"
"Nofollow","Nofollow"
"Number of substitutions","替换数量"
"Sort order","排序顺序"
"Occurrence","出现次数"
"Is active","是否启用"
"Active from","启用开始日期"
"Active to","启用结束日期"
"Visible in store view","在商店视图中可见"
"Change status","更改状态"
"Active","活跃"
"Inactive","非活跃"
"Delete items","删除项目"
"Are you sure you want to delete the selected items?","您确定要删除所选项目吗？"
"ID","ID"
"Store view","商店视图"
"Status","状态"
"Is nofollow","Nofollow"
"Max replacements","最大替换数"
"Link type","链接类型"
"Entity ID","实体ID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","请输入产品ID或分类ID。插入链接时，该实体的当前URL将自动解析。"
"Custom URL","自定义URL"
"Product by ID","按ID指定产品"
"Category by ID","按ID指定分类"
"URL is required for custom URL links.","自定义URL链接需要填写URL。"
"Entity ID is required for product/category links.","产品/分类链接需要填写实体ID。"
