"Conditions","Podmínky"
"Wrong request.","Nesprávný požadavek."
"Rich snippet extender has been deleted.","Rozšiřovač rozšířeného snippetu byl smazán."
"Edit rich snippet extender","Upravit rozšiřovač rozšířeného snippetu"
"Rich snippet extender with ID ""%1"" does not exist.","Rozšiřovač rozšířeného snippetu s ID ""%1"" neexistuje."
"Rich snippet extenders","Rozšiřovače rozšířených snippetů"
"New rich snippet extender","Nový rozšiřovač rozšířeného snippetu"
"No data to save.","Žádná data k uložení."
"Rich snippet extender no longer exists.","Rozšiřovač rozšířeného snippetu již neexistuje."
"Incorrect JSON format","Nesprávný formát JSON"
"Rich snippet extender has been saved.","Rozšiřovač rozšířeného snippetu byl uložen."
"Disabled","Zakázáno"
"Use description","Použít popis"
"Use meta description","Použít meta popis"
"No","Ne"
"Yes, for all categories","Ano, pro všechny kategorie"
"Yes, only for non-filtered categories","Ano, pouze pro nefiltrované kategorie"
"Full (OfferCatalog)","Plný (OfferCatalog)"
"Simple (ItemList)","Jednoduchý (ItemList)"
"Aggregate Product","Souhrnný produkt"
"Current page","Aktuální stránka"
"Entire category","Celá kategorie"
"Yes, for all landing pages","Ano, pro všechny vstupní stránky"
"Yes, only for non-filtered landing pages","Ano, pouze pro nefiltrované vstupní stránky"
"Entire landing page","Celá vstupní stránka"
"Homepage only","Pouze domovská stránka"
"All CMS pages","Všechny CMS stránky"
"Specific CMS pages","Konkrétní CMS stránky"
"Add from store information","Přidat z informací o obchodě"
"Add manually","Přidat ručně"
"Default (from configuration)","Výchozí (z konfigurace)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Použít krátký popis"
"Configure manually","Nakonfigurovat ručně"
"New for all products","Nový pro všechny produkty"
"Kilograms (kg)","Kilogramy (kg)"
"Pounds (lb)","Libry (lb)"
"Grams (g)","Gramy (g)"
"Search in the catalog of products","Hledat v katalogu produktů"
"Search in the blog articles","Hledat v článcích blogu"
"Summary card","Souhrnná karta"
"Summary card with large image","Souhrnná karta s velkým obrázkem"
"The rich snippet extender with ID ""%1"" doesn't exist.","Rozšiřovač rozšířeného snippetu s ID ""%1"" neexistuje."
"Edit","Upravit"
"Delete","Smazat"
"Delete record with ID %1","Smazat záznam s ID %1"
"Are you sure you want to delete this rich snippet extender?","Opravdu chcete smazat tento rozšiřovač rozšířeného snippetu?"
"Template variables","Proměnné šablony"
"learn more","zjistit více"
"Double click on a variable to insert it into the field","Dvojklikem na proměnnou ji vložíte do pole"
"Learn more about template variables","Zjistit více o proměnných šablony"
"Rich snippets and OpenGraph","Rozšířené snippety a OpenGraph"
"Product page","Stránka produktu"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Nakonfigurujte rozšířené snippety pro stránky produktů pro zlepšení viditelnosti ve vyhledávačích. Tato nastavení vylepšují zobrazení vašich produktů ve výsledcích vyhledávání s dalšími informacemi, jako jsou ceny, dostupnost a recenze."
"Delete wrong snippets automatically","Automaticky mazat nesprávné snippety"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Automaticky odstraňuje nesprávná strukturovaná data ze stránek produktů. Pomáhá udržovat čistou strukturu a předcházet problémům s validací schématu."
"Enable rich snippet","Povolit rozšířený snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Aktivuje strukturovanou datovou strukturu pro stránky produktů. Toto je hlavní přepínač pro všechny rozšířené snippety týkající se produktů."
"Item name length","Délka názvu položky"
"Maximum character length for item name in structured data.","Maximální délka znaků pro název položky ve strukturovaných datech."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Maximální hodnota doporučená Googlem je 150. Hodnoty pod 25 budou výchozí na 150. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Item price","Cena položky"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Zahrnuje informace o ceně produktu do OpenGraph a rozšířených snippetů. Upozornění: deaktivace tohoto odstraní cenu ze strukturovaných dat a může způsobit chyby validace Google Rich Results, protože cena je vyžadována pro platné rozšířené snippety produktů."
"Single price mode","Režim jedné ceny"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Pokud je povoleno, používá typ schema.org Offer s jednou hodnotou ceny místo typu AggregateOffer s rozsahy cen. Tím se změní strukturovaná data z agregace více nabídek na reprezentaci jedné nabídky."
"Include price valid until","Zahrnout platnost ceny do"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","To pomáhá vyhledávačům pochopit časovou platnost cen a může zlepšit přesnost funkcí porovnání cen. Užitečné pro propagační ceny, časově omezené nabídky nebo pravidelně aktualizované cenové struktury."
"Item description","Popis položky"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Řídí, které pole popisu produktu se používá ve strukturovaných datech. Vyberte nejvhodnější zdroj pro komplexní informace o produktu."
"Item description length","Délka popisu položky"
"Maximum character length for item description in structured data.","Maximální délka znaků pro popis položky ve strukturovaných datech."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Maximální hodnota doporučená Googlem je 5000. Hodnoty pod 25 budou výchozí na 5000. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Item image","Obrázek položky"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Zahrnuje obrázky produktů do strukturovaných dat. To umožňuje vizuální reprezentaci produktů ve výsledcích vyhledávání a rozšířených snippetech."
"Item availability","Dostupnost položky"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Zobrazuje stav zásob produktu ve strukturovaných datech. To pomáhá komunikovat úrovně zásob potenciálním zákazníkům přímo ve výsledcích vyhledávání."
"Payment methods","Způsoby platby"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Uvádí přijímané způsoby platby ve strukturovaných datech. To poskytuje transparentnost ohledně platebních možností, než návštěvníci kliknou dál."
"Delivery methods","Způsoby doručení"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Zahrnuje možnosti přepravy a doručení do strukturovaných dat. To pomáhá nastavit očekávání zákazníků ohledně metod plnění objednávek."
"Product category","Kategorie produktu"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Zobrazuje informace o kategorii ve strukturovaných datech produktu. To pomáhá etablovat kontext klasifikace produktů pro vyhledávače."
"Manufacturer part number","Katalogové číslo výrobce"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Zahrnuje katalogová čísla výrobce do strukturovaných dat. To zlepšuje nalezitelnost při specifickém vyhledávání produktů podle technických identifikátorů."
"Manufacturer part number attribute","Atribut katalogového čísla výrobce"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Zadejte, který atribut produktu obsahuje data katalogového čísla výrobce. Systém přečte tento atribut pro vyplnění strukturovaných dat."
"Brand attribute","Atribut značky"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Zadejte, který atribut produktu obsahuje informace o značce. Tím se mapují existující data o značce na strukturovanou strukturu."
"Model attribute","Atribut modelu"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Zadejte, který atribut produktu obsahuje informace o modelu. Pomáhá identifikovat konkrétní modely produktů ve strukturovaných datech."
"Color attribute","Atribut barvy"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Zadejte, který atribut produktu obsahuje informace o barvě. Důležité pro varianty produktů a filtrování v rozšířených výsledcích."
"Size attribute","Atribut velikosti"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Zadejte, který atribut produktu obsahuje informace o velikosti. Relevantní pro oblečení a rozměrová data produktů."
"Material attribute","Atribut materiálu"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Zadejte, který atribut produktu obsahuje informace o materiálu (např. ""materiál"", ""látka""). Výstupem je přímá vlastnost schema.org na Product."
"Pattern attribute","Atribut vzoru"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Zadejte, který atribut produktu obsahuje informace o vzoru (např. ""vzor""). Výstupem je přímá vlastnost schema.org na Product."
"Weight unit","Jednotka hmotnosti"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Vyberte standardní měřicí jednotku používanou pro hmotnosti produktů. Zajišťuje konzistentní reprezentaci hmotnosti ve strukturovaných datech."
"Dimensions","Rozměry"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Povolte rozměrové měření ve strukturovaných datech. Důležité pro fyzické produkty, kde záleží na velikosti zákazníkům."
"Unit","Jednotka"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Zadejte měřicí jednotku pro rozměry produktu (např. palce, cm). Udržuje konzistenci v reprezentaci rozměrů."
"Height attribute","Atribut výšky"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Zadejte, který atribut produktu obsahuje měření výšky. Mapuje data o výšce na strukturovanou strukturu."
"Width attribute","Atribut šířky"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Zadejte, který atribut produktu obsahuje měření šířky. Mapuje data o šířce na strukturovanou strukturu."
"Depth attribute","Atribut hloubky"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Zadejte, který atribut produktu obsahuje měření hloubky. Mapuje data o hloubce na strukturovanou strukturu."
"Product condition","Stav produktu"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Uveďte, zda jsou produkty nové, použité nebo repasované. To je důležité pro tržiště a prodejce."
"Condition attribute","Atribut stavu"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Zadejte, který atribut produktu obsahuje informace o stavu. Systém přečte tento atribut pro data o stavu."
"New attribute value","Hodnota atributu nový"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Zadejte přesnou hodnotu atributu označující, že produkt je nový. Tím se mapují interní hodnoty na standardy schema.org."
"Used attribute value","Hodnota atributu použitý"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Zadejte přesnou hodnotu atributu označující, že produkt je použitý. Tím se mapují interní hodnoty na standardy schema.org."
"Refurbished attribute value","Hodnota atributu repasovaný"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Zadejte přesnou hodnotu atributu označující, že produkt je repasovaný. Tím se mapují interní hodnoty na standardy schema.org."
"Damaged attribute value","Hodnota atributu poškozený"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Zadejte přesnou hodnotu atributu označující, že produkt je poškozený. Tím se mapují interní hodnoty na standardy schema.org."
"Individual review markup","Struktura jednotlivé recenze"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Zahrňte strukturu pro každou jednotlivou recenzi produktu. To umožňuje bohaté zobrazení obsahu recenzí ve výsledcích vyhledávání nad rámec souhrnného hodnocení."
"Add rich snippets for product variants","Přidat rozšířené snippety pro varianty produktů"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Zahrňte strukturovaná data pro varianty produktů, jako jsou různé barvy nebo velikosti. To pomáhá vyhledávačům porozumět vašemu komplexnímu nabídkovému portfoliu produktů."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Konfigurace GTIN:</u></strong>"
"GTIN-8 attribute","Atribut GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Zadejte, který atribut obsahuje 8místné kódy GTIN/EAN. Důležité pro mezinárodní identifikaci produktů."
"GTIN-12 attribute","Atribut GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Zadejte, který atribut obsahuje 12místné kódy GTIN/UPC. Standard pro identifikaci produktů v Severní Americe."
"GTIN-13 attribute","Atribut GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Zadejte, který atribut obsahuje 13místné kódy GTIN/EAN. Běžný mezinárodní formát identifikace produktů."
"GTIN-14 attribute","Atribut GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Zadejte, který atribut obsahuje 14místné kódy GTIN. Používá se pro úrovně balení při identifikaci dodavatelského řetězce."
"Category page","Stránka kategorie"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Řiďte, jak jsou stránky kategorií reprezentovány ve výsledcích vyhledávání. Tato nastavení pomáhají vyhledávačům lépe porozumět struktuře kategorií a zlepšit zobrazení informací o kategoriích ve výsledcích vyhledávání."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Automaticky odstraňuje nesprávná strukturovaná data ze stránek kategorií. Pomáhá udržovat čistou strukturu a předcházet problémům s validací schématu."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Aktivuje strukturovanou datovou strukturu pro stránky kategorií. To umožňuje vylepšené zobrazení výsledků vyhledávání pro výpisy kategorií."
"Category description","Popis kategorie"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Řídí, které pole popisu se používá ve strukturovaných datech kategorie. Vyberte zdroj, který nejlépe reprezentuje obsah vaší kategorie."
"Category image","Obrázek kategorie"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Zahrnuje miniatury obrázků kategorií do strukturovaných dat. Pomáhá poskytnout vizuální kontext při vyhledávání a sdílení na sociálních sítích."
"Product offers","Nabídky produktů"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Řídí, zda a jak jsou informace o produktech zahrnuty do strukturovaných dat kategorie. To může zobrazovat dostupné produkty v kategoriích. Upozornění: Režim ""Celá kategorie"" výstupem jsou všechny produkty bez ohledu na aktuální stránku, což porušuje pokyny Google vyžadující, aby strukturovaná data odrážela viditelný obsah stránky, může být považována za spamovou strukturu a může výrazně prodloužit dobu načítání stránky pro velké kategorie."
"Product offers format","Formát nabídek produktů"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Určuje, jak jsou data produktů formátována v rámci strukturovaných dat kategorie. ""Souhrnný produkt"" výstupem je jedno schéma Product s rozsahem cen z celé kategorie."
"Brand name","Název značky"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Název značky pro souhrnné schéma Product. Nechte prázdné pro použití názvu obchodu nebo názvu značky pro stránky značky."
"Include aggregate rating","Zahrnout souhrnné hodnocení"
"Include aggregated rating from all products in category for aggregate Product schema.","Zahrňte souhrnné hodnocení ze všech produktů v kategorii pro souhrnné schéma Product."
"Exclude products with price 0","Vyloučit produkty s cenou 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Pokud je povoleno, produkty s cenou 0 budou vyloučeny z výpočtu souhrnné nabídky. To zabrání zobrazení 0 jako lowPrice, když kategorie obsahuje bezplatné produkty."
"Enable OpenGraph","Povolit OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Aktivuje metadata OpenGraph pro stránky kategorií. To řídí, jak se stránky kategorií zobrazují při sdílení na platformách sociálních médií."
"CMS page","CMS stránka"
