"AI Commerce Read Layer","Lớp đọc AI Commerce"
"Secomm","Secomm"
"General","Chung"
"Enable AI Read Endpoints (/ai/...)","Bật endpoint đọc AI (/ai/...)"
"When disabled, all /ai/* endpoints return 404. Read-only GET/HEAD endpoints for AI agents; no cart, checkout, customer or order data.","Khi tắt, mọi endpoint /ai/* trả về 404. Đây là endpoint chỉ đọc GET/HEAD dành cho AI agent; không có dữ liệu giỏ hàng, thanh toán, khách hàng hay đơn hàng."
"Maximum Page Size","Số phần tử tối đa mỗi trang"
"Server-side cap for the page_size parameter of /ai/catalog/search (1-50).","Giới hạn phía máy chủ cho tham số page_size của /ai/catalog/search (1-50)."
"Filterable Attribute Allowlist","Danh sách thuộc tính lọc được phép"
"Attribute codes (comma-separated) that agents may filter by. The attribute must also be storefront filterable; everything else is rejected.","Mã thuộc tính (phân tách bằng dấu phẩy) mà agent được phép lọc. Thuộc tính còn phải là filterable ở storefront; mọi thuộc tính khác đều bị từ chối."
"Category Tree Depth","Độ sâu cây danh mục"
"Maximum depth of /ai/categories output below the store root (1-10).","Độ sâu tối đa của kết quả /ai/categories tính từ gốc cửa hàng (1-10)."
"Cache","Bộ nhớ đệm"
"Cache Lifetime (seconds)","Thời gian bộ nhớ đệm (giây)"
"0 = cache disabled, regenerate every request.","0 = tắt bộ nhớ đệm, tạo lại nội dung ở mỗi yêu cầu."
"Secomm AI Commerce Read Layer","Secomm AI Commerce Read Layer"
"Invalid store code.","Mã cửa hàng không hợp lệ."
"Invalid request parameters.","Tham số yêu cầu không hợp lệ."
"Resource not found.","Không tìm thấy tài nguyên."
"Method not allowed.","Phương thức không được phép."
"Search is temporarily unavailable.","Tìm kiếm tạm thời không khả dụng."
"Internal error.","Lỗi hệ thống."
