Attribute,السمة
"Enable SEO URL","تفعيل رابط SEO"
"URL Alias","الاسم البديل للرابط"
"SEO Filters","فلاتر SEO"
"SEO Filters configuration is not available for this attribute","إعدادات فلاتر SEO غير متاحة لهذه السمة"
"All (%1) attribute and option aliases were removed.","تمت إزالة جميع (%1) الأسماء البديلة للسمات والخيارات."
"Use Default","استخدام الإعداد الافتراضي"
Enabled,مفعّل
Disabled,معطّل
"Do not use a separator [allweather]","عدم استخدام فاصل [allweather]"
"Use ""_"" as a separator [all_weather]","استخدام ""_"" كفاصل [all_weather]"
"Use ""-"" as a separator [all-weather]","استخدام ""-"" كفاصل [all-weather]"
"Use capital letter as a separator [allWeather]","استخدام حرف كبير كفاصل [allWeather]"
"Store View Label","تسمية واجهة المتجر"
"Default (Admin) Label","التسمية الافتراضية (للمشرف)"
"Short: category/option1-option2-option3","قصير: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","طويل: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","قصير: category/option1/option2/option3"
"Short: category/option1_option2_option3","قصير: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","طويل: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","طويل: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","طويل: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","إعادة الكتابة ""%1"" موجودة مسبقًا أو غير متاحة. تم إنشاء إعادة كتابة جديدة ""%2""."
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","إعادة الكتابة ""%1"" موجودة مسبقًا لأحد خيارات الفلتر الإضافية. تم إنشاء إعادة كتابة جديدة ""%2""."
"Using the hyphen as a word separator has limitations.","استخدام الشرطة كفاصل بين الكلمات له قيود."
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","بما أن الشرطة تُستخدم كفاصل بين الخيارات، فإن الأسماء البديلة مثل: ""weight-height"" والكلمة المفردة ""weight"" قد لا يتم التعرف عليها بشكل صحيح من قِبل معالج مسار فلتر SEO."
"Seo Friendly Urls","روابط صديقة لمحركات البحث"
Option,خيار
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","يتم إنشاء الأسماء البديلة الصديقة لمحركات البحث تلقائيًا عند تعيين ""استخدام في التنقل الطبقي"" إلى قابل للفلترة."
"This is a required field.","هذا الحقل مطلوب."
Warning,تحذير
"Filter SEO URLs","روابط SEO للفلاتر"
"SEO friendly Layered Navigation URLs","روابط التنقل الطبقي الصديقة لمحركات البحث"
"Enable SEO Friendly URLs","تفعيل الروابط الصديقة لمحركات البحث"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","يقوم بتفعيل الروابط الصديقة لمحركات البحث للتنقل الطبقي. يعمل مع التنقل الطبقي الافتراضي لماجنتو أو Mirasvit فقط."
"URL Formats","تنسيقات الرابط"
"Select the URL format for filters.","اختر تنسيق الرابط للفلاتر."
"Separator for Filter Names","الفاصل لأسماء الفلاتر"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","اختر فاصلًا يوضع بين الكلمات في أسماء الفلاتر المركّبة. على سبيل المثال، ""all-weather"" مقابل ""allweather."""
"Use Prefix for Filters","استخدام بادئة للفلاتر"
"Optionally, add a prefix before filters in URLs to improve readability.","اختياريًا، أضف بادئة قبل الفلاتر في الروابط لتحسين سهولة القراءة."
"Rewrite Alias Source","مصدر الاسم البديل لإعادة الكتابة"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","حدّد مصدر الأسماء البديلة لإعادة كتابة الروابط. اختر بين استخدام تسمية واجهة المتجر أو التسمية الافتراضية لواجهة المتجر لضمان الاتساق عبر جميع الواجهات."
"%1 orphaned alias(es) removed.","تمت إزالة %1 اسم مستعار يتيم."
