"Page has links to broken page","Pagina heeft links naar een defecte pagina"
"Internal outlinks to 4xx","Interne uitgaande links naar 4xx"
"Page has links to broken resources","Pagina heeft links naar defecte bronnen"
"Linked broken resources","Gekoppelde defecte bronnen"
"Redirects linked to the page","Doorverwijzingen gekoppeld aan de pagina"
"200 page","200-pagina"
"Status Code","Statuscode"
"404 page","404-pagina"
"4xx page","4xx-pagina"
"H1 tag is missing or empty","H1-tag ontbreekt of is leeg"
"H1 tag","H1-tag"
"Page has more than one H1 tag","Pagina heeft meer dan één H1-tag"
"H1 tags","H1-tags"
"Duplicate of meta description","Duplicaat van metabeschrijving"
"URLs with the same meta descriptions","URL's met identieke metabeschrijvingen"
"The page doesn't have a meta description","De pagina heeft geen metabeschrijving"
"No pages with the identical meta description found","Geen pagina's gevonden met identieke metabeschrijving"
"Empty meta description","Lege metabeschrijving"
"Meta description too short","Metabeschrijving te kort"
"Meta description too long","Metabeschrijving te lang"
"Meta description length","Lengte van metabeschrijving"
"Meta description","Metabeschrijving"
"Duplicate of meta title","Duplicaat van metatitel"
"URLs with the same meta titles","URL's met identieke metatitels"
"The page doesn't have a meta title","De pagina heeft geen metatitel"
"No pages with the identical meta title found","Geen pagina's gevonden met identieke metatitel"
"Empty meta title","Lege metatitel"
"Meta title too short","Metatitel te kort"
"Meta title too long","Metatitel te lang"
"Meta title length","Lengte van metatitel"
"Meta title","Metatitel"
"SEO audit disabled in configurations","SEO-audit uitgeschakeld in configuraties"
"This job no longer exists.","Deze taak bestaat niet meer."
"Job #%1 - %2","Taak #%1 - %2"
"SEO audit","SEO-audit"
"See details","Details bekijken"
"Back to all jobs","Terug naar alle taken"
"Back to all issues","Terug naar alle problemen"
"See URL details","URL-details bekijken"
"URL","URL"
"Score","Score"
"Message","Bericht"
"Checks","Controles"
"Health score","Gezondheidsscore"
"Health score reflects the results of all checks performed on internal URLs of the website","De gezondheidsscore weerspiegelt de resultaten van alle controles uitgevoerd op interne URL's van de website"
"Issue distribution","Probleemverdeling"
"Issue Type","Probleemtype"
"Count","Aantal"
"Distribution","Verdeling"
"Error","Fout"
"Warning","Waarschuwing"
"Notice","Opmerking"
"Error distribution","Foutverdeling"
"Status","Status"
"Description","Beschrijving"
"Pages without errors","Pagina's zonder fouten"
"Pages with errors","Pagina's met fouten"
"General settings","Algemene instellingen"
"Core configuration settings that control the SEO audit functionality.","Kernconfigurate-instellingen die de SEO-auditfunctionaliteit beheren."
"Enable SEO audit","SEO-audit inschakelen"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Indien ingeschakeld voert de module geplande SEO-audits uit op basis van de configuratie. Uitschakelen pauzeert alle geautomatiseerde auditfunctionaliteit."
"Issue","Probleem"
"Crawled","Gecrawld"
"Errors","Fouten"
"Warnings","Waarschuwingen"
"Notices","Opmerkingen"
"ID","ID"
"Date","Datum"
"Duration","Duur"
"Total URLs crawled","Totale gecrawlde URL's"
"Pages","Pagina's"
"Resources","Bronnen"
"Resources with errors","Bronnen met fouten"
"Url details","URL-details"
"Url","URL"
"Url score","URL-score"
"Linked pages","Gekoppelde pagina's"
"Linked resources","Gekoppelde bronnen"
"Server load threshold (%)","Serverbelastingsdrempel (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","De crawler pauzeert wanneer de CPU-belasting deze waarde overschrijdt. Standaard is 80. Verlaag deze waarde op servers die gevoelig zijn voor belastingspieken."
"Crawl schedule","Crawl-schema"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Cron-expressie voor de crawlfrequentie. Standaard <code>*/30 * * * *</code> wordt elke 30 minuten uitgevoerd. Gebruik <code>0 2 * * *</code> voor eenmaal per dag om 2 uur."
"Crawl performance","Crawl-prestaties"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","Bepaalt hoe intensief de SEO-audit uw winkel crawlt. Lagere intensiteit vermindert de serverbelasting maar verlengt de crawltijd."
"Crawl intensity","Crawl-intensiteit"
"Set the crawl intensity. Custom allows per-field configuration below.","Stel de crawl-intensiteit in. Aangepast maakt configuratie per veld hieronder mogelijk."
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>Hoog — intensief crawlen</b>: geen vertraging tussen verzoeken, geschikt voor dedicated servers met vrije capaciteit.<br/><b>Gemiddeld — standaardmodus</b>: 200 ms vertraging, aanbevolen voor de meeste winkels.<br/><b>Laag — zacht crawlen</b>: 500 ms vertraging, voor gedeelde hosting of winkels met beperkte middelen.<br/><b>Aangepast — expertmodus</b>: alle crawl-instellingen handmatig configureren."
"High — intensive crawl","Hoog — intensief crawlen"
"Medium — default mode","Gemiddeld — standaardmodus"
"Low — soft crawl","Laag — zacht crawlen"
"Custom — expert mode","Aangepast — expertmodus"
"Custom intensity settings","Aangepaste intensiteitsinstellingen"
"Applies only when Crawl intensity is set to Custom.","Geldt alleen wanneer de crawl-intensiteit is ingesteld op Aangepast."
"Delay between requests (ms)","Vertraging tussen verzoeken (ms)"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","Wachttijd tussen opeenvolgende URL-verzoeken. Stel in op <code>0</code> voor geen vertraging, <code>500</code> voor een halve seconde."
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","Vertraging in milliseconden na elke gecrawlde URL. Vermindert piek-PHP-FPM-gelijktijdigheid op drukke winkels."
"Maximum URLs per cron run","Maximum URL's per Cron-uitvoering"
"The crawler also stops after 5 minutes regardless of this limit.","De crawler stopt ook na 5 minuten, ongeacht dit limiet."
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","Harde limiet voor het aantal gecrawlde URL's in één Cron-uitvoering. Stel in op <code>0</code> voor geen limiet (alleen tijdgebonden)."
"Exclude URL patterns","URL-patronen uitsluiten"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","Één pad of deelstring per regel. Elke URL die een vermeld patroon bevat, wordt overgeslagen. Voorbeeld: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>."
"Restart job after (days)","Taak herstarten na (dagen)"
"The audit job is force-restarted after this many days. Use this as a safety net for stores with more URLs than the crawler can process in one day.","De audittaak wordt na dit aantal dagen geforceerd herstart. Gebruik dit als veiligheidsmaatregel voor winkels met meer URL's dan de crawler op één dag kan verwerken."
"Product page is missing Product schema (JSON-LD)","Op de productpagina ontbreekt het Product-schema (JSON-LD)"
"Product schema","Product-schema"
"Not applicable","Niet van toepassing"
"Product schema found","Product-schema gevonden"
"Product schema not found","Product-schema niet gevonden"
"This product page has no Product (or ProductGroup) JSON-LD — it will not be eligible for Google rich results","Deze productpagina heeft geen Product- (of ProductGroup-)JSON-LD — hierdoor komt de pagina niet in aanmerking voor rich results van Google"
"Schema (JSON-LD) is missing properties Google requires","In het schema (JSON-LD) ontbreken eigenschappen die Google vereist"
"Schema quality","Schemakwaliteit"
"No recognized schema on this page","Geen herkend schema op deze pagina"
"All required properties present","Alle vereiste eigenschappen aanwezig"
"Some schema.org properties Google requires are missing or empty","Sommige schema.org-eigenschappen die Google vereist ontbreken of zijn leeg"
"Canonical tag is missing","Canonical-tag ontbreekt"
"Canonical","Canonical"
"Page has thin content","Pagina heeft dunne inhoud"
"Word count","Aantal woorden"
"%1 words","%1 woorden"
"Visible page content looks thin — consider adding more unique, substantive copy","De zichtbare pagina-inhoud lijkt dun — overweeg meer unieke, inhoudelijke tekst toe te voegen"
