"Conditions","الشروط"
"Wrong request.","طلب خاطئ."
"Rich snippet extender has been deleted.","تم حذف موسّع المقتطفات المنسقة."
"Edit rich snippet extender","تعديل موسّع المقتطفات المنسقة"
"Rich snippet extender with ID ""%1"" does not exist.","موسّع المقتطفات المنسقة بالمعرّف ""%1"" غير موجود."
"Rich snippet extenders","موسّعات المقتطفات المنسقة"
"New rich snippet extender","موسّع مقتطفات منسقة جديد"
"No data to save.","لا توجد بيانات للحفظ."
"Rich snippet extender no longer exists.","موسّع المقتطفات المنسقة لم يعد موجوداً."
"Incorrect JSON format","تنسيق JSON غير صحيح"
"Rich snippet extender has been saved.","تم حفظ موسّع المقتطفات المنسقة."
"Disabled","معطّل"
"Use description","استخدام الوصف"
"Use meta description","استخدام وصف ميتا"
"No","لا"
"Yes, for all categories","نعم، لجميع الفئات"
"Yes, only for non-filtered categories","نعم، للفئات غير المفلترة فقط"
"Full (OfferCatalog)","كامل (OfferCatalog)"
"Simple (ItemList)","بسيط (ItemList)"
"Aggregate Product","منتج مجمّع"
"Current page","الصفحة الحالية"
"Entire category","الفئة بأكملها"
"Yes, for all landing pages","نعم، لجميع الصفحات المقصودة"
"Yes, only for non-filtered landing pages","نعم، للصفحات المقصودة غير المفلترة فقط"
"Entire landing page","الصفحة المقصودة بأكملها"
"Homepage only","الصفحة الرئيسية فقط"
"All CMS pages","جميع صفحات CMS"
"Specific CMS pages","صفحات CMS محددة"
"Add from store information","إضافة من معلومات المتجر"
"Add manually","إضافة يدوياً"
"Default (from configuration)","افتراضي (من الإعدادات)"
"WebPage","صفحة ويب"
"Article","مقالة"
"BlogPosting","منشور مدونة"
"AboutPage","صفحة من نحن"
"ContactPage","صفحة التواصل"
"Use short description","استخدام الوصف المختصر"
"Configure manually","ضبط يدوياً"
"New for all products","جديد لجميع المنتجات"
"Kilograms (kg)","كيلوغرام (kg)"
"Pounds (lb)","رطل (lb)"
"Grams (g)","غرام (g)"
"Search in the catalog of products","البحث في كتالوج المنتجات"
"Search in the blog articles","البحث في مقالات المدونة"
"Summary card","بطاقة ملخص"
"Summary card with large image","بطاقة ملخص بصورة كبيرة"
"The rich snippet extender with ID ""%1"" doesn't exist.","موسّع المقتطفات المنسقة بالمعرّف ""%1"" غير موجود."
"Edit","تعديل"
"Delete","حذف"
"Delete record with ID %1","حذف السجل بالمعرّف %1"
"Are you sure you want to delete this rich snippet extender?","هل أنت متأكد من رغبتك في حذف موسّع المقتطفات المنسقة هذا؟"
"Template variables","متغيرات القالب"
"learn more","اعرف المزيد"
"Double click on a variable to insert it into the field","انقر نقراً مزدوجاً على متغير لإدراجه في الحقل"
"Learn more about template variables","اعرف المزيد حول متغيرات القالب"
"Rich snippets and OpenGraph","المقتطفات المنسقة وOpenGraph"
"Product page","صفحة المنتج"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","اضبط المقتطفات المنسقة لصفحات المنتج لتحسين ظهورها في محركات البحث. تعزز هذه الإعدادات طريقة ظهور منتجاتك في نتائج البحث بمعلومات إضافية كالتسعير والتوفر والتقييمات."
"Delete wrong snippets automatically","حذف المقتطفات الخاطئة تلقائياً"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","تزيل البيانات المنظمة غير الصحيحة تلقائياً من صفحات المنتج. تساعد في الحفاظ على ترميز نظيف ومنع مشاكل التحقق من schema."
"Enable rich snippet","تفعيل المقتطفات المنسقة"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","تُفعّل ترميز البيانات المنظمة لصفحات المنتج. هذا هو المفتاح الرئيسي لجميع المقتطفات المنسقة المتعلقة بالمنتج."
"Item name length","طول اسم العنصر"
"Maximum character length for item name in structured data.","الحد الأقصى لأحرف اسم العنصر في البيانات المنظمة."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","الحد الأقصى الموصى به من Google هو 150. القيم الأقل من 25 ستكون افتراضياً 150. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Item price","سعر العنصر"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","يتضمن معلومات تسعير المنتج في OpenGraph والمقتطفات المنسقة. تحذير: تعطيل هذا سيزيل السعر من البيانات المنظمة وقد يسبب أخطاء التحقق من Google Rich Results، حيث أن السعر مطلوب لمقتطفات المنتج الصالحة."
"Single price mode","وضع سعر واحد"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","عند التفعيل، يستخدم نوع Offer في schema.org بقيمة سعر واحدة بدلاً من نوع AggregateOffer بنطاقات أسعار. يغيّر هذا البيانات المنظمة من تجميع عروض متعددة إلى تمثيل عرض واحد."
"Include price valid until","تضمين تاريخ انتهاء صلاحية السعر"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","يساعد محركات البحث على فهم الصلاحية الزمنية للسعر ويمكن أن يحسن الدقة في ميزات مقارنة الأسعار. مفيد للتسعير الترويجي والعروض المحدودة بوقت أو هياكل التسعير المحدّثة بانتظام."
"Item description","وصف العنصر"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","يتحكم في حقل وصف المنتج المستخدم في البيانات المنظمة. اختر المصدر الأنسب للحصول على معلومات منتج شاملة."
"Item description length","طول وصف العنصر"
"Maximum character length for item description in structured data.","الحد الأقصى لأحرف وصف العنصر في البيانات المنظمة."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","الحد الأقصى الموصى به من Google هو 5000. القيم الأقل من 25 ستكون افتراضياً 5000. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Item image","صورة العنصر"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","يتضمن صور المنتج في البيانات المنظمة. يتيح هذا التمثيل البصري للمنتجات في نتائج البحث والمقتطفات المنسقة."
"Item availability","توفر العنصر"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","يعرض حالة مخزون المنتج في البيانات المنظمة. يساعد هذا في إيصال مستويات المخزون للعملاء المحتملين مباشرةً في نتائج البحث."
"Payment methods","طرق الدفع"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","يدرج طرق الدفع المقبولة في البيانات المنظمة. يوفر هذا شفافية بشأن خيارات الدفع قبل أن ينقر الزوار."
"Delivery methods","طرق التوصيل"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","يتضمن خيارات الشحن والتوصيل في البيانات المنظمة. يساعد هذا في تحديد توقعات العملاء بشأن طرق التنفيذ."
"Product category","فئة المنتج"
"Displays category information in product structured data. This helps establish product classification context for search engines.","يعرض معلومات الفئة في بيانات المنتج المنظمة. يساعد هذا في تأسيس سياق تصنيف المنتج لمحركات البحث."
"Manufacturer part number","رقم قطعة الشركة المصنّعة"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","يتضمن أرقام قطع الشركة المصنّعة في البيانات المنظمة. يحسن هذا قابلية الاكتشاف لعمليات البحث عن منتجات محددة بواسطة المعرّفات التقنية."
"Manufacturer part number attribute","سمة رقم قطعة الشركة المصنّعة"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","حدد سمة المنتج التي تحتوي على بيانات رقم قطعة الشركة المصنّعة. سيقرأ النظام هذه السمة لملء البيانات المنظمة."
"Brand attribute","سمة العلامة التجارية"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","حدد سمة المنتج التي تحتوي على معلومات العلامة التجارية. يعيّن هذا بيانات علامتك التجارية الموجودة إلى الترميز المنظم."
"Model attribute","سمة الطراز"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","حدد سمة المنتج التي تحتوي على معلومات الطراز. يساعد في تحديد طرازات المنتجات المحددة في البيانات المنظمة."
"Color attribute","سمة اللون"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","حدد سمة المنتج التي تحتوي على معلومات اللون. مهم لمتغيرات المنتج والتصفية في النتائج المنسقة."
"Size attribute","سمة الحجم"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","حدد سمة المنتج التي تحتوي على معلومات الحجم. ذات صلة بالملابس وبيانات المنتجات ذات الأبعاد."
"Material attribute","سمة المادة"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","حدد سمة المنتج التي تحتوي على معلومات المادة (مثل ""material"" أو ""fabric""). يُخرج كخاصية schema.org مباشرة على المنتج."
"Pattern attribute","سمة النمط"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","حدد سمة المنتج التي تحتوي على معلومات النمط (مثل ""pattern""). يُخرج كخاصية schema.org مباشرة على المنتج."
"Weight unit","وحدة الوزن"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","اختر وحدة القياس القياسية المستخدمة لأوزان المنتجات. يضمن تمثيلاً متسقاً للوزن في البيانات المنظمة."
"Dimensions","الأبعاد"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","تفعيل قياسات الأبعاد في البيانات المنظمة. مهم للمنتجات المادية التي يكون فيها الحجم مهماً للعملاء."
"Unit","الوحدة"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","حدد وحدة القياس لأبعاد المنتج (مثل بوصة، سم). يحافظ على الاتساق في تمثيل الأبعاد."
"Height attribute","سمة الارتفاع"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","حدد سمة المنتج التي تحتوي على قياسات الارتفاع. يعيّن بيانات الارتفاع إلى الترميز المنظم."
"Width attribute","سمة العرض"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","حدد سمة المنتج التي تحتوي على قياسات العرض. يعيّن بيانات العرض إلى الترميز المنظم."
"Depth attribute","سمة العمق"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","حدد سمة المنتج التي تحتوي على قياسات العمق. يعيّن بيانات العمق إلى الترميز المنظم."
"Product condition","حالة المنتج"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","أشر إلى ما إذا كانت المنتجات جديدة أو مستعملة أو مجدّدة. هذا مهم لأسواق البيع والموزعين."
"Condition attribute","سمة الحالة"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","حدد سمة المنتج التي تحتوي على معلومات الحالة. سيقرأ النظام هذه السمة لبيانات الحالة."
"New attribute value","قيمة السمة الجديدة"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","حدد قيمة السمة الدقيقة التي تشير إلى أن المنتج جديد. يعيّن هذا قيمك الداخلية إلى معايير schema.org."
"Used attribute value","قيمة سمة المستعمل"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","حدد قيمة السمة الدقيقة التي تشير إلى أن المنتج مستعمل. يعيّن هذا قيمك الداخلية إلى معايير schema.org."
"Refurbished attribute value","قيمة سمة المجدّد"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","حدد قيمة السمة الدقيقة التي تشير إلى أن المنتج مجدّد. يعيّن هذا قيمك الداخلية إلى معايير schema.org."
"Damaged attribute value","قيمة سمة التالف"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","حدد قيمة السمة الدقيقة التي تشير إلى أن المنتج تالف. يعيّن هذا قيمك الداخلية إلى معايير schema.org."
"Individual review markup","ترميز التقييم الفردي"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","تضمين ترميز لكل تقييم منتج فردي. يتيح هذا عرضاً منسقاً لمحتوى التقييم في نتائج البحث بما يتجاوز التقييمات المجمّعة."
"Add rich snippets for product variants","إضافة مقتطفات منسقة لمتغيرات المنتج"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","تضمين بيانات منظمة لمتغيرات المنتج كالألوان أو الأحجام المختلفة. يساعد هذا محركات البحث على فهم عرض منتجاتك الكامل."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>إعداد GTIN:</u></strong>"
"GTIN-8 attribute","سمة GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","حدد السمة التي تحتوي على رموز GTIN/EAN المكوّنة من 8 أرقام. مهم لتحديد هوية المنتج دولياً."
"GTIN-12 attribute","سمة GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","حدد السمة التي تحتوي على رموز GTIN/UPC المكوّنة من 12 رقماً. المعيار لتحديد هوية المنتج في أمريكا الشمالية."
"GTIN-13 attribute","سمة GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","حدد السمة التي تحتوي على رموز GTIN/EAN المكوّنة من 13 رقماً. تنسيق تعريف المنتج الدولي الشائع."
"GTIN-14 attribute","سمة GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","حدد السمة التي تحتوي على رموز GTIN المكوّنة من 14 رقماً. تُستخدم لمستويات التغليف في تحديد هوية سلسلة التوريد."
"Category page","صفحة الفئة"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","تحكّم في طريقة تمثيل صفحات الفئة في نتائج البحث. تساعد هذه الإعدادات محركات البحث على فهم بنية فئتك بشكل أفضل وتحسين عرض معلومات الفئة في نتائج البحث."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","تزيل البيانات المنظمة غير الصحيحة تلقائياً من صفحات الفئة. تساعد في الحفاظ على ترميز نظيف ومنع مشاكل التحقق من schema."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","تُفعّل ترميز البيانات المنظمة لصفحات الفئة. يتيح هذا عرض نتائج بحث محسّنة لقوائم الفئات."
"Category description","وصف الفئة"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","يتحكم في حقل الوصف المستخدم في بيانات الفئة المنظمة. اختر المصدر الأفضل تمثيلاً لمحتوى فئتك."
"Category image","صورة الفئة"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","يتضمن صور مصغرة للفئة في البيانات المنظمة. يساعد في توفير سياق بصري في البحث والمشاركة على وسائل التواصل الاجتماعي."
"Product offers","عروض المنتج"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","يتحكم في ما إذا كانت معلومات المنتج مضمّنة في بيانات الفئة المنظمة وكيفية ذلك. يمكن أن يُظهر المنتجات المتاحة ضمن الفئات. تحذير: يُخرج وضع ""الفئة بأكملها"" جميع المنتجات بغض النظر عن الصفحة الحالية، مما ينتهك إرشادات Google التي تتطلب أن تعكس البيانات المنظمة محتوى الصفحة المرئية، وقد يُعامل كترميز مزعج، ويمكن أن يزيد بشكل كبير من وقت تحميل الصفحة للفئات الكبيرة."
"Product offers format","تنسيق عروض المنتج"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","يحدد كيفية تنسيق بيانات المنتج ضمن بيانات الفئة المنظمة. تُخرج ""المنتج المجمّع"" مخطط منتج واحد بنطاق سعر من الفئة بأكملها."
"Brand name","اسم العلامة التجارية"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","اسم العلامة التجارية لمخطط المنتج المجمّع. اتركه فارغاً لاستخدام اسم المتجر أو اسم العلامة التجارية لصفحات العلامة التجارية."
"Include aggregate rating","تضمين التقييم المجمّع"
"Include aggregated rating from all products in category for aggregate Product schema.","تضمين التقييم المجمّع من جميع المنتجات في الفئة لمخطط المنتج المجمّع."
"Exclude products with price 0","استبعاد المنتجات ذات السعر 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","عند التفعيل، سيتم استبعاد المنتجات ذات السعر 0 من حساب العرض المجمّع. يمنع هذا ظهور أدنى سعر بالقيمة 0 عندما تحتوي الفئة على منتجات مجانية."
"Enable OpenGraph","تفعيل OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","تُفعّل بيانات OpenGraph الوصفية لصفحات الفئة. يتحكم هذا في طريقة ظهور صفحات الفئة عند مشاركتها على منصات التواصل الاجتماعي."
"CMS page","صفحة CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","إدارة المقتطفات المنسقة وبيانات OpenGraph لصفحات المحتوى الثابت. يساعد هذا محركات البحث على تفسير صفحاتك المعلوماتية بشكل صحيح ويحسن طريقة ظهورها عند مشاركتها على وسائل التواصل الاجتماعي."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","تزيل البيانات المنظمة غير الصحيحة تلقائياً من صفحات CMS. تساعد في الحفاظ على ترميز نظيف لصفحات المحتوى الثابت."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","تُفعّل ترميز البيانات المنظمة لصفحات CMS. يتيح هذا عرض نتائج بحث محسّنة مع أنواع schema.org كـWebPage وArticle وBlogPosting وغيرها."
"Default schema type","نوع schema الافتراضي"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","اختر نوع schema.org الافتراضي المستخدم لصفحات CMS عندما لا يكون هناك تجاوز لكل صفحة. يمكن للصفحات الفردية تجاوز هذا في محرر صفحة CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","تُفعّل بيانات OpenGraph الوصفية لصفحات CMS. يحسن هذا طريقة ظهور الصفحات الثابتة عند مشاركتها على المنصات الاجتماعية."
"Landing page","الصفحة المقصودة"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","تحكّم في طريقة تمثيل الصفحات المقصودة في نتائج البحث. تساعد هذه الإعدادات محركات البحث على فهم بنية صفحتك المقصودة بشكل أفضل وتحسين عرض معلوماتها في نتائج البحث. يعمل مع Mirasvit Landing Page فقط."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","تزيل البيانات المنظمة غير الصحيحة تلقائياً من الصفحات المقصودة. تساعد في الحفاظ على ترميز نظيف ومنع مشاكل التحقق من schema."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","تُفعّل ترميز البيانات المنظمة للصفحات المقصودة. يتيح هذا عرض نتائج بحث محسّنة لقوائم الصفحات المقصودة."
"Landing page description","وصف الصفحة المقصودة"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","يتحكم في حقل الوصف المستخدم في بيانات الصفحة المقصودة المنظمة. اختر المصدر الأفضل تمثيلاً لمحتوى صفحتك المقصودة."
"Landing page image","صورة الصفحة المقصودة"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","يتضمن صور مصغرة للصفحة المقصودة في البيانات المنظمة. يساعد في توفير سياق بصري في البحث والمشاركة الاجتماعية."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","يتحكم في ما إذا كانت معلومات المنتج مضمّنة في بيانات الصفحة المقصودة المنظمة وكيفية ذلك. يمكن أن يُظهر المنتجات المتاحة ضمن الصفحات المقصودة. تحذير: يُخرج وضع ""الصفحة المقصودة بأكملها"" جميع المنتجات بغض النظر عن الصفحة الحالية، مما ينتهك إرشادات Google، وقد يُعامل كترميز مزعج، ويمكن أن يزيد بشكل كبير من وقت تحميل الصفحة للفئات الكبيرة."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","يحدد كيفية تنسيق بيانات المنتج ضمن بيانات الصفحة المقصودة المنظمة. تُخرج ""المنتج المجمّع"" مخطط منتج واحد بنطاق سعر."
