"Template manager","Менеджер шаблонів"
"Rewrite manager","Менеджер перезаписів"
"Settings","Налаштування"
"Preview template","Попередній перегляд шаблону"
"SEO description","SEO-опис"
"Rewrite was removed","Перезапис видалено"
"Please select rewrite","Будь ласка, виберіть перезапис"
"This rewrite no longer exists.","Цей перезапис більше не існує."
"New rewrite","Новий перезапис"
"There is no sample file for this entity.","Для цієї сутності немає зразкового файлу."
"Unable to create export file.","Не вдалося створити файл експорту."
"Unable to send export file.","Не вдалося надіслати файл експорту."
"Import/Export rewrites","Імпорт/Експорт перезаписів"
"%1 records were inserted or updated","%1 записів вставлено або оновлено"
"Rewrite was saved.","Перезапис збережено."
"No data to save.","Немає даних для збереження."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Шаблон видалено"
"Please select template","Будь ласка, виберіть шаблон"
"Template was duplicated successfully.","Шаблон успішно продубльовано."
"This template no longer exists.","Цей шаблон більше не існує."
"New template","Новий шаблон"
"Template was saved.","Шаблон збережено."
"Disabled","Вимкнено"
"At the beginning","На початку"
"At the end","Наприкінці"
"At the beginning (add to the first page)","На початку (додати на першу сторінку)"
"At the end (add to the first page)","Наприкінці (додати на першу сторінку)"
"Category","Категорія"
"Post","Публікація"
"Tag","Тег"
"Author","Автор"
"Brand","Бренд"
"Open Chooser","Відкрити вибірник"
"Conditions combination","Комбінація умов"
"Filter Subselection","Підвибір фільтра"
"Category Attributes","Атрибути категорії"
"Product attributes","Атрибути товару"
"Page attributes","Атрибути сторінки"
"Blog Attributes","Атрибути блогу"
"Brand Attributes","Атрибути бренду"
"Landing Page Attributes","Атрибути лендінгової сторінки"
"Product attribute","Атрибут товару"
"is","дорівнює"
"is not","не дорівнює"
"equals or greater than","рівне або більше"
"equals or less than","рівне або менше"
"greater than","більше"
"less than","менше"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Якщо кількість застосованих фільтрів %1 %2, а %3 з цих умов виконуються:"
"Landing Page","Лендінгова сторінка"
"Page","Сторінка"
"Attribute set","Набір атрибутів"
"Product type","Тип товару"
"SEO Content","SEO Content"
"Is Category Page — %1","Сторінка категорії — %1"
"Is Landing Page — %1","Лендінгова сторінка — %1"
"Is Navigation Page — %1","Навігаційна сторінка — %1"
"Is Product Page — %1","Сторінка товару — %1"
"Is CMS page — %1","CMS-сторінка — %1"
"Is Blog Page — %1","Сторінка блогу — %1"
"Is Brand Page — %1","Сторінка бренду — %1"
"State","Стан"
"Applied Template — %1","Застосований шаблон — %1"
"Applied Rewrite — %1","Застосований перезапис — %1"
"Content","Контент"
"Content Sources","Джерела контенту"
"Page %1 | %2","Сторінка %1 | %2"
"%1 | Page %2","%1 | Сторінка %2"
"Tag: %1","Тег: %1"
"Back","Назад"
"Delete","Видалити"
"Are you sure you want to do this?","Ви впевнені, що хочете це зробити?"
"Save and continue edit","Зберегти та продовжити редагування"
"Save","Зберегти"
"Edit","Редагувати"
"Delete rewrite?","Видалити перезапис?"
"Default","За замовчуванням"
"Yes","Так"
"No","Ні"
"Bottom of the page","Внизу сторінки"
"Under custom template","Під власним шаблоном"
"Don't add automatically","Не додавати автоматично"
"Don't change","Не змінювати"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Умови"
"Conditions (leave blank for all elements, depending from rule type)","Умови (залиште порожнім для всіх елементів, залежно від типу правила)"
"Duplicate","Дублювати"
"Delete template?","Видалити шаблон?"
"Meta title","Мета-заголовок"
"Meta keywords","Мета-ключові слова"
"Meta description","Мета-опис"
"Title (H1)","Заголовок (H1)"
"Product short description","Короткий опис товару"
"Product Description","Опис товару"
"Category description","Опис категорії"
"Brand Description","Опис бренду"
"Under product list","Під списком товарів"
"Under short description","Під коротким описом"
"Under full description","Під повним описом"
"Categories","Категорії"
"Layered navigation","Фасетна навігація"
"Products","Товари"
"CMS pages","CMS-сторінки"
"Blog","Блог"
"Landing Pages","Лендінгові сторінки"
"SEO Rewrite Import","Імпорт SEO перезаписів"
"Import rewrites (.csv)","Імпортувати перезаписи (.csv)"
"Import rewrites","Імпортувати перезаписи"
"This is a required field.","Це обов'язкове поле."
"Example of CSV file","Приклад CSV-файлу"
"SEO Rewrite Export","Експорт SEO перезаписів"
"Export rewrites (.csv)","Експортувати перезаписи (.csv)"
"Export rewrites","Експортувати перезаписи"
"Please select the rule type","Будь ласка, виберіть тип правила"
"Preview not allowed for layered navigation templates","Попередній перегляд недоступний для шаблонів фасетної навігації"
"Preview not allowed for Blog templates","Попередній перегляд недоступний для шаблонів блогу"
"Preview not allowed for Brand templates","Попередній перегляд недоступний для шаблонів бренду"
"URL or Entity IDs separated by comma","URL або ID сутностей, розділені комою"
"Nothing to display","Нічого для відображення"
"Template variables","Змінні шаблону"
"learn more","дізнатись більше"
"Double click on a variable to insert it into the field","Двічі клацніть на змінну, щоб вставити її в поле"
"Learn more about template variables","Дізнатись більше про змінні шаблону"
"Template Preview","Попередній перегляд шаблону"
"Reload","Оновити"
"SEO Templates and rewrites","SEO-шаблони та перезаписи"
"General settings","Загальні налаштування"
"Configure basic behavior of meta tags processing across your store.","Налаштуйте базову поведінку обробки мета-тегів у вашому магазині."
"Apply store prefixes to custom titles","Застосовувати префікси магазину до власних заголовків"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Якщо увімкнено, префікс/суфікс заголовку магазину (налаштований у Контент > Дизайн > Конфігурація) буде автоматично застосовуватися до будь-яких власних мета-заголовків."
"Allow HTML in meta tags","Дозволити HTML у мета-тегах"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Якщо увімкнено, спеціальні символи HTML (&, <, > тощо) будуть збережені в мета-тегах замість екранування. Корисно для включення спеціальних символів або сутностей."
"Use existing meta tags","Використовувати існуючі мета-теги"
