"Add new link","Lägg till ny länk"
"Import/Export links","Importera/exportera länkar"
"[deleted]","[borttagen]"
"All store views","Alla butiksvyer"
"There is no sample file for this entity.","Det finns ingen exempelfil för den här entiteten."
"Unable to create export file.","Kunde inte skapa exportfilen."
"Unable to send export file.","Kunde inte skicka exportfilen."
"Cross-links","Korslänkar"
"%1 records were inserted or updated","%1 poster infogades eller uppdaterades"
"New link","Ny länk"
"Item was successfully deleted","Objektet togs bort"
"Edit link '%1'","Redigera länk '%1'"
"The link does not exist.","Länken finns inte."
"Please select item(s)","Välj objekt"
"Total of %1 record(s) were successfully deleted","Totalt %1 post(er) togs bort"
"Total of %1 record(s) were successfully disabled","Totalt %1 post(er) inaktiverades"
"Total of %1 record(s) were successfully enabled","Totalt %1 post(er) aktiverades"
"Link was successfully saved","Länken sparades"
"Unable to find link to save","Kunde inte hitta länk att spara"
"First","Första"
"Last","Sista"
"Random","Slumpmässig"
"CMS page","CMS-sida"
"CMS block","CMS-block"
"Category description","Kategoribeskrivning"
"Product short description","Kort produktbeskrivning"
"Product full description","Fullständig produktbeskrivning"
"Product attributes","Produktattribut"
"SEO description","SEO-beskrivning"
"Blog MX post content","Blog MX-inläggsinnehåll"
"Mageplaza Blog post content","Mageplaza Blog-inläggsinnehåll"
"_self (in current window)","_self (i aktuellt fönster)"
"_blank (in new window)","_blank (i nytt fönster)"
"_self (in own frameset)","_self (i eget ramverk)"
"_top (in full current browser window)","_top (i hela webbläsarfönstret)"
"Back","Tillbaka"
"Delete","Ta bort"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Reset","Återställ"
"Resets input fields values","Återställer indatafältens värden"
"Save and continue edit","Spara och fortsätt redigera"
"Save","Spara"
"Edit","Redigera"
"SEO Autolink Import","Import av SEO-autolänk"
"Import links (.csv)","Importera länkar (.csv)"
"Import links","Importera länkar"
"This is a required field.","Det här är ett obligatoriskt fält."
"Download example CSV file for autolink import","Ladda ned exempel-CSV-fil för autolänksimport"
"Example of CSV file","Exempel på CSV-fil"
"SEO Autolink Export","Export av SEO-autolänk"
"Export links (.csv)","Exportera länkar (.csv)"
"Export links","Exportera länkar"
"Cross-links settings","Inställningar för korslänkar"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Konfigurera hur korslänkning fungerar i ditt webbplatsinnehåll för att förbättra den interna länkstrukturen."
"Allowed areas for cross-links","Tillåtna områden för korslänkar"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Välj specifika innehållsområden där korslänkar ska infogas automatiskt. Att begränsa till relevanta områden förbättrar sidladdningsprestandan."
"Restrict link placement in tags","Begränsa länkplacering i taggar"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Ange HTML-taggar där länkar inte ska infogas (t.ex. h1, h2, a, strong). Ange en tagg per rad utan hakparenteser."
"Prevent adding cross-links on pages","Förhindra att korslänkar läggs till på sidor"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Ange URL-mönster (ett per rad) där korslänkar ska inaktiveras. Använd * som jokertecken (t.ex. catalog/product/* eller */checkout)."
"Template paths for link insertion","Mallsökvägar för länkinsertion"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Ange mallfilssökvägar (en per rad) där länkar ska infogas. Obs: Bearbetning misslyckas för mallar som överstiger 1000 HTML-taggar på grund av minnesbegränsningar."
"Max number of links per page","Maximalt antal länkar per sida"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Ange maximalt antal automatiskt genererade korslänkar per sida. Lägre värden kan förbättra sidladdningstiden och förhindra överoptimering."
"Avoid duplicate URLs in cross-links","Undvik duplicerade URL:er i korslänkar"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","När aktiverat länkas bara den första förekomsten om flera nyckelord pekar på samma URL. Detta förhindrar duplicerade länkar och förbättrar sidladdningsprestandan."
"General information","Allmän information"
"Keyword","Nyckelord"
"URL","URL"
"URL target","URL-mål"
"URL title","URL-titel"
"Nofollow","Nofollow"
"Number of substitutions","Antal ersättningar"
"Sort order","Sorteringsordning"
"Occurrence","Förekomst"
"Is active","Är aktiv"
"Active from","Aktiv från"
"Active to","Aktiv till"
"Visible in store view","Synlig i butiksvy"
"Change status","Ändra status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Delete items","Ta bort objekt"
"Are you sure you want to delete the selected items?","Är du säker på att du vill ta bort de markerade objekten?"
"ID","ID"
"Store view","Butiksvy"
"Status","Status"
"Is nofollow","Är nofollow"
"Max replacements","Maximalt antal ersättningar"
"Link type","Länktyp"
"Entity ID","Enhets-ID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Ange produkt-ID eller kategori-ID. Aktuell URL för denna enhet löses automatiskt upp när länken infogas."
"Custom URL","Anpassad URL"
"Product by ID","Produkt via ID"
"Category by ID","Kategori via ID"
"URL is required for custom URL links.","URL krävs för anpassade URL-länkar."
"Entity ID is required for product/category links.","Enhets-ID krävs för produkt-/kategorilänkar."
