"Conditions","Condiciones"
"Wrong request.","Solicitud incorrecta."
"Rich snippet extender has been deleted.","El extensor de fragmento enriquecido ha sido eliminado."
"Edit rich snippet extender","Editar extensor de fragmento enriquecido"
"Rich snippet extender with ID ""%1"" does not exist.","El extensor de fragmento enriquecido con ID ""%1"" no existe."
"Rich snippet extenders","Extensores de fragmento enriquecido"
"New rich snippet extender","Nuevo extensor de fragmento enriquecido"
"No data to save.","No hay datos para guardar."
"Rich snippet extender no longer exists.","El extensor de fragmento enriquecido ya no existe."
"Incorrect JSON format","Formato JSON incorrecto"
"Rich snippet extender has been saved.","El extensor de fragmento enriquecido ha sido guardado."
"Disabled","Deshabilitado"
"Use description","Usar descripción"
"Use meta description","Usar meta descripción"
"No","No"
"Yes, for all categories","Sí, para todas las categorías"
"Yes, only for non-filtered categories","Sí, solo para categorías no filtradas"
"Full (OfferCatalog)","Completo (OfferCatalog)"
"Simple (ItemList)","Simple (ItemList)"
"Aggregate Product","Aggregate Product"
"Current page","Página actual"
"Entire category","Categoría completa"
"Yes, for all landing pages","Sí, para todas las páginas de destino"
"Yes, only for non-filtered landing pages","Sí, solo para páginas de destino no filtradas"
"Entire landing page","Página de destino completa"
"Homepage only","Solo la página de inicio"
"All CMS pages","Todas las páginas CMS"
"Specific CMS pages","Páginas CMS específicas"
"Add from store information","Agregar desde la información de la tienda"
"Add manually","Agregar manualmente"
"Default (from configuration)","Predeterminado (desde la configuración)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Usar descripción corta"
"Configure manually","Configurar manualmente"
"New for all products","Nuevo para todos los productos"
"Kilograms (kg)","Kilogramos (kg)"
"Pounds (lb)","Libras (lb)"
"Grams (g)","Gramos (g)"
"Search in the catalog of products","Buscar en el catálogo de productos"
"Search in the blog articles","Buscar en los artículos del blog"
"Summary card","Tarjeta de resumen"
"Summary card with large image","Tarjeta de resumen con imagen grande"
"The rich snippet extender with ID ""%1"" doesn't exist.","El extensor de fragmento enriquecido con ID ""%1"" no existe."
"Edit","Editar"
"Delete","Eliminar"
"Delete record with ID %1","Eliminar registro con ID %1"
"Are you sure you want to delete this rich snippet extender?","¿Está seguro de que desea eliminar este extensor de fragmento enriquecido?"
"Template variables","Variables de plantilla"
"learn more","más información"
"Double click on a variable to insert it into the field","Haga doble clic en una variable para insertarla en el campo"
"Learn more about template variables","Más información sobre las variables de plantilla"
"Rich snippets and OpenGraph","Rich snippets y OpenGraph"
"Product page","Página de producto"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configure los rich snippets para las páginas de producto para mejorar la visibilidad en los motores de búsqueda. Estas configuraciones mejoran la forma en que sus productos aparecen en los resultados de búsqueda con información adicional como precios, disponibilidad y reseñas."
"Delete wrong snippets automatically","Eliminar snippets incorrectos automáticamente"
