"Page has links to broken page","Sayfada bozuk sayfaya bağlantılar var"
"Internal outlinks to 4xx","4xx'e dahili giden bağlantılar"
"Page has links to broken resources","Sayfada bozuk kaynaklara bağlantılar var"
"Linked broken resources","Bağlantılı bozuk kaynaklar"
"Redirects linked to the page","Sayfayla bağlantılı yönlendirmeler"
"200 page","200 sayfası"
"Status Code","Durum Kodu"
"404 page","404 sayfası"
"4xx page","4xx sayfası"
"H1 tag is missing or empty","H1 etiketi eksik veya boş"
"H1 tag","H1 etiketi"
"Page has more than one H1 tag","Sayfada birden fazla H1 etiketi var"
"H1 tags","H1 etiketleri"
"Duplicate of meta description","Meta açıklamanın kopyası"
"URLs with the same meta descriptions","Aynı meta açıklamaya sahip URL'ler"
"The page doesn't have a meta description","Sayfanın meta açıklaması yok"
"No pages with the identical meta description found","Aynı meta açıklamaya sahip sayfa bulunamadı"
"Empty meta description","Boş meta açıklama"
"Meta description too short","Meta açıklama çok kısa"
"Meta description too long","Meta açıklama çok uzun"
"Meta description length","Meta açıklama uzunluğu"
"Meta description","Meta açıklama"
"Duplicate of meta title","Meta başlığın kopyası"
"URLs with the same meta titles","Aynı meta başlığa sahip URL'ler"
"The page doesn't have a meta title","Sayfanın meta başlığı yok"
"No pages with the identical meta title found","Aynı meta başlığa sahip sayfa bulunamadı"
"Empty meta title","Boş meta başlık"
"Meta title too short","Meta başlık çok kısa"
"Meta title too long","Meta başlık çok uzun"
"Meta title length","Meta başlık uzunluğu"
"Meta title","Meta başlık"
"SEO audit disabled in configurations","SEO denetimi yapılandırmalarda devre dışı bırakıldı"
"This job no longer exists.","Bu iş artık mevcut değil."
"Job #%1 - %2","İş #%1 - %2"
"SEO audit","SEO denetimi"
"See details","Ayrıntıları gör"
"Back to all jobs","Tüm işlere geri dön"
"Back to all issues","Tüm sorunlara geri dön"
"See URL details","URL ayrıntılarını gör"
"URL","URL"
"Score","Puan"
"Message","Mesaj"
"Checks","Kontroller"
"Health score","Sağlık puanı"
"Health score reflects the results of all checks performed on internal URLs of the website","Sağlık puanı, web sitesinin dahili URL'leri üzerinde gerçekleştirilen tüm kontrollerin sonuçlarını yansıtır"
"Issue distribution","Sorun dağılımı"
"Issue Type","Sorun Türü"
"Count","Sayı"
"Distribution","Dağılım"
"Error","Hata"
"Warning","Uyarı"
"Notice","Bildirim"
"Error distribution","Hata dağılımı"
"Status","Durum"
"Description","Açıklama"
