"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"Categories","Catégories"
"Pages","Pages"
"Products","Produits"
"Stores","Magasins"
"Top of page","Haut de la page"
"Bottom of page","Bas de la page"
"Both top and bottom","Haut et bas"
"Disable","Désactiver"
"Permanent only","Permanent uniquement"
"All","Tous"
"Priority must be between 0 and 1","La priorité doit être comprise entre 0 et 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Une tâche cron est requise pour la génération automatique du plan du site. La génération automatique peut être configurée dans Système > Configuration > Catalogue > Plan du site Google > Paramètres de génération. Le cron pour Magento ne fonctionne pas. Pour configurer une tâche cron, suivez le lien."
"Blog","Blog"
"Blog Home","Accueil du blog"
"Brand","Marque"
"Knowledge Base","Base de connaissances"
"Landing Pages","Pages de destination"
"Search sitemap","Rechercher dans le plan du site"
"Search","Rechercher"
"Search through sitemap items","Rechercher parmi les éléments du plan du site"
"Visit %1 store","Visiter le magasin %1"
"View %1 page","Voir la page %1"
"Additional Links","Liens supplémentaires"
"Visit %1","Visiter %1"
"View %1","Voir %1"
"View category: %1","Voir la catégorie : %1"
"View product: %1","Voir le produit : %1"
"Nothing to show, please change a search query","Rien à afficher, veuillez modifier la requête de recherche"
"Extended sitemap","Plan du site étendu"
"General sitemap settings","Paramètres généraux du plan du site"
"Basic configuration options that affect both frontend and XML sitemaps.","Options de configuration de base affectant les plans du site frontend et XML."
"Ignore CMS pages","Ignorer les pages CMS"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Sélectionnez les pages qui ne doivent pas apparaître dans les plans du site. Utile pour les pages de connexion, d'inscription et autres pages utilitaires."
"Include SEO rewrites in sitemap","Inclure les réécritures SEO dans le plan du site"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Lorsqu'il est activé, toutes les URLs de réécriture SEO avec INDEX FOLLOW meta robots seront incluses dans le plan du site. Le modèle de lien inclus ne doit pas être un nom d'action ni contenir de caractères génériques. Pour un plan du site frontend, le champ <b>Titre</b> est obligatoire."
"Exclude redirects from sitemap","Exclure les redirections du plan du site"
