"API key is not configured.","API密钥未配置。"
"AI request failed: %1","AI请求失败：%1"
"SEO AI helper","SEO AI助手"
"General settings","常规设置"
"Configure the core settings for the SEO AI helper functionality.","配置SEO AI助手功能的核心设置。"
"Enable SEO AI helper","启用SEO AI助手"
"Activates the AI-powered SEO optimization features throughout your Magento store.","在您的Magento商店中激活AI驱动的SEO优化功能。"
"Use Core AI settings","使用Core AI设置"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","启用时：使用Core模块的全局AI设置（推荐）<br>禁用时：使用以下模块特定设置"
"AI provider","AI提供商"
"Select the AI provider for SEO content generation.","选择用于SEO内容生成的AI提供商。"
"AI model","AI模型"
"Select the AI model for content generation. Available models depend on the selected provider.","选择用于内容生成的AI模型。可用模型取决于所选提供商。"
"API key","API密钥"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">获取OpenAI API密钥</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">获取Anthropic API密钥</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">获取Google AI Studio API密钥</a>"
"AI helper","AI助手"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","配置AI助手如何根据审计结果自动提升商店的SEO表现。"
"Automatically fix meta-related issues","自动修复元数据相关问题"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","启用后，系统将自动生成并应用SEO重写，以修复审计中发现的元标题、元描述及其他元素问题。这有助于在无需手动干预的情况下，在整个网站维持SEO最佳实践。"
"Enable cron task","启用Cron任务"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","通过Magento的Cron系统每30分钟自动运行SEO修复。这确保即使添加新内容后，网站的元信息也保持优化状态。如果您希望手动触发修复，请禁用此选项。"
"Re-generate SEO rewrites","重新生成SEO重写"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","启用后，系统将在后续运行中持续优化之前生成的元内容，直到满足推荐的长度准则和SEO最佳实践。这种迭代改进有助于随着时间的推移实现最佳元内容。"
"Add store information to context","将商店信息添加到上下文"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","通过在创建元内容时包含商店的名称和描述，增强AI生成的内容。这为AI提供了相关的上下文，从而生成更符合品牌形象且更相关的元描述和标题。"
"Store description","商店描述"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","用几个词描述您的商店销售的产品类型。此上下文有助于AI生成更相关、更有针对性的元内容。此数据非必填。"
"AI helper store context","AI助手商店上下文"
