"%store_name is conserving your shopping list"  ,"%store_name đang giữ giỏ hàng của bạn"
"Oh. Is this your cart in %store_name"  ,"Ôi. Đây có phải giỏ hàng của bạn tại %store_name không"
"Hello %name,"  ,"Xin chào %name,"
"We're here to confirm your forgotten shopping cart at our shop recently. Do those items still have a warm
    place in your wish list?"  ,"Chúng tôi xin xác nhận bạn đã bỏ quên giỏ hàng tại cửa hàng gần đây. Những sản phẩm này vẫn còn trong danh sách mong muốn của bạn chứ?"
"I'm %sender from %store_name and hopefully, you haven't forgotten us as well as the shopping cart you left
    in our store recently. Thus, we would love to be sure that below items will catch your attention again."  ,"Mình là %sender từ %store_name và hy vọng bạn vẫn nhớ đến chúng mình cũng như giỏ hàng bạn để lại gần đây. Những sản phẩm dưới đây chắc chắn sẽ thu hút bạn trở lại."
"Your cart here"  ,"Xem giỏ hàng của bạn"
"Please come back soon if you need anything from our service. %store_name is looking forward to hearing your
    confirmation soon."  ,"Hãy quay lại sớm nếu bạn cần bất kỳ sản phẩm nào. %store_name mong sớm nhận được đơn hàng từ bạn."
"We truly appreciate the time you spending with us."  ,"Chúng tôi thực sự trân trọng thời gian bạn dành cho chúng tôi."
"We are leaving this coupon <b>%couponCode</b> as our special discount."  ,"Chúng tôi gửi bạn mã giảm giá <b>%couponCode</b> như một ưu đãi đặc biệt."
"It will be valid to %to"  ,"Mã sẽ có hiệu lực đến %to"
"The expiration date will be lasted until %to"  ,"Mã giảm giá sẽ có hiệu lực đến %to"
"Friendly remind that the coupon <b>%couponCode</b> is waiting for you."  ,"Nhắc nhở nhẹ: mã giảm giá <b>%couponCode</b> đang chờ bạn sử dụng."
"Thank you so much and have a nice day."  ,"Cảm ơn bạn rất nhiều và chúc một ngày tốt lành."
"Or if anything got you confused in shopping process? Feel free to contact again to discuss problems you may
    have. Your satisfaction is the best product we desire to deliver."  ,"Nếu bạn gặp khó khăn trong quá trình mua sắm, đừng ngần ngại liên hệ để chúng mình hỗ trợ. Sự hài lòng của bạn là ưu tiên hàng đầu của chúng tôi."
"Image"  ,"Hình ảnh"
"Product Name"  ,"Tên sản phẩm"
"Qty"  ,"SL"
"Price"  ,"Giá"
"Test product"  ,"Sản phẩm thử nghiệm"
"Order Total Excl. Tax"  ,"Tổng đơn hàng (chưa VAT)"
"Order Total Incl. Tax"  ,"Tổng đơn hàng (đã VAT)"
"No longer want to receive these emails?"  ,"Bạn không muốn nhận email này nữa?"
"Unsubscribe here"  ,"Hủy đăng ký tại đây"
"You have successfully unsubscribed from our email list, and now you will be redirected to our homepage in 5 seconds."  ,"Bạn đã hủy đăng ký nhận email thành công. Trang chủ sẽ tự động hiển thị sau 5 giây."
