"API key is not configured.","Klucz API nie jest skonfigurowany."
"AI request failed: %1","Żądanie AI nie powiodło się: %1"
"SEO AI helper","Asystent AI SEO"
"General settings","Ustawienia ogólne"
"Configure the core settings for the SEO AI helper functionality.","Skonfiguruj podstawowe ustawienia funkcjonalności asystenta AI SEO."
"Enable SEO AI helper","Włącz asystenta AI SEO"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Aktywuje funkcje optymalizacji SEO oparte na sztucznej inteligencji w całym sklepie Magento."
"Use Core AI settings","Używaj ustawień Core AI"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Po włączeniu: używa globalnych ustawień AI z modułu Core (zalecane)<br>Po wyłączeniu: używa ustawień specyficznych dla modułu poniżej"
"AI provider","Dostawca AI"
"Select the AI provider for SEO content generation.","Wybierz dostawcę AI do generowania treści SEO."
"AI model","Model AI"
"Select the AI model for content generation. Available models depend on the selected provider.","Wybierz model AI do generowania treści. Dostępne modele zależą od wybranego dostawcy."
"API key","Klucz API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Pobierz klucz API OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Pobierz klucz API Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Pobierz klucz API Google AI Studio</a>"
"AI helper","Asystent AI"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Skonfiguruj, jak asystent AI automatycznie poprawia wydajność SEO sklepu na podstawie wyników audytu."
"Automatically fix meta-related issues","Automatycznie naprawiaj problemy związane z meta"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Po włączeniu system będzie automatycznie generować i stosować przepisania SEO w celu naprawy problemów z meta tytułami, opisami i innymi elementami meta zidentyfikowanymi podczas audytów. Pomaga to utrzymać najlepsze praktyki SEO w całej witrynie bez ręcznej interwencji."
"Enable cron task","Włącz zadanie cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Zaplanuj automatyczne naprawy SEO do uruchomienia co 30 minut przez system cron Magento. Zapewnia to, że informacje meta witryny pozostają zoptymalizowane nawet gdy dodawana jest nowa treść. Wyłącz, jeśli wolisz ręcznie wyzwalać naprawy."
"Re-generate SEO rewrites","Regeneruj przepisania SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Po włączeniu system będzie ciągle udoskonalać wcześniej wygenerowane treści meta w kolejnych uruchomieniach, aż spełnią zalecane wytyczne dotyczące długości i najlepsze praktyki SEO. To iteracyjne ulepszanie pomaga z czasem osiągnąć optymalne treści meta."
"Add store information to context","Dodaj informacje o sklepie do kontekstu"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Ulepsza treści generowane przez AI, uwzględniając nazwę i opis sklepu podczas tworzenia treści meta. Dostarcza to AI odpowiedniego kontekstu, co skutkuje bardziej zgodnymi z marką i trafnymi meta opisami i tytułami."
"Store description","Opis sklepu"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Opisz kilkoma słowami, jakie typy produktów sprzedaje Twój sklep. Ten kontekst pomaga AI generować bardziej trafne i ukierunkowane treści meta. Te dane nie są wymagane."
"AI helper store context","Kontekst sklepu Asystenta AI"
