"API key is not configured.","La clave API no está configurada."
"AI request failed: %1","La solicitud de IA falló: %1"
"SEO AI helper","Asistente SEO con IA"
"General settings","Configuración general"
"Configure the core settings for the SEO AI helper functionality.","Configure los ajustes principales para la funcionalidad del asistente SEO con IA."
"Enable SEO AI helper","Habilitar asistente SEO con IA"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Activa las funciones de optimización SEO impulsadas por IA en toda su tienda Magento."
"Use Core AI settings","Usar configuración de IA del módulo Core"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Cuando está habilitado: Usa la configuración global de IA del módulo Core (recomendado)<br>Cuando está deshabilitado: Usa la configuración específica del módulo a continuación"
"AI provider","Proveedor de IA"
"Select the AI provider for SEO content generation.","Seleccione el proveedor de IA para la generación de contenido SEO."
"AI model","Modelo de IA"
"Select the AI model for content generation. Available models depend on the selected provider.","Seleccione el modelo de IA para la generación de contenido. Los modelos disponibles dependen del proveedor seleccionado."
"API key","Clave API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Obtener clave API de OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Obtener clave API de Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Obtener clave API de Google AI Studio</a>"
"AI helper","Asistente de IA"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configure cómo el asistente de IA mejora automáticamente el rendimiento SEO de su tienda basándose en los resultados de auditoría."
"Automatically fix meta-related issues","Corregir automáticamente problemas relacionados con meta etiquetas"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Cuando está habilitado, el sistema generará y aplicará automáticamente reescrituras SEO para corregir problemas con los meta títulos, descripciones y otros elementos meta identificados durante las auditorías. Esto ayuda a mantener las mejores prácticas de SEO en todo su sitio sin intervención manual."
"Enable cron task","Habilitar tarea cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Programe correcciones SEO automáticas para ejecutarse cada 30 minutos a través del sistema cron de Magento. Esto garantiza que la información meta de su sitio permanezca optimizada incluso cuando se agrega nuevo contenido. Deshabilite si prefiere activar las correcciones manualmente."
"Re-generate SEO rewrites","Regenerar reescrituras SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Cuando está habilitado, el sistema refinará continuamente el contenido meta generado previamente en ejecuciones posteriores hasta que cumpla con las directrices de longitud recomendadas y las mejores prácticas de SEO. Esta mejora iterativa ayuda a lograr un contenido meta óptimo con el tiempo."
"Add store information to context","Agregar información de la tienda al contexto"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Mejora el contenido generado por IA al incluir el nombre y la descripción de su tienda al crear contenido meta. Esto proporciona contexto relevante a la IA, resultando en meta descripciones y títulos más alineados con la marca y más relevantes."
"Store description","Descripción de la tienda"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Describa en pocas palabras qué tipos de productos vende su tienda. Este contexto ayuda a la IA a generar contenido meta más relevante y específico. Estos datos no son obligatorios."
"AI helper store context","Contexto de tienda del Asistente de IA"
