"Page has links to broken page","Stránka obsahuje odkazy na nefunkční stránku"
"Internal outlinks to 4xx","Interní odchozí odkazy na 4xx"
"Page has links to broken resources","Stránka obsahuje odkazy na nefunkční zdroje"
"Linked broken resources","Propojené nefunkční zdroje"
"Redirects linked to the page","Přesměrování propojená se stránkou"
"200 page","Stránka 200"
"Status Code","Stavový kód"
"404 page","Stránka 404"
"4xx page","Stránka 4xx"
"H1 tag is missing or empty","Tag H1 chybí nebo je prázdný"
"H1 tag","Tag H1"
"Page has more than one H1 tag","Stránka má více než jeden tag H1"
"H1 tags","Tagy H1"
"Duplicate of meta description","Duplicitní meta popis"
"URLs with the same meta descriptions","URL adresy se stejnými meta popisy"
"The page doesn't have a meta description","Stránka nemá meta popis"
"No pages with the identical meta description found","Nenalezeny žádné stránky se shodným meta popisem"
"Empty meta description","Prázdný meta popis"
"Meta description too short","Meta popis je příliš krátký"
"Meta description too long","Meta popis je příliš dlouhý"
"Meta description length","Délka meta popisu"
"Meta description","Meta popis"
"Duplicate of meta title","Duplicitní meta titulek"
"URLs with the same meta titles","URL adresy se stejnými meta titulky"
"The page doesn't have a meta title","Stránka nemá meta titulek"
"No pages with the identical meta title found","Nenalezeny žádné stránky se shodným meta titulkem"
"Empty meta title","Prázdný meta titulek"
"Meta title too short","Meta titulek je příliš krátký"
"Meta title too long","Meta titulek je příliš dlouhý"
"Meta title length","Délka meta titulku"
"Meta title","Meta titulek"
"SEO audit disabled in configurations","SEO audit je zakázán v konfiguracích"
"This job no longer exists.","Tato úloha již neexistuje."
"Job #%1 - %2","Úloha #%1 - %2"
"SEO audit","SEO audit"
"See details","Zobrazit podrobnosti"
"Back to all jobs","Zpět na všechny úlohy"
"Back to all issues","Zpět na všechny problémy"
"See URL details","Zobrazit podrobnosti URL"
"URL","URL"
"Score","Skóre"
"Message","Zpráva"
"Checks","Kontroly"
"Health score","Skóre zdraví"
"Health score reflects the results of all checks performed on internal URLs of the website","Skóre zdraví odráží výsledky všech kontrol provedených na interních URL adresách webu"
"Issue distribution","Distribuce problémů"
"Issue Type","Typ problému"
"Count","Počet"
"Distribution","Distribuce"
"Error","Chyba"
"Warning","Varování"
"Notice","Upozornění"
"Error distribution","Distribuce chyb"
"Status","Stav"
"Description","Popis"
"Pages without errors","Stránky bez chyb"
"Pages with errors","Stránky s chybami"
"General settings","Obecná nastavení"
"Core configuration settings that control the SEO audit functionality.","Základní konfigurační nastavení, která řídí funkčnost SEO auditu."
