"Add new link","Додати нове посилання"
"Import/Export links","Імпорт/Експорт посилань"
"[deleted]","[видалено]"
"All store views","Усі представлення магазину"
"There is no sample file for this entity.","Для цієї сутності немає зразкового файлу."
"Unable to create export file.","Не вдалося створити файл експорту."
"Unable to send export file.","Не вдалося надіслати файл експорту."
"Cross-links","Перехресні посилання"
"%1 records were inserted or updated","%1 записів вставлено або оновлено"
"New link","Нове посилання"
"Item was successfully deleted","Елемент успішно видалено"
"Edit link '%1'","Редагувати посилання '%1'"
"The link does not exist.","Посилання не існує."
"Please select item(s)","Будь ласка, виберіть елемент(и)"
"Total of %1 record(s) were successfully deleted","Всього %1 запис(ів) успішно видалено"
"Total of %1 record(s) were successfully disabled","Всього %1 запис(ів) успішно вимкнено"
"Total of %1 record(s) were successfully enabled","Всього %1 запис(ів) успішно увімкнено"
"Link was successfully saved","Посилання успішно збережено"
"Unable to find link to save","Не вдалося знайти посилання для збереження"
"First","Перше"
"Last","Останнє"
"Random","Випадкове"
"CMS page","CMS-сторінка"
"CMS block","CMS-блок"
"Category description","Опис категорії"
"Product short description","Короткий опис товару"
"Product full description","Повний опис товару"
"Product attributes","Атрибути товару"
"SEO description","SEO-опис"
"Blog MX post content","Вміст публікації Blog MX"
"Mageplaza Blog post content","Вміст публікації Mageplaza Blog"
"_self (in current window)","_self (у поточному вікні)"
"_blank (in new window)","_blank (у новому вікні)"
"_self (in own frameset)","_self (у власному фреймсеті)"
"_top (in full current browser window)","_top (у повному поточному вікні браузера)"
"Back","Назад"
"Delete","Видалити"
"Are you sure you want to do this?","Ви впевнені, що хочете це зробити?"
"Reset","Скинути"
"Resets input fields values","Скидає значення полів введення"
"Save and continue edit","Зберегти та продовжити редагування"
"Save","Зберегти"
"Edit","Редагувати"
"SEO Autolink Import","Імпорт SEO Autolink"
"Import links (.csv)","Імпортувати посилання (.csv)"
"Import links","Імпортувати посилання"
"This is a required field.","Це обов'язкове поле."
"Download example CSV file for autolink import","Завантажити приклад CSV-файлу для імпорту автопосилань"
"Example of CSV file","Приклад CSV-файлу"
"SEO Autolink Export","Експорт SEO Autolink"
"Export links (.csv)","Експортувати посилання (.csv)"
"Export links","Експортувати посилання"
"Cross-links settings","Налаштування перехресних посилань"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Налаштуйте поведінку перехресних посилань у контенті вашого сайту для покращення структури внутрішніх посилань."
"Allowed areas for cross-links","Дозволені зони для перехресних посилань"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Виберіть конкретні зони контенту, де перехресні посилання мають автоматично вставлятися. Обмеження релевантними зонами покращує продуктивність завантаження сторінки."
"Restrict link placement in tags","Обмежити розміщення посилань у тегах"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Вкажіть HTML-теги, у які посилання не мають вставлятися (наприклад, h1, h2, a, strong). Введіть по одному тегу на рядок без дужок."
"Prevent adding cross-links on pages","Заборонити додавання перехресних посилань на сторінках"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Введіть шаблони URL (по одному на рядок), де перехресні посилання мають бути вимкнені. Використовуйте * як символ підстановки (наприклад, catalog/product/* або */checkout)."
"Template paths for link insertion","Шляхи шаблонів для вставки посилань"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Вкажіть шляхи файлів шаблонів (по одному на рядок), де мають вставлятися посилання. Примітка: обробка не вдасться для шаблонів з більш ніж 1000 HTML-тегів через обмеження пам'яті."
"Max number of links per page","Максимальна кількість посилань на сторінку"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Встановіть максимальну кількість автоматично генерованих перехресних посилань на сторінку. Менші значення можуть покращити час завантаження сторінки та запобігти надмірній оптимізації."
"Avoid duplicate URLs in cross-links","Уникати дублюючих URL у перехресних посиланнях"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Якщо увімкнено, якщо кілька ключових слів вказують на одну й ту саму URL, буде пов'язано лише перше входження. Це запобігає дублюванню посилань і покращує продуктивність завантаження сторінки."
"General information","Загальна інформація"
"Keyword","Ключове слово"
"URL","URL"
"URL target","Ціль URL"
"URL title","Заголовок URL"
"Nofollow","Nofollow"
"Number of substitutions","Кількість замін"
"Sort order","Порядок сортування"
"Occurrence","Входження"
"Is active","Активний"
"Active from","Активний з"
"Active to","Активний до"
"Visible in store view","Видимий у представленні магазину"
"Change status","Змінити статус"
"Active","Активний"
"Inactive","Неактивний"
"Delete items","Видалити елементи"
"Are you sure you want to delete the selected items?","Ви впевнені, що хочете видалити вибрані елементи?"
"ID","ID"
"Store view","Представлення магазину"
"Status","Статус"
"Is nofollow","Nofollow"
"Max replacements","Макс. замін"
"Link type","Тип посилання"
"Entity ID","ID сутності"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Введіть ID товару або ID категорії. Поточна URL-адреса цієї сутності буде автоматично визначена під час вставлення посилання."
"Custom URL","Довільна URL-адреса"
"Product by ID","Товар за ID"
"Category by ID","Категорія за ID"
"URL is required for custom URL links.","URL-адреса обов'язкова для посилань із довільною URL-адресою."
"Entity ID is required for product/category links.","ID сутності обов'язковий для посилань на товар/категорію."
