"%1 service is not properly configured or available","Layanan %1 tidak dikonfigurasi dengan benar atau tidak tersedia"
"Invalid AI request data","Data permintaan AI tidak valid"
"Request prompt cannot be empty","Prompt permintaan tidak boleh kosong"
"Claude API error","Error API Claude"
"Invalid Claude API response: missing content","Respons API Claude tidak valid: konten tidak ada"
"Empty content received from Claude API","Konten kosong diterima dari API Claude"
"Gemini API error","Error API Gemini"
"Invalid Gemini API response: missing candidates","Respons API Gemini tidak valid: kandidat tidak ada"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Respons API Gemini terpotong karena batas max_tokens tercapai. Pertimbangkan untuk meningkatkan pengaturan max_tokens atau menggunakan prompt yang lebih pendek."
"Empty content received from Gemini API","Konten kosong diterima dari API Gemini"
"AI services are disabled in configuration","Layanan AI dinonaktifkan dalam konfigurasi"
"No default AI provider configured","Tidak ada penyedia AI default yang dikonfigurasi"
"No available AI provider for request validation","Tidak ada penyedia AI yang tersedia untuk validasi permintaan"
"Request validation failed: %1","Validasi permintaan gagal: %1"
"All AI providers failed. Last error: %1","Semua penyedia AI gagal. Error terakhir: %1"
"Unsupported AI provider: %1. Supported providers: %2","Penyedia AI tidak didukung: %1. Penyedia yang didukung: %2"
"Service class %1 must extend %2","Kelas layanan %1 harus memperluas %2"
"Failed to create AI service for provider %1: %2","Gagal membuat layanan AI untuk penyedia %1: %2"
"Not configured","Tidak dikonfigurasi"
Unknown,Tidak diketahui
"Unknown API error","Error API tidak diketahui"
"Temperature must be between 0 and 2","Temperatur harus antara 0 dan 2"
"Max tokens must be greater than 0","Token maksimum harus lebih besar dari 0"
"Frequency penalty must be between -2 and 2","Penalti frekuensi harus antara -2 dan 2"
"Format output as JSON.","Format output sebagai JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","API OpenAI mengembalikan respons tidak lengkap karena jumlah token jendela konteks model terlampaui."
"OpenAI API returned no content in the response.","API OpenAI tidak mengembalikan konten dalam respons."
"Not Installed","Tidak Terinstal"
"A total of %1 record(s) have been deleted.","Total %1 catatan telah dihapus."
"The record has been removed.","Catatan telah dihapus."
"Disallowed file type.","Jenis file tidak diizinkan."
"Can't remove folder %s","Tidak dapat menghapus folder %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Ekstensi tidak berisi semua file yang diperlukan. Silakan instal ulang ekstensi dari paket asli."
"Extension Information","Informasi Ekstensi"
Status,Status
Other,Lainnya
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron untuk Magento tidak berjalan. Untuk mengatur cron job, ikuti tautan %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron job [%1] tidak berjalan. Silakan periksa tabel %2 untuk job yang membeku dan hapus."
Remove,Hapus
Error,Error
Missed,Terlewat
Running,Berjalan
Pending,Tertunda
Success,Berhasil
"Server gmt time","Waktu GMT server"
"Last job","Job terakhir"
Executed,Dieksekusi
none,tidak ada
"Cron setup","Pengaturan Cron"
"Cron Jobs","Cron Jobs"
"No AI-enabled modules are currently active.","Tidak ada modul berkemampuan AI yang aktif saat ini."
"%1 module(s) using AI functionality:","%1 modul menggunakan fungsionalitas AI:"
Provider:,Penyedia:
ai_provider,ai_provider
"You have the latest version","Anda memiliki versi terbaru"
"New version %1 is available","Versi baru %1 tersedia"
"View %1 details (opens in new window)","Lihat detail %1 (buka di jendela baru)"
Details,Detail
"View %1 user guide (opens in new window)","Lihat panduan pengguna %1 (buka di jendela baru)"
"User Guide","Panduan Pengguna"
"View %1 changelog (opens in new window)","Lihat changelog %1 (buka di jendela baru)"
Changelog,Changelog
"Request new feature for %1 (opens in new window)","Minta fitur baru untuk %1 (buka di jendela baru)"
"Request New Feature","Minta Fitur Baru"
"Installed Extensions","Ekstensi Terinstal"
"Check changes","Periksa perubahan"
"Validate All Extensions","Validasi Semua Ekstensi"
"Suggest Improvement","Sarankan Perbaikan"
"%1 (opens in new window)","%1 (buka di jendela baru)"
"More Details","Detail Lebih Lanjut"
"Developer settings","Pengaturan pengembang"
"AI Provider Status","Status Penyedia AI"
"No AI providers are currently enabled. Please configure AI providers in %1.","Tidak ada penyedia AI yang diaktifkan saat ini. Silakan konfigurasi penyedia AI di %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 dari %2 penyedia diaktifkan. Anda dapat mengelola penyedia di %3."
Enabled,Diaktifkan
Disabled,Dinonaktifkan
"All tests have been passed","Semua tes telah lulus"
Module,Modul
Test,Tes
"How to fix","Cara memperbaiki"
Warning,Peringatan
Info,Info
Failed,Gagal
Today,Hari ini
"Last 7 days","7 hari terakhir"
"Last 30 days","30 hari terakhir"
"Last 365 days","365 hari terakhir"
"Mirasvit Extensions Validator","Validator Ekstensi Mirasvit"
"Mirasvit Menu","Menu Mirasvit"
Core,Core
Mirasvit,Mirasvit
Extensions,Ekstensi
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Ekstensi Mirasvit"
Developer,Pengembang
"Menu Settings","Pengaturan Menu"
"Enable Mirasvit Menu","Aktifkan Menu Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","Menu terlihat jika Anda memiliki setidaknya dua ekstensi Mirasvit yang aktif."
"Additional CSS Styles","Gaya CSS Tambahan"
"AI Configuration","Konfigurasi AI"
"Modules using AI","Modul menggunakan AI"
"Enable AI features","Aktifkan fitur AI"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Aktifkan atau nonaktifkan secara global semua fitur bertenaga AI di ekstensi Mirasvit.<br>Saat dinonaktifkan, semua fungsionalitas AI tidak akan tersedia terlepas dari pengaturan penyedia individual atau pengaturan AI di modul lain."
"Default AI provider","Penyedia AI default"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Pilih penyedia AI utama yang akan digunakan ketika beberapa penyedia dikonfigurasi.<br>Ini akan digunakan sebagai penyedia cadangan untuk semua operasi AI ketika tidak ada penyedia spesifik yang diminta."
"Request timeout","Batas waktu permintaan"
