"Secomm Extensions","Tiện ích Secomm"
"Commerce Tracking","Theo dõi thương mại"
"General","Chung"
"Enable Commerce Tracking","Bật theo dõi thương mại"
"Master switch for the Launchpad tracking event layer (browser dataLayer pipeline + server outbox). Default: No.","Công tắc chính cho lớp sự kiện theo dõi Launchpad (pipeline dataLayer trình duyệt + outbox máy chủ). Mặc định: Không."
"Debug Log","Nhật ký gỡ lỗi"
"Write masked delivery/debug entries to var/log/secomm_tracking.log and the delivery table for QC reconcile. Default: No.","Ghi các mục giao/nhật ký gỡ lỗi (đã che giấu) vào var/log/secomm_tracking.log và bảng delivery để đối chiếu QC. Mặc định: Không."
"Meta — Pixel & Conversions API","Meta — Pixel & Conversions API"
"Enable Meta","Bật Meta"
"Server-side Conversions API events (purchase/refund) + browser pixel events via GTM container. Default: No.","Sự kiện Conversions API phía máy chủ (mua hàng/hoàn tiền) + sự kiện pixel trình duyệt qua GTM container. Mặc định: Không."
"Pixel ID","Pixel ID"
"Meta Pixel numeric ID (Business Manager → Events Manager → Data sources).","ID số của Meta Pixel (Business Manager → Events Manager → Nguồn dữ liệu)."
"System User Access Token","Token truy cập System User"
"Meta system-user token with ads_management/events permissions for the Conversions API. Stored encrypted — never commit.","Token system-user của Meta với quyền ads_management/events cho Conversions API. Được mã hóa khi lưu — không bao giờ commit."
"Test Mode","Chế độ kiểm thử"
"Send with test_event_code so events land in Events Manager → Test Events instead of live audiences. Default: No.","Gửi kèm test_event_code để sự kiện vào Events Manager → Test Events thay vì đối tượng thực. Mặc định: Không."
"Test Event Code","Mã sự kiện kiểm thử"
"TEST12345-style code from Events Manager → Test Events. Only used when Test Mode is Yes.","Mã dạng TEST12345 từ Events Manager → Test Events. Chỉ dùng khi Chế độ kiểm thử là Có."
"TikTok — Pixel & Events API","TikTok — Pixel & Events API"
"Enable TikTok","Bật TikTok"
"Server-side Events API events (CompletePayment/refund) + browser pixel events via GTM container. Default: No.","Sự kiện Events API phía máy chủ (CompletePayment/hoàn tiền) + sự kiện pixel trình duyệt qua GTM container. Mặc định: Không."
"TikTok Pixel ID (TikTok Business Center → Events → Web events).","ID TikTok Pixel (TikTok Business Center → Events → Sự kiện web)."
"Events API Access Token","Token truy cập Events API"
"TikTok long-term Events API token (Business Center → Events → Manage assets → API). Stored encrypted — never commit.","Token Events API dài hạn của TikTok (Business Center → Events → Quản lý tài sản → API). Được mã hóa khi lưu — không bao giờ commit."
"Test Mode (Debug)","Chế độ kiểm thử (Debug)"
"Send with the debug flag so events land in TikTok Event Debug instead of live. Default: No.","Gửi kèm cờ debug để sự kiện vào TikTok Event Debug thay vì môi trường thực. Mặc định: Không."
"Refund Events","Sự kiện hoàn tiền"
"Enable Refund Events","Bật sự kiện hoàn tiền"
"Send a refund event (Meta Refund / TikTok custom refund) per creditmemo to enabled server vendors. Default: No.","Gửi sự kiện hoàn tiền (Meta Refund / TikTok hoàn tiền tùy chỉnh) theo từng creditmemo tới các nhà cung cấp máy chủ đang bật. Mặc định: Không."
