"Add new link","Agregar nuevo enlace"
"Import/Export links","Importar/Exportar enlaces"
"[deleted]","[eliminado]"
"All store views","Todas las vistas de la tienda"
"There is no sample file for this entity.","No hay archivo de muestra para esta entidad."
"Unable to create export file.","No se puede crear el archivo de exportación."
"Unable to send export file.","No se puede enviar el archivo de exportación."
"Cross-links","Enlaces cruzados"
"%1 records were inserted or updated","%1 registros fueron insertados o actualizados"
"New link","Nuevo enlace"
"Item was successfully deleted","El elemento fue eliminado correctamente"
"Edit link '%1'","Editar enlace '%1'"
"The link does not exist.","El enlace no existe."
"Please select item(s)","Por favor, seleccione elemento(s)"
"Total of %1 record(s) were successfully deleted","Un total de %1 registro(s) fueron eliminados correctamente"
"Total of %1 record(s) were successfully disabled","Un total de %1 registro(s) fueron deshabilitados correctamente"
"Total of %1 record(s) were successfully enabled","Un total de %1 registro(s) fueron habilitados correctamente"
"Link was successfully saved","El enlace fue guardado correctamente"
"Unable to find link to save","No se puede encontrar el enlace para guardar"
"First","Primero"
"Last","Último"
"Random","Aleatorio"
"CMS page","Página CMS"
"CMS block","Bloque CMS"
"Category description","Descripción de categoría"
"Product short description","Descripción corta del producto"
"Product full description","Descripción completa del producto"
"Product attributes","Atributos del producto"
"SEO description","Descripción SEO"
"Blog MX post content","Contenido de publicación Blog MX"
"Mageplaza Blog post content","Contenido de publicación Mageplaza Blog"
"_self (in current window)","_self (en la ventana actual)"
"_blank (in new window)","_blank (en nueva ventana)"
"_self (in own frameset)","_self (en el frameset propio)"
"_top (in full current browser window)","_top (en la ventana completa del navegador)"
"Back","Volver"
"Delete","Eliminar"
"Are you sure you want to do this?","¿Está seguro de que desea hacer esto?"
"Reset","Restablecer"
"Resets input fields values","Restablece los valores de los campos de entrada"
"Save and continue edit","Guardar y continuar editando"
"Save","Guardar"
"Edit","Editar"
"SEO Autolink Import","Importación de SEO Autolink"
"Import links (.csv)","Importar enlaces (.csv)"
"Import links","Importar enlaces"
"This is a required field.","Este es un campo obligatorio."
"Download example CSV file for autolink import","Descargar archivo CSV de ejemplo para importación de autoenlaces"
"Example of CSV file","Ejemplo de archivo CSV"
"SEO Autolink Export","Exportación de SEO Autolink"
"Export links (.csv)","Exportar enlaces (.csv)"
"Export links","Exportar enlaces"
"Cross-links settings","Configuración de enlaces cruzados"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configure el comportamiento de los enlaces cruzados en el contenido de su sitio para mejorar la estructura de enlazado interno."
"Allowed areas for cross-links","Áreas permitidas para enlaces cruzados"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Seleccione áreas de contenido específicas donde los enlaces cruzados deben insertarse automáticamente. Limitar a áreas relevantes mejora el rendimiento de carga de la página."
"Restrict link placement in tags","Restringir la ubicación de enlaces en etiquetas"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Especifique las etiquetas HTML donde los enlaces no deben insertarse (por ejemplo, h1, h2, a, strong). Ingrese una etiqueta por línea sin corchetes."
"Prevent adding cross-links on pages","Evitar agregar enlaces cruzados en páginas"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Ingrese patrones de URL (uno por línea) donde los enlaces cruzados deben estar deshabilitados. Use * como comodín (por ejemplo, catalog/product/* o */checkout)."
"Template paths for link insertion","Rutas de plantillas para inserción de enlaces"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Especifique las rutas de archivos de plantilla (una por línea) donde se deben insertar los enlaces. Nota: El procesamiento fallará para plantillas que excedan 1000 etiquetas HTML debido a restricciones de memoria."
"Max number of links per page","Número máximo de enlaces por página"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Establezca el número máximo de enlaces cruzados generados automáticamente por página. Los valores más bajos pueden mejorar el tiempo de carga de la página y prevenir la sobreoptimización."
"Avoid duplicate URLs in cross-links","Evitar URLs duplicadas en enlaces cruzados"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Cuando está habilitado, si múltiples palabras clave apuntan a la misma URL, solo se enlazará la primera ocurrencia. Esto evita enlaces duplicados y mejora el rendimiento de carga de la página."
"General information","Información general"
"Keyword","Palabra clave"
"URL","URL"
"URL target","Destino de URL"
"URL title","Título de URL"
"Nofollow","Nofollow"
"Number of substitutions","Número de sustituciones"
"Sort order","Orden de clasificación"
"Occurrence","Ocurrencia"
"Is active","Está activo"
"Active from","Activo desde"
"Active to","Activo hasta"
"Visible in store view","Visible en la vista de la tienda"
"Change status","Cambiar estado"
"Active","Activo"
"Inactive","Inactivo"
"Delete items","Eliminar elementos"
"Are you sure you want to delete the selected items?","¿Está seguro de que desea eliminar los elementos seleccionados?"
"ID","ID"
"Store view","Vista de la tienda"
"Status","Estado"
"Is nofollow","Es nofollow"
"Max replacements","Reemplazos máximos"
"Link type","Tipo de enlace"
"Entity ID","ID de entidad"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Introduzca el ID del producto o el ID de la categoría. La URL actual de esta entidad se resolverá automáticamente cuando se inserte el enlace."
"Custom URL","URL personalizada"
"Product by ID","Producto por ID"
"Category by ID","Categoría por ID"
"URL is required for custom URL links.","La URL es obligatoria para los enlaces de URL personalizados."
"Entity ID is required for product/category links.","El ID de entidad es obligatorio para los enlaces de producto/categoría."
