"Conditions","Podmínky"
"Rule conditions (leave blank to use only regular expression)","Podmínky pravidla (nechte prázdné pro použití pouze regulárního výrazu)"
"Checklist","Kontrolní seznam"
"Duplicateinfo","Informace o duplicitech"
"Store Id","ID obchodu"
"Category Path","Cesta kategorie"
"Category Id","ID kategorie"
"Current request path","Aktuální cesta požadavku"
"URL key","Klíč URL"
"Root Catalog (ID: 1)","Kořenový katalog (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Přesměrování"
"Canonical rewrite","Přepis canonical"
"Cross-links","Křížové odkazy"
"Sitemap","Mapa webu"
"Settings","Nastavení"
"User manual","Uživatelský manuál"
"Get support","Získat podporu"
"Add New Redirect","Přidat nové přesměrování"
"Import/Export redirects","Import/Export přesměrování"
"Rewrite manager","Správce přepisů"
"Add rewrite","Přidat přepis"
"Store group","Skupina obchodů"
"Hreflang","Hreflang"
"Store","Obchod"
"Add","Přidat"
"(Id: %1)","(Id: %1)"
"Stores","Obchody"
"button_label","button_label"
"Attribute","Atribut"
"Usage","Použití"
"Page type","Typ stránky"
"Remove parent category path","Odstranit cestu nadřazené kategorie"
"URL pattern","Vzor URL"
"Option","Možnost"
"Meta title","Meta titulek"
"Meta keywords","Meta klíčová slova"
"Meta description","Meta popis"
"Title (H1)","Titulek (H1)"
"SEO description","SEO popis"
"Product short description","Krátký popis produktu"
"Product description","Popis produktu"
"Add SEO Template","Přidat SEO šablonu"
"Home","Domů"
"Go to Home Page","Přejít na domovskou stránku"
"SEO","SEO"
"This row no longer exists.","Tento řádek již neexistuje."
"New canonical rewrite","Nový přepis canonical"
"%1 item(s) was removed","%1 položek bylo odstraněno"
"Please select item(s)","Vyberte prosím položku (položky)"
"Edit canonical rewrite ID: %1","Upravit přepis canonical ID: %1"
"Total of %1 record(s) were successfully disabled","Celkem %1 záznam(ů) bylo úspěšně deaktivováno"
"Total of %1 record(s) were successfully enabled","Celkem %1 záznam(ů) bylo úspěšně aktivováno"
"Row was saved.","Řádek byl uložen."
"No data to save.","Žádná data k uložení."
"SEO Checklist","SEO kontrolní seznam"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Vytvořte jedinečný klíč URL pro všechny kategorie uvedené v této tabulce. Pokud je tabulka prázdná, nemáte duplicitní klíče a můžete stisknout tlačítko ""<a href=""%1"" target=""_blank"">Odstranit cestu nadřazené kategorie</a>"" pro změnu URL kategorií."
"Category duplicate urls","Duplicitní URL kategorií"
"Add redirect","Přidat přesměrování"
"Item was successfully deleted","Položka byla úspěšně smazána"
"Edit redirect","Upravit přesměrování"
"The item does not exist.","Položka neexistuje."
"Total of %1 record(s) were successfully deleted","Celkem %1 záznam(ů) bylo úspěšně smazáno"
"Item was successfully saved","Položka byla úspěšně uložena"
"Unable to find an item to save","Nepodařilo se najít položku k uložení"
"There is no sample file for this entity.","Pro tuto entitu neexistuje vzorový soubor."
"%1 records were inserted or updated","%1 záznamů bylo vloženo nebo aktualizováno"
"URLs have been processed.","URL adresy byly zpracovány."
"Something went wrong.","Něco se pokazilo."
"Missing canonical URL.","Chybějící canonical URL."
"%1 canonical on the page.","%1 canonical na stránce."
"Canonical created not using Mirasvit SEO extension.","Canonical vytvořen bez použití rozšíření Mirasvit SEO."
"There is no H1 tag on the page.","Na stránce není žádný tag H1."
"One H1 tag","Jeden tag H1"
"%1 H1 tags.","%1 tag(ů) H1."
"Length = %1. Recommended length up to %2 characters.","Délka = %1. Doporučená délka do %2 znaků."
"Meta title not defined.","Meta titulek není definován."
"Meta description not defined.","Meta popis není definován."
"Meta keywords not defined.","Meta klíčová slova nejsou definována."
"Some alt tags are empty or missing.","Některé alt tagy jsou prázdné nebo chybí."
"Total number of images","Celkový počet obrázků"
"Images without alt attribute","Obrázky bez atributu alt"
"Images with empty alt attribute","Obrázky s prázdným atributem alt"
"%1 images with correct alt attribute.","%1 obrázků se správným atributem alt."
"Conditions combination","Kombinace podmínek"
"Categories and layered navigation","Kategorie a vrstvená navigace"
"Products","Produkty"
"Product attributes","Atributy produktu"
"Products additional","Další nastavení produktů"
"Attribute set","Sada atributů"
"Category","Kategorie"
"Created (days ago)","Vytvořeno (dní zpět)"
"Updated (days ago)","Aktualizováno (dní zpět)"
"Quantity","Množství"
"Price - Final Price","Cena — Konečná cena"
"Percent Discount","Procentuální sleva"
"Open Chooser","Otevřít výběr"
"Disabled","Zakázáno"
"Enabled for all websites","Povoleno pro všechny weby"
"Configure","Nakonfigurovat"
"Add automatically","Přidat automaticky"
"Add all selected options","Přidat všechny vybrané možnosti"
"Add if only one option selected","Přidat, pokud je vybrána pouze jedna možnost"
"Without filters","Bez filtrů"
"With all filters","Se všemi filtry"
"Default","Výchozí"
"Parent product","Nadřazený produkt"
"Use Robots meta header","Použít Robots meta header"
"Enabled","Povoleno"
"Enabled if cookie exist","Povoleno, pokud existuje cookie"
"Right","Vpravo"
"Left","Vlevo"
"Active","Aktivní"
"Inactive","Neaktivní"
"Don't change","Neměnit"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Nejprve výchozí"
"Custom","Vlastní"
"Brand only","Pouze značka"
"Category + Brand","Kategorie + Značka"
"Direct link","Přímý odkaz"
"Shortest path","Nejkratší cesta"
"Longest path","Nejdelší cesta"
"Long","Dlouhý"
"Short","Krátký"
"Include categories path to Product URLs","Zahrnout cestu kategorií do URL produktů"
"Don't include categories path to Product URLs","Nezahrnovat cestu kategorií do URL produktů"
"301 Moved permanently","301 Trvale přesunuto"
