"Home","首页"
"Go to Home Page","前往首页"
"Categories","分类"
"Pages","页面"
"Products","产品"
"Stores","商店"
"Top of page","页面顶部"
"Bottom of page","页面底部"
"Both top and bottom","顶部和底部"
"Disable","禁用"
"Permanent only","仅永久"
"All","全部"
"Priority must be between 0 and 1","优先级必须在0到1之间"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","自动生成站点地图需要Cron任务。可在系统 > 配置 > 目录 > Google站点地图 > 生成设置中配置自动生成。Magento的Cron未在运行。要设置Cron任务，请点击链接。"
"Blog","博客"
"Blog Home","博客首页"
"Brand","品牌"
"Knowledge Base","知识库"
"Landing Pages","落地页"
"Search sitemap","搜索站点地图"
"Search","搜索"
"Search through sitemap items","搜索站点地图项目"
"Visit %1 store","访问 %1 商店"
"View %1 page","查看 %1 页面"
"Additional Links","附加链接"
"Visit %1","访问 %1"
"View %1","查看 %1"
"View category: %1","查看分类：%1"
"View product: %1","查看产品：%1"
"Nothing to show, please change a search query","没有可显示的内容，请更改搜索词"
"Extended sitemap","扩展站点地图"
"General sitemap settings","站点地图常规设置"
"Basic configuration options that affect both frontend and XML sitemaps.","影响前端站点地图和XML站点地图的基本配置选项。"
"Ignore CMS pages","忽略CMS页面"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","选择不应出现在任何站点地图中的页面。适用于登录、注册及其他功能性页面。"
"Include SEO rewrites in sitemap","在站点地图中包含SEO重写"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","启用后，所有带INDEX FOLLOW meta robots的SEO重写URL将被包含在站点地图中。包含的链接模式不得为操作名称或包含通配符。前端站点地图需要<b>标题</b>字段。"
"Exclude redirects from sitemap","从站点地图中排除重定向"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","控制站点地图生成中重定向URL的处理方式。排除重定向可防止搜索引擎索引重定向URL，而包含重定向则允许爬虫发现重定向链。永久重定向（301）通常应被排除，因为它们指向已在站点地图中的canonical URL。"
"Additional links","附加链接"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","添加要包含在站点地图中的自定义URL。格式：每行一个URL。对于前端站点地图，请指定URL和页面标题，以逗号分隔。"
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","示例:<br/>/promotions/, 我们的促销<br/>/customer/account/, 客户账户"
"Exclude by pattern","按模式排除"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","指定要从所有站点地图中排除的URL模式。每个模式应在新行中。支持通配符（*）。"
"Example:<br/>/catalog/category/*<br/>/checkout/*","示例:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","前端站点地图设置"
"Configure how your HTML sitemap appears to visitors and search engines.","配置HTML站点地图对访客和搜索引擎的显示方式。"
"Display settings","显示设置"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","配置HTML站点地图的视觉呈现和用户界面元素。这些设置控制站点地图对访客的显示方式，包括布局结构、导航辅助和增强用户体验的交互功能。"
"Columns count","列数"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","定义前端站点地图显示的列数。更多列可以提高大型网站的可读性。"
"Valid values from 1 to 10","有效值为1到10"
"Alphabetical product grouping","按字母顺序分组产品"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","启用后，产品将按字母顺序分组并显示大写字母标题，改善访客的导航体验。"
"Show sitemap search box","显示站点地图搜索框"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","在前端站点地图页面显示搜索输入框。访客可使用此功能筛选并查找站点地图中的特定内容，无需滚动浏览所有条目。"
"Pagination controls position","分页控件位置"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","配置前端站点地图中分页导航的显示位置：页面顶部、页面底部或两处均显示。对于跨多个页面的大型站点地图，在顶部和底部均放置控件可提高导航可用性。"
"Cap product links per page","限制每页产品链接数"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","设置每页产品链接的最大数量以防止页面过大。超出后将自动应用分页。"
"SEO settings","SEO设置"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","为HTML站点地图页面定义SEO元素。这些设置直接影响站点地图在搜索结果中的显示方式及用户和爬虫的可发现性。"
"Base URL path to frontend sitemap","前端站点地图的基础URL路径"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","指定前端站点地图的可访问URL路径（例如，'map' 将使其在 example.com/map 上可用）。"
"Meta title","元标题"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","定义站点地图页面的浏览器选项卡标题。对搜索引擎索引非常重要。"
"Meta keywords","元关键词"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","定义站点地图页面的关键词。虽然对现代SEO的重要性较低，但对内部搜索仍有用处。"
"Meta description","元描述"
"Define the meta description for your sitemap page. This text may appear in search engine results.","定义站点地图页面的元描述。此文本可能出现在搜索引擎结果中。"
"H1 header","H1标题"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","定义站点地图页面上显示的主标题（H1）。对可用性和SEO都很重要。"
"Content settings","内容设置"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","控制HTML站点地图中包含的内容类型。这些设置确定站点地图的范围和全面性，允许您根据网站的特定导航需求进行定制，同时考虑大型目录的性能影响。"
"Show products","显示产品"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","启用后，所有产品将列在前端站点地图中。请考虑大型目录的性能影响。"
"Show categories","显示分类"
"When enabled, all categories will be included in the frontend sitemap.","启用后，所有分类将包含在前端站点地图中。"
"Show CMS pages","显示CMS页面"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","启用后，CMS页面（除站点地图常规设置中排除的页面外）将出现在前端站点地图中。"
"Show additional links","显示附加链接"
"When enabled, additional links will be included in the frontend sitemap.","启用后，附加链接将包含在前端站点地图中。"
"Show stores","显示商店"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","启用后，所有商店视图的链接将包含在前端站点地图中。对于多语言商店，有助于改善导航。"
"Show landing pages","显示落地页"
"When enabled, landing pages will be included in the frontend sitemap.","启用后，落地页将包含在前端站点地图中。"
"Show brands","显示品牌"
"When enabled, brands will be included in the frontend sitemap.","启用后，品牌将包含在前端站点地图中。"
"Show knowledge base","显示知识库"
"When enabled, the knowledge base will be included in the frontend sitemap.","启用后，知识库将包含在前端站点地图中。"
"Show blog","显示博客"
"When enabled, the blog will be included in the frontend sitemap.","启用后，博客将包含在前端站点地图中。"
"Show Aheadworks blog","显示Aheadworks博客"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","启用后，Aheadworks博客将包含在前端站点地图中。"
"Show FishPig blog","显示FishPig博客"
"When enabled, the FishPig blog will be included in the frontend sitemap.","启用后，FishPig博客将包含在前端站点地图中。"
"Show Mageplaza blog","显示Mageplaza博客"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","启用后，Mageplaza博客将包含在前端站点地图中。"
"Show Magefan blog","显示Magefan博客"
"When enabled, the Magefan blog will be included in the frontend sitemap.","启用后，Magefan博客将包含在前端站点地图中。"
"Show Amasty blog","显示Amasty博客"
"When enabled, the Amasty blog will be included in the frontend sitemap.","启用后，Amasty博客将包含在前端站点地图中。"
"Show Magezon blog","显示Magezon博客"
"When enabled, the Magezon blog will be included in the frontend sitemap.","启用后，Magezon博客将包含在前端站点地图中。"
"XML sitemap settings","XML站点地图设置"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","为搜索引擎爬虫配置XML站点地图。这些设置影响搜索引擎发现和索引网站内容的方式。"
"Common settings","通用设置"
"Settings that apply to all XML sitemap entries regardless of content type.","无论内容类型如何，适用于所有XML站点地图条目的设置。"
"Strip optional sitemap tags","删除可选站点地图标签"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","启用后，changefreq和priority标签将从所有XML站点地图中删除。一些SEO专家建议这样做，因为这些值经常被搜索引擎忽略。"
"Strip optional image tags","删除可选图片标签"
