"API key is not configured.","API-nyckeln är inte konfigurerad."
"AI request failed: %1","AI-begäran misslyckades: %1"
"SEO AI helper","SEO AI-assistent"
"General settings","Allmänna inställningar"
"Configure the core settings for the SEO AI helper functionality.","Konfigurera kärninstälningarna för SEO AI-assistentens funktionalitet."
"Enable SEO AI helper","Aktivera SEO AI-assistent"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Aktiverar de AI-drivna SEO-optimeringsfunktionerna i hela din Magento-butik."
"Use Core AI settings","Använd Core AI-inställningar"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","När aktiverat: Använder globala AI-inställningar från Core-modulen (rekommenderas)<br>När inaktiverat: Använder de modulspecifika inställningarna nedan"
"AI provider","AI-leverantör"
"Select the AI provider for SEO content generation.","Välj AI-leverantör för SEO-innehållsgenerering."
"AI model","AI-modell"
"Select the AI model for content generation. Available models depend on the selected provider.","Välj AI-modell för innehållsgenerering. Tillgängliga modeller beror på vald leverantör."
"API key","API-nyckel"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Hämta OpenAI API-nyckel</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Hämta Anthropic API-nyckel</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Hämta Google AI Studio API-nyckel</a>"
"AI helper","AI-assistent"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Konfigurera hur AI-assistenten automatiskt förbättrar butikens SEO-prestanda baserat på granskningsresultat."
"Automatically fix meta-related issues","Åtgärda metarelaterade problem automatiskt"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","När aktiverat genererar och tillämpar systemet automatiskt SEO-omskrivningar för att åtgärda problem med meta-titlar, beskrivningar och andra metaelement som identifierats under granskningar. Detta hjälper till att upprätthålla SEO-bästa praxis på hela din webbplats utan manuell åtgärd."
"Enable cron task","Aktivera cron-uppgift"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Schemalägg automatiska SEO-åtgärder att köras var 30:e minut via Magentos cron-system. Detta säkerställer att webbplatsens metainformation förblir optimerad även när nytt innehåll läggs till. Inaktivera om du föredrar att utlösa åtgärder manuellt."
"Re-generate SEO rewrites","Regenerera SEO-omskrivningar"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","När aktiverat förfinar systemet kontinuerligt tidigare genererat metainnehåll i efterföljande körningar tills det uppfyller rekommenderade längdriktlinjer och SEO-bästa praxis. Denna iterativa förbättring hjälper till att uppnå optimalt metainnehåll över tid."
"Add store information to context","Lägg till butiksinformation i kontext"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Förbättrar AI-genererat innehåll genom att inkludera butikens namn och beskrivning när metainnehåll skapas. Detta ger relevant kontext till AI:n, vilket resulterar i mer varumärkesanpassade och relevanta meta-beskrivningar och titlar."
"Store description","Butiksbeskrivning"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Beskriv med några ord vilka typer av produkter din butik säljer. Denna kontext hjälper AI:n att generera mer relevant och målinriktat metainnehåll. Dessa uppgifter är inte obligatoriska."
"AI helper store context","AI-assistentens butikskontext"
