"Template manager","テンプレートマネージャー"
"Rewrite manager","リライトマネージャー"
"Settings","設定"
"Preview template","テンプレートをプレビュー"
"SEO description","SEO説明文"
"Rewrite was removed","リライトが削除されました"
"Please select rewrite","リライトを選択してください"
"This rewrite no longer exists.","このリライトはすでに存在しません。"
"New rewrite","新しいリライト"
"There is no sample file for this entity.","このエンティティのサンプルファイルはありません。"
"Unable to create export file.","エクスポートファイルを作成できません。"
"Unable to send export file.","エクスポートファイルを送信できません。"
"Import/Export rewrites","リライトのインポート/エクスポート"
"%1 records were inserted or updated","%1 件のレコードが挿入または更新されました"
"Rewrite was saved.","リライトが保存されました。"
"No data to save.","保存するデータがありません。"
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","テンプレートが削除されました"
"Please select template","テンプレートを選択してください"
"Template was duplicated successfully.","テンプレートが正常に複製されました。"
"This template no longer exists.","このテンプレートはすでに存在しません。"
"New template","新しいテンプレート"
"Template was saved.","テンプレートが保存されました。"
"Disabled","無効"
"At the beginning","先頭に"
"At the end","末尾に"
"At the beginning (add to the first page)","先頭に（最初のページに追加）"
"At the end (add to the first page)","末尾に（最初のページに追加）"
"Category","カテゴリ"
"Post","投稿"
"Tag","タグ"
"Author","著者"
"Brand","ブランド"
"Open Chooser","選択ツールを開く"
"Conditions combination","条件の組み合わせ"
"Filter Subselection","フィルターサブ選択"
"Category Attributes","カテゴリ属性"
"Product attributes","商品属性"
"Page attributes","ページ属性"
"Blog Attributes","ブログ属性"
"Brand Attributes","ブランド属性"
"Landing Page Attributes","ランディングページ属性"
"Product attribute","商品属性"
"is","が"
"is not","でない"
"equals or greater than","以上"
"equals or less than","以下"
"greater than","より大きい"
"less than","より小さい"
"If number of applied filters %1 %2 while %3 of these Conditions match:","適用フィルター数が %1 %2 で、これらの条件のうち %3 が一致する場合："
"Landing Page","ランディングページ"
"Page","ページ"
"Attribute set","属性セット"
"Product type","商品タイプ"
"SEO Content","SEOコンテンツ"
"Is Category Page — %1","カテゴリページ — %1"
"Is Landing Page — %1","ランディングページ — %1"
"Is Navigation Page — %1","ナビゲーションページ — %1"
"Is Product Page — %1","商品ページ — %1"
"Is CMS page — %1","CMSページ — %1"
"Is Blog Page — %1","ブログページ — %1"
"Is Brand Page — %1","ブランドページ — %1"
"State","状態"
"Applied Template — %1","適用テンプレート — %1"
"Applied Rewrite — %1","適用リライト — %1"
"Content","コンテンツ"
"Content Sources","コンテンツソース"
"Page %1 | %2","ページ %1 | %2"
"%1 | Page %2","%1 | ページ %2"
"Tag: %1","タグ: %1"
"Back","戻る"
"Delete","削除"
"Are you sure you want to do this?","この操作を実行してもよろしいですか？"
"Save and continue edit","保存して編集を続ける"
"Save","保存"
"Edit","編集"
"Delete rewrite?","リライトを削除しますか？"
"Default","デフォルト"
"Yes","はい"
"No","いいえ"
"Bottom of the page","ページ下部"
"Under custom template","カスタムテンプレートの下"
"Don't add automatically","自動的に追加しない"
"Don't change","変更しない"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","条件"
"Conditions (leave blank for all elements, depending from rule type)","条件（ルールタイプによってすべての要素に適用する場合は空白のままにしてください）"
"Duplicate","複製"
"Delete template?","テンプレートを削除しますか？"
"Meta title","メタタイトル"
"Meta keywords","メタキーワード"
"Meta description","メタディスクリプション"
"Title (H1)","タイトル (H1)"
"Product short description","商品短い説明"
"Product Description","商品説明"
"Category description","カテゴリ説明"
"Brand Description","ブランド説明"
"Under product list","商品リストの下"
"Under short description","短い説明の下"
"Under full description","全説明の下"
"Categories","カテゴリ"
"Layered navigation","レイヤードナビゲーション"
"Products","商品"
"CMS pages","CMSページ"
"Blog","ブログ"
"Landing Pages","ランディングページ"
"SEO Rewrite Import","SEOリライトインポート"
"Import rewrites (.csv)","リライトをインポート (.csv)"
"Import rewrites","リライトをインポート"
"This is a required field.","これは必須フィールドです。"
"Example of CSV file","CSVファイルの例"
"SEO Rewrite Export","SEOリライトエクスポート"
"Export rewrites (.csv)","リライトをエクスポート (.csv)"
"Export rewrites","リライトをエクスポート"
"Please select the rule type","ルールタイプを選択してください"
"Preview not allowed for layered navigation templates","レイヤードナビゲーションテンプレートのプレビューは許可されていません"
"Preview not allowed for Blog templates","ブログテンプレートのプレビューは許可されていません"
"Preview not allowed for Brand templates","ブランドテンプレートのプレビューは許可されていません"
"URL or Entity IDs separated by comma","URLまたはエンティティIDをカンマ区切りで入力"
"Nothing to display","表示するものがありません"
"Template variables","テンプレート変数"
"learn more","詳細を見る"
"Double click on a variable to insert it into the field","変数をダブルクリックしてフィールドに挿入してください"
"Learn more about template variables","テンプレート変数の詳細を見る"
"Template Preview","テンプレートプレビュー"
"Reload","再読み込み"
"SEO Templates and rewrites","SEOテンプレートとリライト"
"General settings","全般設定"
"Configure basic behavior of meta tags processing across your store.","ストア全体のメタタグ処理の基本動作を設定してください。"
"Apply store prefixes to custom titles","カスタムタイトルにストアプレフィックスを適用"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","有効にすると、ストアのタイトルプレフィックス/サフィックス（コンテンツ > デザイン > 設定で設定）が任意のカスタムメタタイトルに自動的に適用されます。"
"Allow HTML in meta tags","メタタグでHTMLを許可"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","有効にすると、HTMLの特殊文字（&、<、>など）がエスケープされるのではなく、メタタグに保存されます。特殊記号やエンティティを含める場合に便利です。"
"Use existing meta tags","既存のメタタグを使用"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","モジュールがさまざまなページタイプにテンプレートベースのメタタグをどのように適用するかを定義してください。有効にすると、拡張機能はまず元のメタタグを確認します。空でない場合はそれを使用し、そうでなければ定義されたテンプレートに基づいてメタタグを生成します。無効にすると、既存のメタタグに関わらず、常にテンプレートからメタタグが生成されます。"
"Category pages","カテゴリページ"
"Product pages","商品ページ"
"Blog pages","ブログページ"
"Requires Mirasvit Blog module.","Mirasvit Blogモジュールが必要です。"
"Brand pages","ブランドページ"
"Requires Mirasvit Brand module.","Mirasvit Brandモジュールが必要です。"
"Landing pages","ランディングページ"
"Requires Mirasvit Landing Page module.","Mirasvit Landing Pageモジュールが必要です。"
"Content and meta length settings","コンテンツとメタの長さ設定"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","検索結果での最適な表示を確保するためにさまざまなメタ要素の文字数制限を指定してください。メタ要素の値は指定した長さに切り詰められます。低すぎる値は推奨最小値に置き換えられます。"
"Maximum character length for meta titles.","メタタイトルの最大文字数。"
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Googleは通常約55〜60文字を表示します。25未満の値はデフォルトで55になります。値が空または0の場合、制限は適用されません。"
"Maximum character length for meta descriptions.","メタディスクリプションの最大文字数。"
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Googleは通常約150〜160文字を表示します。25未満の値はデフォルトで150になります。値が空または0の場合、制限は適用されません。"
"Product name","商品名"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","商品ページに表示される商品名の最大文字数。この設定はページコンテンツの商品タイトルの切り詰めを制御します。"
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","10未満の値はデフォルトで25になります。値が空または0の場合、制限は適用されません。"
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","商品ページに表示される商品の短い説明の最大文字数。この設定はページコンテンツの表示に影響します。"
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","25未満の値はデフォルトで90になります。値が空または0の場合、制限は適用されません。"
"Paginated content settings","ページネーションコンテンツ設定"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","複数ページにわたるカテゴリリストや検索結果のメタタグにページネーション情報がどのように表示されるかを設定してください。"
"Add pagination to meta titles","メタタイトルにページネーションを追加"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","ページネーションされたコンテンツのメタタイトルにページ番号がどのように表示されるかを制御します。検索エンジンがページネーション構造を理解するのに役立ちます。"
"Add pagination to meta descriptions","メタディスクリプションにページネーションを追加"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","ページネーションされたコンテンツのメタディスクリプションにページ番号がどのように表示されるかを制御します。ページネーションされたページ全体で一意のメタディスクリプションを維持するのに役立ちます。"
"H1 Title","H1タイトル"
"General information","基本情報"
"Pattern of URL or action name","URLまたはアクション名のパターン"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","フルアクション名またはリクエストパスを指定できます。ワイルドカードを使用できます。例:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","有効"
"Sort order","並び順"
"Store view","ストアビュー"
"Title","タイトル"
"Use title in breadcrumbs","パンくずリストにタイトルを使用"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","有効にすると、<b>タイトル</b>フィールドの値が一致するページの最後のパンくずリスト項目ラベルとして使用されます。"
"Robots meta header","Robotsメタヘッダー"
"Add to Sitemap","サイトマップに追加"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","含まれるリンクパターンはアクション名であったりワイルドカード文字を含んだりしてはなりません。フロントエンドサイトマップには<b>タイトル</b>フィールドが必要です。"
"SEO description position","SEO説明文の位置"
"Template for adding SEO description","SEO説明文を追加するテンプレート"
"Block template","ブロックテンプレート"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","""SEO説明文の位置""と""SEO説明文を追加するテンプレート""フィールド、または""SEO説明文""ウィジェットで設定できる位置に追加されます。"
"Add rewrite","リライトを追加"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","説明の位置"
"Store","ストア"
"Internal name","内部名"
"Type","タイプ"
"Description settings","説明設定"
"Will only be applied if native Magento category description block is displayed on the frontend.","Magentoネイティブのカテゴリ説明ブロックがフロントエンドに表示されている場合にのみ適用されます。"
"Short description","短い説明"
"Full description","全説明"
"Rules processing","ルール処理"
"Stop further rules processing","以降のルール処理を停止"
"Apply to child categories","子カテゴリに適用"
"If category is set in Conditions, template will also be applied to all child categories.","条件でカテゴリが設定されている場合、テンプレートはすべての子カテゴリにも適用されます。"
"Landing pages additional settings","ランディングページ追加設定"
"Apply for landing pages","ランディングページに適用"
"CMS pages additional settings","CMSページ追加設定"
"Apply for homepage","ホームページに適用"
"Brands additional settings","ブランド追加設定"
"Apply for the ""All Brands"" page","「すべてのブランド」ページに適用"
"Add template","テンプレートを追加"
"Template","テンプレート"
"Rule type","ルールタイプ"
