"Page has links to broken page","Сторінка містить посилання на несправну сторінку"
"Internal outlinks to 4xx","Внутрішні вихідні посилання на 4xx"
"Page has links to broken resources","Сторінка містить посилання на несправні ресурси"
"Linked broken resources","Пов'язані несправні ресурси"
"Redirects linked to the page","Перенаправлення, пов'язані зі сторінкою"
"200 page","Сторінка 200"
"Status Code","Код статусу"
"404 page","Сторінка 404"
"4xx page","Сторінка 4xx"
"H1 tag is missing or empty","Тег H1 відсутній або порожній"
"H1 tag","Тег H1"
"Page has more than one H1 tag","Сторінка має більше одного тегу H1"
"H1 tags","Теги H1"
"Duplicate of meta description","Дублікат мета-опису"
"URLs with the same meta descriptions","URL з однаковими мета-описами"
"The page doesn't have a meta description","На сторінці відсутній мета-опис"
"No pages with the identical meta description found","Сторінок з ідентичним мета-описом не знайдено"
"Empty meta description","Порожній мета-опис"
"Meta description too short","Мета-опис занадто короткий"
"Meta description too long","Мета-опис занадто довгий"
"Meta description length","Довжина мета-опису"
"Meta description","Мета-опис"
"Duplicate of meta title","Дублікат мета-заголовку"
"URLs with the same meta titles","URL з однаковими мета-заголовками"
"The page doesn't have a meta title","На сторінці відсутній мета-заголовок"
"No pages with the identical meta title found","Сторінок з ідентичним мета-заголовком не знайдено"
"Empty meta title","Порожній мета-заголовок"
"Meta title too short","Мета-заголовок занадто короткий"
"Meta title too long","Мета-заголовок занадто довгий"
"Meta title length","Довжина мета-заголовку"
"Meta title","Мета-заголовок"
"SEO audit disabled in configurations","SEO-аудит вимкнено в конфігураціях"
"This job no longer exists.","Це завдання більше не існує."
"Job #%1 - %2","Завдання #%1 - %2"
"SEO audit","SEO-аудит"
"See details","Переглянути деталі"
"Back to all jobs","Назад до всіх завдань"
"Back to all issues","Назад до всіх проблем"
"See URL details","Переглянути деталі URL"
"URL","URL"
"Score","Оцінка"
"Message","Повідомлення"
"Checks","Перевірки"
"Health score","Показник якості"
"Health score reflects the results of all checks performed on internal URLs of the website","Показник якості відображає результати всіх перевірок, виконаних на внутрішніх URL сайту"
"Issue distribution","Розподіл проблем"
"Issue Type","Тип проблеми"
"Count","Кількість"
"Distribution","Розподіл"
"Error","Помилка"
"Warning","Попередження"
"Notice","Сповіщення"
"Error distribution","Розподіл помилок"
"Status","Статус"
"Description","Опис"
"Pages without errors","Сторінки без помилок"
"Pages with errors","Сторінки з помилками"
"General settings","Загальні налаштування"
"Core configuration settings that control the SEO audit functionality.","Основні параметри конфігурації, що контролюють функціональність SEO-аудиту."
"Enable SEO audit","Увімкнути SEO-аудит"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Якщо увімкнено, модуль виконуватиме заплановані SEO-аудити відповідно до конфігурації. Вимкнення призупинить всю автоматизовану функціональність аудиту."
"Issue","Проблема"
"Crawled","Просканований"
"Errors","Помилки"
"Warnings","Попередження"
"Notices","Сповіщення"
"ID","ID"
"Date","Дата"
"Duration","Тривалість"
"Total URLs crawled","Всього URL просканованих"
"Pages","Сторінки"
"Resources","Ресурси"
"Resources with errors","Ресурси з помилками"
"Url details","Деталі URL"
"Url","URL"
"Url score","Оцінка URL"
"Linked pages","Пов'язані сторінки"
"Linked resources","Пов'язані ресурси"
"Server load threshold (%)","Поріг навантаження сервера (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","Краулер призупиняється, коли навантаження CPU перевищує це значення. Стандартне значення — 80. Зменшіть його на серверах, чутливих до стрибків навантаження."
