"Add new link","Yeni bağlantı ekle"
"Import/Export links","Bağlantıları içe/dışa aktar"
"[deleted]","[silindi]"
"All store views","Tüm mağaza görünümleri"
"There is no sample file for this entity.","Bu varlık için örnek dosya yok."
"Unable to create export file.","Dışa aktarma dosyası oluşturulamıyor."
"Unable to send export file.","Dışa aktarma dosyası gönderilemiyor."
"Cross-links","Çapraz bağlantılar"
"%1 records were inserted or updated","%1 kayıt eklendi veya güncellendi"
"New link","Yeni bağlantı"
"Item was successfully deleted","Öğe başarıyla silindi"
"Edit link '%1'","'%1' bağlantısını düzenle"
"The link does not exist.","Bağlantı mevcut değil."
"Please select item(s)","Lütfen öğe(leri) seçin"
"Total of %1 record(s) were successfully deleted","Toplam %1 kayıt başarıyla silindi"
"Total of %1 record(s) were successfully disabled","Toplam %1 kayıt başarıyla devre dışı bırakıldı"
"Total of %1 record(s) were successfully enabled","Toplam %1 kayıt başarıyla etkinleştirildi"
"Link was successfully saved","Bağlantı başarıyla kaydedildi"
"Unable to find link to save","Kaydedilecek bağlantı bulunamadı"
"First","İlk"
"Last","Son"
"Random","Rastgele"
"CMS page","CMS sayfası"
"CMS block","CMS bloğu"
"Category description","Kategori açıklaması"
"Product short description","Ürün kısa açıklaması"
"Product full description","Ürün tam açıklaması"
"Product attributes","Ürün özellikleri"
"SEO description","SEO açıklaması"
"Blog MX post content","Blog MX gönderi içeriği"
"Mageplaza Blog post content","Mageplaza Blog gönderi içeriği"
"_self (in current window)","_self (mevcut pencerede)"
"_blank (in new window)","_blank (yeni pencerede)"
"_self (in own frameset)","_self (kendi çerçeve setinde)"
"_top (in full current browser window)","_top (tam mevcut tarayıcı penceresinde)"
"Back","Geri"
"Delete","Sil"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz?"
"Reset","Sıfırla"
"Resets input fields values","Giriş alanlarının değerlerini sıfırlar"
"Save and continue edit","Kaydet ve düzenlemeye devam et"
"Save","Kaydet"
"Edit","Düzenle"
"SEO Autolink Import","SEO Autolink İçe Aktarma"
"Import links (.csv)","Bağlantıları içe aktar (.csv)"
"Import links","Bağlantıları içe aktar"
"This is a required field.","Bu zorunlu bir alandır."
"Download example CSV file for autolink import","Otomatik bağlantı içe aktarımı için örnek CSV dosyasını indir"
