"API key is not configured.","API-ключ не налаштовано."
"AI request failed: %1","AI-запит не вдався: %1"
"SEO AI helper","SEO AI-помічник"
"General settings","Загальні налаштування"
"Configure the core settings for the SEO AI helper functionality.","Налаштуйте основні параметри функціональності SEO AI-помічника."
"Enable SEO AI helper","Увімкнути SEO AI-помічник"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Активує функції SEO-оптимізації на базі ШІ у вашому магазині Magento."
"Use Core AI settings","Використовувати основні налаштування AI"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Якщо увімкнено: використовує глобальні налаштування AI з основного модуля (рекомендовано)<br>Якщо вимкнено: використовує специфічні для модуля налаштування нижче"
"AI provider","Провайдер AI"
"Select the AI provider for SEO content generation.","Виберіть провайдера AI для генерації SEO-контенту."
"AI model","Модель AI"
"Select the AI model for content generation. Available models depend on the selected provider.","Виберіть модель AI для генерації контенту. Доступні моделі залежать від вибраного провайдера."
"API key","API-ключ"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Отримати API-ключ OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Отримати API-ключ Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Отримати API-ключ Google AI Studio</a>"
"AI helper","AI-помічник"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Налаштуйте, як AI-асистент автоматично покращує SEO-продуктивність вашого магазину на основі результатів аудиту."
"Automatically fix meta-related issues","Автоматично виправляти проблеми з мета"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Якщо увімкнено, система автоматично генеруватиме та застосовуватиме SEO перезаписи для виправлення проблем з мета-заголовками, описами та іншими мета-елементами, виявленими під час аудитів. Це допомагає підтримувати SEO best practices на вашому сайті без ручного втручання."
"Enable cron task","Увімкнути завдання cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Плануйте автоматичні виправлення SEO для запуску кожні 30 хвилин через систему cron Magento. Це забезпечує оптимізацію мета-інформації вашого сайту навіть при додаванні нового контенту. Вимкніть, якщо ви надаєте перевагу ручному запуску виправлень."
"Re-generate SEO rewrites","Перегенерувати SEO перезаписи"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Якщо увімкнено, система буде постійно вдосконалювати раніше згенерований мета-контент у подальших запусках, поки він не відповідатиме рекомендованим настановам щодо довжини та SEO best practices. Цей ітеративний підхід допомагає досягти оптимального мета-контенту з часом."
"Add store information to context","Додати інформацію про магазин до контексту"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Покращує AI-генерований контент, включаючи назву та опис вашого магазину при створенні мета-контенту. Це надає релевантний контекст AI, що призводить до більш відповідних бренду та релевантних мета-описів і заголовків."
"Store description","Опис магазину"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Опишіть кількома словами, які типи товарів продає ваш магазин. Цей контекст допомагає AI генерувати більш релевантний та цільовий мета-контент. Ці дані не є обов'язковими."
"AI helper store context","Контекст магазину AI-помічника"
