"Home","ホーム"
"Go to Home Page","ホームページへ移動"
"Categories","カテゴリ"
"Pages","ページ"
"Products","商品"
"Stores","ストア"
"Top of page","ページ上部"
"Bottom of page","ページ下部"
"Both top and bottom","上下両方"
"Disable","無効化"
"Permanent only","永続的なもののみ"
"All","すべて"
"Priority must be between 0 and 1","優先度は0から1の間でなければなりません"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","自動サイトマップ生成にはCronジョブが必要です。自動生成はシステム > 設定 > カタログ > Google サイトマップ > 生成設定で設定できます。Magento用のCronが実行されていません。Cronジョブを設定するには、リンクに従ってください。"
"Blog","ブログ"
"Blog Home","ブログホーム"
"Brand","ブランド"
"Knowledge Base","ナレッジベース"
"Landing Pages","ランディングページ"
"Search sitemap","サイトマップを検索"
"Search","検索"
"Search through sitemap items","サイトマップ項目を検索"
"Visit %1 store","%1 ストアを訪問"
"View %1 page","%1 ページを表示"
"Additional Links","追加リンク"
"Visit %1","%1 を訪問"
"View %1","%1 を表示"
"View category: %1","カテゴリを表示: %1"
"View product: %1","商品を表示: %1"
"Nothing to show, please change a search query","表示するものがありません。検索クエリを変更してください"
"Extended sitemap","拡張サイトマップ"
"General sitemap settings","サイトマップ全般設定"
"Basic configuration options that affect both frontend and XML sitemaps.","フロントエンドサイトマップとXMLサイトマップの両方に影響する基本設定オプションです。"
"Ignore CMS pages","CMSページを無視"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","サイトマップに表示しないページを選択してください。ログイン、登録、その他のユーティリティページに便利です。"
"Include SEO rewrites in sitemap","SEOリライトをサイトマップに含める"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","有効にすると、INDEX FOLLOW meta robotsを持つすべてのSEOリライトURLがサイトマップに含まれます。含まれるリンクパターンはアクション名であったりワイルドカード文字を含んだりしてはなりません。フロントエンドサイトマップには<b>タイトル</b>フィールドが必要です。"
"Exclude redirects from sitemap","サイトマップからリダイレクトを除外"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","サイトマップ生成時にリダイレクトURLをどのように処理するかを制御します。リダイレクトを除外すると、検索エンジンがリダイレクトURLをインデックスするのを防ぎます。含める場合は、クローラーがリダイレクトチェーンを発見できます。永続的リダイレクト（301）は通常、サイトマップにすでに含まれているcanonical URLを指しているため除外すべきです。"
"Additional links","追加リンク"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","サイトマップに含めるカスタムURLを追加してください。形式: 1行に1URL。フロントエンドサイトマップには、URLとページタイトルをカンマで区切って指定してください。"
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","例:<br/>/promotions/, プロモーション<br/>/customer/account/, カスタマーアカウント"
"Exclude by pattern","パターンで除外"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","すべてのサイトマップから除外するURLパターンを指定してください。各パターンは新しい行に記述してください。ワイルドカード（*）がサポートされています。"
"Example:<br/>/catalog/category/*<br/>/checkout/*","例:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","フロントエンドサイトマップ設定"
"Configure how your HTML sitemap appears to visitors and search engines.","HTMLサイトマップが訪問者と検索エンジンにどのように表示されるかを設定してください。"
"Display settings","表示設定"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","HTMLサイトマップの視覚的な表示とユーザーインターフェイス要素を設定してください。これらの設定は、レイアウト構造、ナビゲーション補助、ユーザーエクスペリエンスを向上させるインタラクティブ機能など、訪問者へのサイトマップ表示を制御します。"
"Columns count","列数"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","フロントエンドサイトマップに表示する列数を定義してください。列数を増やすと、大規模サイトの読みやすさが向上します。"
"Valid values from 1 to 10","有効な値は1から10"
"Alphabetical product grouping","商品をアルファベット順にグループ化"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","有効にすると、商品が大文字の見出しでアルファベット順にグループ化され、訪問者のナビゲーションが向上します。"
"Show sitemap search box","サイトマップ検索ボックスを表示"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","フロントエンドサイトマップページに検索入力フィールドを表示します。訪問者はすべてのエントリをスクロールせずに、特定のコンテンツをフィルタリングして見つけるために使用できます。"
"Pagination controls position","ページネーションコントロールの位置"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","フロントエンドサイトマップでページネーションナビゲーションをどこに表示するかを設定してください：ページ上部、ページ下部、または両方。複数ページにわたる大きなサイトマップでは、上下両方にコントロールを配置することでナビゲーションの使いやすさが向上します。"
"Cap product links per page","ページあたりの商品リンク数を制限"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","過度なページサイズを防ぐため、ページあたりの商品リンクの最大数を設定してください。超過した場合はページネーションが自動的に適用されます。"
"SEO settings","SEO設定"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","HTMLサイトマップページのSEO要素を定義してください。これらの設定は、サイトマップが検索結果にどのように表示されるかに直接影響し、ユーザーとクローラーによる発見可能性に影響します。"
"Base URL path to frontend sitemap","フロントエンドサイトマップへのベースURLパス"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","フロントエンドサイトマップにアクセスできるURLパスを指定してください（例：'map' にすると example.com/map でアクセスできます）。"
"Meta title","メタタイトル"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","サイトマップページのブラウザタブタイトルを定義してください。検索エンジンのインデックスに重要です。"
"Meta keywords","メタキーワード"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","サイトマップページのキーワードを定義してください。現代のSEOでは重要性が低くなっていますが、内部検索には依然として役立ちます。"
"Meta description","メタディスクリプション"
"Define the meta description for your sitemap page. This text may appear in search engine results.","サイトマップページのメタディスクリプションを定義してください。このテキストは検索エンジンの結果に表示される場合があります。"
"H1 header","H1ヘッダー"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","サイトマップページに表示されるメイン見出し（H1）を定義してください。ユーザビリティとSEOの両方に重要です。"
"Content settings","コンテンツ設定"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","HTMLサイトマップに含めるコンテンツの種類を制御してください。これらの設定によりサイトマップの範囲と網羅性が決まり、大規模カタログのパフォーマンスへの影響を考慮しながら、サイトの特定のナビゲーションニーズに合わせてカスタマイズできます。"
"Show products","商品を表示"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","有効にすると、すべての商品がフロントエンドサイトマップに一覧表示されます。大規模カタログのパフォーマンスへの影響を考慮してください。"
"Show categories","カテゴリを表示"
"When enabled, all categories will be included in the frontend sitemap.","有効にすると、すべてのカテゴリがフロントエンドサイトマップに含まれます。"
"Show CMS pages","CMSページを表示"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","有効にすると、CMSページ（サイトマップ全般設定で除外されたものを除く）がフロントエンドサイトマップに表示されます。"
"Show additional links","追加リンクを表示"
"When enabled, additional links will be included in the frontend sitemap.","有効にすると、追加リンクがフロントエンドサイトマップに含まれます。"
"Show stores","ストアを表示"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","有効にすると、すべてのストアビューへのリンクがフロントエンドサイトマップに含まれます。多言語ストアのナビゲーション向上に便利です。"
"Show landing pages","ランディングページを表示"
"When enabled, landing pages will be included in the frontend sitemap.","有効にすると、ランディングページがフロントエンドサイトマップに含まれます。"
"Show brands","ブランドを表示"
"When enabled, brands will be included in the frontend sitemap.","有効にすると、ブランドがフロントエンドサイトマップに含まれます。"
"Show knowledge base","ナレッジベースを表示"
"When enabled, the knowledge base will be included in the frontend sitemap.","有効にすると、ナレッジベースがフロントエンドサイトマップに含まれます。"
"Show blog","ブログを表示"
"When enabled, the blog will be included in the frontend sitemap.","有効にすると、ブログがフロントエンドサイトマップに含まれます。"
"Show Aheadworks blog","Aheadworksブログを表示"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","有効にすると、Aheadworksブログがフロントエンドサイトマップに含まれます。"
"Show FishPig blog","FishPigブログを表示"
"When enabled, the FishPig blog will be included in the frontend sitemap.","有効にすると、FishPigブログがフロントエンドサイトマップに含まれます。"
"Show Mageplaza blog","Mageplazaブログを表示"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","有効にすると、Mageplazaブログがフロントエンドサイトマップに含まれます。"
"Show Magefan blog","Magefanブログを表示"
"When enabled, the Magefan blog will be included in the frontend sitemap.","有効にすると、Magefanブログがフロントエンドサイトマップに含まれます。"
"Show Amasty blog","Amastyブログを表示"
"When enabled, the Amasty blog will be included in the frontend sitemap.","有効にすると、Amastyブログがフロントエンドサイトマップに含まれます。"
"Show Magezon blog","Magezonブログを表示"
"When enabled, the Magezon blog will be included in the frontend sitemap.","有効にすると、Magezonブログがフロントエンドサイトマップに含まれます。"
"XML sitemap settings","XMLサイトマップ設定"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","検索エンジンクローラー向けにXMLサイトマップを設定してください。これらの設定は検索エンジンがサイトコンテンツを発見・インデックスする方法に影響します。"
"Common settings","共通設定"
"Settings that apply to all XML sitemap entries regardless of content type.","コンテンツタイプに関わらず、すべてのXMLサイトマップエントリに適用される設定です。"
"Strip optional sitemap tags","オプションのサイトマップタグを削除"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","有効にすると、changefreqとpriorityタグがすべてのXMLサイトマップから削除されます。これらの値は検索エンジンによって無視されることが多いため、一部のSEO専門家はこれを推奨しています。"
"Strip optional image tags","オプションの画像タグを削除"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","有効にすると、image:titleとimage:captionタグがすべてのXMLサイトマップから削除されます。サイトマップファイルサイズを削減し、生成パフォーマンスを向上させます。"
"Strip PageMap tags","PageMapタグを削除"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","有効にすると、PageMapタグがすべてのXMLサイトマップから削除されます。PageMapは現代のインデックスでほとんど使用されていない廃止済みのGoogle機能です。サイトマップの複雑さを軽減するために有効にしてください。"
"Categories options","カテゴリオプション"
"Configure how category pages appear in XML sitemaps.","XMLサイトマップでカテゴリページをどのように表示するかを設定してください。"
"Frequency","頻度"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","カテゴリページがどのくらいの頻度で変更されるかを検索エンジンに示唆してください。これはヒントのみであり、クロール頻度に影響しない場合があります。"
"Priority","優先度"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","カテゴリページの相対的な重要度を示唆してください。これはヒントのみであり、ランキングに影響しない場合があります。"
"Valid values range from 0.0 (lowest) to 1.0 (highest)","有効な値の範囲は0.0（最低）から1.0（最高）"
"Products options","商品オプション"
"Configure how product pages appear in XML sitemaps.","XMLサイトマップで商品ページをどのように表示するかを設定してください。"
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","商品ページがどのくらいの頻度で変更されるかを検索エンジンに示唆してください。動的な在庫や価格には「毎日」、より静的な商品には「毎週」を使用してください。"
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","商品ページの相対的な重要度を示唆してください。ECサイトでは0.6から0.8の値が一般的に使用されます。"
"Valid values range from 0.0 to 1.0","有効な値の範囲は0.0から1.0"
"Add images into sitemap","サイトマップに画像を追加"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","XMLサイトマップへの商品画像の含め方を制御してください。画像を追加すると画像検索結果での表示が向上する場合があります。"
"Include disabled products","無効な商品を含める"
"When enabled, products that are disabled will still appear in XML sitemaps.","有効にすると、無効になっている商品もXMLサイトマップに表示されます。"
"Include out of stock products","在庫切れ商品を含める"
"When enabled, products that are out of stock will still appear in XML sitemaps.","有効にすると、在庫切れの商品もXMLサイトマップに表示されます。"
"CMS pages options","CMSページオプション"
"Configure how CMS pages appear in XML sitemaps.","XMLサイトマップでCMSページをどのように表示するかを設定してください。"
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","CMSページがどのくらいの頻度で変更されるかを検索エンジンに示唆してください。静的ページは通常「毎月」または「毎年」を使用します。"
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","CMSページの相対的な重要度を示唆してください。ホームページは通常1.0を使用し、ユーティリティページはより低い値を使用します。"
"Store URL options","ストアURLオプション"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","マルチストア設定でXMLサイトマップにストアビューURLをどのように表示するかを設定してください。"
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","ストアビューのホームページがどのくらいの頻度で変更されるかを検索エンジンに示唆してください。共有コンテンツを持つ多言語サイトでは、メインホームページの頻度と一致させてください。"
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","ストアビューのホームページの相対的な重要度を示唆してください。多言語サイトでは、値は通常メインホームページの優先度と一致させてください。"
"Generation settings","生成設定"
"Configure automated XML sitemap generation and error notifications.","XMLサイトマップの自動生成とエラー通知を設定してください。"
"Enable sitemap generation","サイトマップ生成を有効化"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","有効にすると、XMLサイトマップは以下のスケジュールに従って自動的に再生成されます。頻繁にコンテンツが更新されるサイトに推奨します。"
"Start time","開始時刻"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","サイトマップ生成を開始する時刻を設定してください。パフォーマンスへの影響を最小限に抑えるため、サイトトラフィックが少ない時間帯を選択してください。"
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","サイトマップを再生成する頻度を設定してください。動的コンテンツにはより頻繁な更新が推奨されますが、サーバー負荷が増加する可能性があります。"
"Error email recipient","エラーメール受信者"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","サイトマップ生成が失敗した場合に通知を受け取るメールアドレス。通知を無効にするには空のままにしてください。"
"Error email sender","エラーメール送信者"
"Email sender identity for sitemap generation error notifications.","サイトマップ生成エラー通知のメール送信者ID。"
"Error email template","エラーメールテンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected.","「デフォルト」オプション選択時にテーマのフォールバックに基づいて選択されるメールテンプレート。"
"Sitemap file limits","サイトマップファイル制限"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","検索エンジンとの互換性を確保するためにXMLサイトマップのファイルサイズ制限を設定してください。"
"Maximum number of URLs per file","ファイルあたりの最大URL数"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","サイトマップファイルあたりの最大URL数。超過した場合は複数のサイトマップファイルが自動的に作成されます。"
"Search engines recommend no more than 50,000 URLs per file","検索エンジンはファイルあたり50,000URL以下を推奨しています"
"Maximum file size","最大ファイルサイズ"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","サイトマップファイルの最大サイズ（バイト）。超過した場合は複数のサイトマップファイルが自動的に作成されます。"
"Search engines recommend files under 50MB (52,428,800 bytes)","検索エンジンは50MB未満（52,428,800バイト）のファイルを推奨しています"
"Search engine submission settings","検索エンジン送信設定"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","robots.txtを通じてXMLサイトマップを検索エンジンに自動送信するよう設定してください。"
"Enable submission to robots.txt","robots.txtへの送信を有効化"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","有効にすると、サイトマップの場所がrobots.txtファイルに自動的に追加され、検索エンジンによる発見を助けます。これは検索エンジンのウェブマスターツールへの直接送信を補完するものであり、代替ではありません。"
"Split sitemap by entity type","エンティティタイプ別にサイトマップを分割"
