"Page has links to broken page","页面包含指向无效页面的链接"
"Internal outlinks to 4xx","指向4xx的内部外链"
"Page has links to broken resources","页面包含指向无效资源的链接"
"Linked broken resources","已链接的无效资源"
"Redirects linked to the page","链接到此页面的重定向"
"200 page","200页面"
"Status Code","状态码"
"404 page","404页面"
"4xx page","4xx页面"
"H1 tag is missing or empty","H1标签缺失或为空"
"H1 tag","H1标签"
"Page has more than one H1 tag","页面包含多个H1标签"
"H1 tags","H1标签"
"Duplicate of meta description","元描述重复"
"URLs with the same meta descriptions","具有相同元描述的URL"
"The page doesn't have a meta description","页面没有元描述"
"No pages with the identical meta description found","未找到具有相同元描述的页面"
"Empty meta description","元描述为空"
"Meta description too short","元描述太短"
"Meta description too long","元描述太长"
"Meta description length","元描述长度"
"Meta description","元描述"
"Duplicate of meta title","元标题重复"
"URLs with the same meta titles","具有相同元标题的URL"
"The page doesn't have a meta title","页面没有元标题"
"No pages with the identical meta title found","未找到具有相同元标题的页面"
"Empty meta title","元标题为空"
"Meta title too short","元标题太短"
"Meta title too long","元标题太长"
"Meta title length","元标题长度"
"Meta title","元标题"
"SEO audit disabled in configurations","SEO审计在配置中已禁用"
"This job no longer exists.","此任务已不存在。"
"Job #%1 - %2","任务 #%1 - %2"
"SEO audit","SEO审计"
"See details","查看详情"
"Back to all jobs","返回所有任务"
"Back to all issues","返回所有问题"
"See URL details","查看URL详情"
"URL","URL"
"Score","得分"
"Message","消息"
"Checks","检查"
"Health score","健康得分"
"Health score reflects the results of all checks performed on internal URLs of the website","健康得分反映了对网站内部URL执行的所有检查结果"
"Issue distribution","问题分布"
"Issue Type","问题类型"
"Count","数量"
"Distribution","分布"
"Error","错误"
"Warning","警告"
"Notice","通知"
"Error distribution","错误分布"
"Status","状态"
"Description","描述"
"Pages without errors","无错误页面"
"Pages with errors","有错误的页面"
"General settings","常规设置"
"Core configuration settings that control the SEO audit functionality.","控制SEO审计功能的核心配置设置。"
"Enable SEO audit","启用SEO审计"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","启用后，模块将根据配置执行定期SEO审计。禁用将暂停所有自动审计功能。"
"Issue","问题"
"Crawled","已爬取"
"Errors","错误"
"Warnings","警告"
"Notices","通知"
"ID","ID"
"Date","日期"
"Duration","持续时间"
"Total URLs crawled","爬取的URL总数"
"Pages","页面"
"Resources","资源"
"Resources with errors","有错误的资源"
"Url details","URL详情"
"Url","URL"
"Url score","URL得分"
"Linked pages","已链接的页面"
"Linked resources","已链接的资源"
"Server load threshold (%)","服务器负载阈值 (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","当 CPU 负载超过此值时，爬虫将暂停。默认值为 80。在对负载峰值敏感的服务器上请适当降低此值。"
"Crawl schedule","抓取计划"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","爬虫运行频率的 Cron 表达式。默认 <code>*/30 * * * *</code> 每 30 分钟运行一次。使用 <code>0 2 * * *</code> 可每天凌晨 2 点运行一次。"
"Crawl performance","抓取性能"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","控制 SEO 审计爬取店铺的强度。较低强度可减少服务器负载，但会延长抓取时间。"
"Crawl intensity","抓取强度"
"Set the crawl intensity. Custom allows per-field configuration below.","设置抓取强度。选择自定义""可在下方对各字段进行单独配置。"""
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>高 — 密集抓取</b>：请求之间无延迟，适合有富余容量的专用服务器。<br/><b>中 — 默认模式</b>：延迟 200 毫秒，适用于大多数店铺。<br/><b>低 — 轻柔抓取</b>：延迟 500 毫秒，适用于共享主机或资源有限的店铺。<br/><b>自定义 — 专家模式</b>：手动配置所有抓取设置。"
"High — intensive crawl","高 — 密集抓取"
"Medium — default mode","中 — 默认模式"
"Low — soft crawl","低 — 轻柔抓取"
"Custom — expert mode","自定义 — 专家模式"
"Custom intensity settings","自定义强度设置"
"Applies only when Crawl intensity is set to Custom.","仅在抓取强度设为自定义""时生效。"""
"Delay between requests (ms)","请求间延迟（毫秒）"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","连续 URL 请求之间的等待时间。设为 <code>0</code> 表示无延迟，设为 <code>500</code> 表示半秒。"
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","每个抓取 URL 后插入的延迟（毫秒）。可降低繁忙店铺 PHP-FPM 的峰值并发数。"
"Maximum URLs per cron run","每次 Cron 运行的最大 URL 数"
"The crawler also stops after 5 minutes regardless of this limit.","无论此限制如何，爬虫也会在 5 分钟后停止。"
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","单次 Cron 运行中抓取 URL 数量的硬性上限。设为 <code>0</code> 表示无限制（仅受时间约束）。"
"Exclude URL patterns","排除 URL 模式"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","每行填写一个路径或子字符串。包含列出模式的 URL 将被跳过。示例：<code>/checkout</code>、<code>/customer</code>、<code>/cdn-cgi/</code>、<code>facebook.com</code>。"
"Restart job after (days)","重新启动任务后（天）"
"The audit job is force-restarted after this many days. Use this as a safety net for stores with more URLs than the crawler can process in one day.","审计任务将在达到指定天数后强制重新启动。对于 URL 数量超过爬虫单日处理能力的店铺，请将此设置作为安全保障。"
"Product page is missing Product schema (JSON-LD)","产品页面缺少 Product 架构（JSON-LD）"
"Product schema","Product 架构"
"Not applicable","不适用"
"Product schema found","已找到 Product 架构"
"Product schema not found","未找到 Product 架构"
"This product page has no Product (or ProductGroup) JSON-LD — it will not be eligible for Google rich results","此产品页面没有 Product（或 ProductGroup）JSON-LD，将无法获得 Google 富搜索结果资格"
"Schema (JSON-LD) is missing properties Google requires","架构（JSON-LD）缺少 Google 要求的属性"
"Schema quality","架构质量"
"No recognized schema on this page","此页面未识别到架构"
