"%1 service is not properly configured or available","O serviço %1 não está configurado corretamente ou não está disponível"
"Invalid AI request data","Dados de pedido de IA inválidos"
"Request prompt cannot be empty","O prompt do pedido não pode estar vazio"
"Claude API error","Erro da API Claude"
"Invalid Claude API response: missing content","Resposta da API Claude inválida: conteúdo em falta"
"Empty content received from Claude API","Conteúdo vazio recebido da API Claude"
"Gemini API error","Erro da API Gemini"
"Invalid Gemini API response: missing candidates","Resposta da API Gemini inválida: candidatos em falta"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","A resposta da API Gemini foi truncada porque o limite max_tokens foi atingido. Considere aumentar a definição max_tokens ou usar um prompt mais curto."
"Empty content received from Gemini API","Conteúdo vazio recebido da API Gemini"
"AI services are disabled in configuration","Os serviços de IA estão desativados na configuração"
"No default AI provider configured","Nenhum fornecedor de IA predefinido configurado"
"No available AI provider for request validation","Nenhum fornecedor de IA disponível para validação de pedidos"
"Request validation failed: %1","A validação do pedido falhou: %1"
"All AI providers failed. Last error: %1","Todos os fornecedores de IA falharam. Último erro: %1"
"Unsupported AI provider: %1. Supported providers: %2","Fornecedor de IA não suportado: %1. Fornecedores suportados: %2"
"Service class %1 must extend %2","A classe de serviço %1 deve estender %2"
"Failed to create AI service for provider %1: %2","Falha ao criar serviço de IA para o fornecedor %1: %2"
"Not configured","Não configurado"
Unknown,Desconhecido
"Unknown API error","Erro de API desconhecido"
"Temperature must be between 0 and 2","A temperatura deve estar entre 0 e 2"
"Max tokens must be greater than 0","O máximo de tokens deve ser superior a 0"
"Frequency penalty must be between -2 and 2","A penalização de frequência deve estar entre -2 e 2"
"Format output as JSON.","Formatar saída como JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","A API OpenAI devolveu uma resposta incompleta porque o número de tokens da janela de contexto do modelo foi excedido."
"OpenAI API returned no content in the response.","A API OpenAI não devolveu conteúdo na resposta."
"Not Installed","Não instalado"
"A total of %1 record(s) have been deleted.","Um total de %1 registo(s) foi eliminado."
"The record has been removed.","O registo foi removido."
