Attribute,属性
"Enable SEO URL","SEO URLを有効にする"
"URL Alias","URLエイリアス"
"SEO Filters","SEOフィルター"
"SEO Filters configuration is not available for this attribute","この属性ではSEOフィルターの設定を利用できません"
"All (%1) attribute and option aliases were removed.","すべての属性およびオプションのエイリアス（%1件）が削除されました。"
"Use Default","デフォルトを使用"
Enabled,有効
Disabled,無効
"Do not use a separator [allweather]","区切り文字を使用しない [allweather]"
"Use ""_"" as a separator [all_weather]","区切り文字に ""_"" を使用する [all_weather]"
"Use ""-"" as a separator [all-weather]","区切り文字に ""-"" を使用する [all-weather]"
"Use capital letter as a separator [allWeather]","区切り文字に大文字を使用する [allWeather]"
"Store View Label","ストアビューラベル"
"Default (Admin) Label","デフォルト（管理画面）ラベル"
"Short: category/option1-option2-option3","短い形式: category/option1-option2-option3"
"Long: category/attr1/option1-option2/attr2/option3","長い形式: category/attr1/option1-option2/attr2/option3"
"Short: category/option1/option2/option3","短い形式: category/option1/option2/option3"
"Short: category/option1_option2_option3","短い形式: category/option1_option2_option3"
"Long: category/attr1/option1-option2/attr2/option1","長い形式: category/attr1/option1-option2/attr2/option1"
"Long: category/attr1-option1-option2/attr2-option1","長い形式: category/attr1-option1-option2/attr2-option1"
"Long: category/attr1:option1,option2/attr2:option1,option2","長い形式: category/attr1:option1,option2/attr2:option1,option2"
"The rewrite ""%1"" already exists or is not available. New rewrite ""%2"" was generated.","リライト ""%1"" は既に存在するか利用できません。新しいリライト ""%2"" が生成されました。"
"The rewrite ""%1"" already exists for one of the additional filter options. New rewrite ""%2"" was generated.","リライト ""%1"" は追加のフィルターオプションの1つに既に存在します。新しいリライト ""%2"" が生成されました。"
"Using the hyphen as a word separator has limitations.","単語の区切り文字としてハイフンを使用する場合には制限があります。"
"Since the hyphen is used as an option separator, aliases like: ""weight-height"" and single ""weight"" may not be recognized correctly by the SEO filter route handler.","ハイフンはオプションの区切り文字として使用されるため、""weight-height"" や単独の ""weight"" のようなエイリアスはSEOフィルターのルートハンドラーで正しく認識されない場合があります。"
"Seo Friendly Urls","SEOフレンドリーURL"
Option,オプション
"SEO friendly aliases are automatically generated when ""Use in Layered Navigation"" is set to Filterable.","""レイヤードナビゲーションで使用"" が ""フィルター可能"" に設定されている場合、SEOフレンドリーなエイリアスが自動的に生成されます。"
"This is a required field.","この項目は必須です。"
Warning,警告
"Filter SEO URLs","フィルターSEO URL"
"SEO friendly Layered Navigation URLs","SEOフレンドリーなレイヤードナビゲーションURL"
"Enable SEO Friendly URLs","SEOフレンドリーURLを有効にする"
"Activates SEO-friendly URLs for layered navigation. Works with default Magento or Mirasvit Layered Navigation only.","レイヤードナビゲーションのSEOフレンドリーURLを有効にします。標準のMagentoまたはMirasvitのレイヤードナビゲーションでのみ動作します。"
"URL Formats","URLフォーマット"
"Select the URL format for filters.","フィルター用のURLフォーマットを選択してください。"
"Separator for Filter Names","フィルター名の区切り文字"
"Choose a separator to go between words in complex filter names. For example, ""all-weather"" vs. ""allweather.""","複数の単語からなるフィルター名の単語間に挿入する区切り文字を選択してください。例: ""all-weather"" と ""allweather"" の違い。"
"Use Prefix for Filters","フィルターにプレフィックスを使用する"
"Optionally, add a prefix before filters in URLs to improve readability.","必要に応じて、URL内のフィルターの前にプレフィックスを追加して可読性を高めることができます。"
"Rewrite Alias Source","リライトエイリアスのソース"
"Define the source for URL rewrite aliases. Choose between using the store view label or the default store view label for consistency across all views.","URLリライトエイリアスのソースを定義します。すべてのビューで一貫性を保つために、ストアビューラベルとデフォルトのストアビューラベルのいずれかを選択してください。"
"%1 orphaned alias(es) removed.","孤立したエイリアスを %1 件削除しました。"
