"Page has links to broken page","A página tem hiperligações para uma página inválida"
"Internal outlinks to 4xx","Hiperligações internas para 4xx"
"Page has links to broken resources","A página tem hiperligações para recursos inválidos"
"Linked broken resources","Recursos inválidos hiperligados"
"Redirects linked to the page","Redireccionamentos hiperligados à página"
"200 page","Página 200"
"Status Code","Código de estado"
"404 page","Página 404"
"4xx page","Página 4xx"
"H1 tag is missing or empty","A etiqueta H1 está em falta ou vazia"
"H1 tag","Etiqueta H1"
"Page has more than one H1 tag","A página tem mais de uma etiqueta H1"
"H1 tags","Etiquetas H1"
"Duplicate of meta description","Duplicado de meta descrição"
"URLs with the same meta descriptions","URLs com as mesmas meta descrições"
"The page doesn't have a meta description","A página não tem uma meta descrição"
"No pages with the identical meta description found","Não foram encontradas páginas com a meta descrição idêntica"
"Empty meta description","Meta descrição vazia"
"Meta description too short","Meta descrição demasiado curta"
"Meta description too long","Meta descrição demasiado longa"
"Meta description length","Comprimento da meta descrição"
"Meta description","Meta descrição"
"Duplicate of meta title","Duplicado de meta título"
"URLs with the same meta titles","URLs com os mesmos meta títulos"
"The page doesn't have a meta title","A página não tem um meta título"
"No pages with the identical meta title found","Não foram encontradas páginas com o meta título idêntico"
"Empty meta title","Meta título vazio"
"Meta title too short","Meta título demasiado curto"
"Meta title too long","Meta título demasiado longo"
"Meta title length","Comprimento do meta título"
"Meta title","Meta título"
"SEO audit disabled in configurations","Auditoria SEO desativada nas configurações"
"This job no longer exists.","Este trabalho já não existe."
"Job #%1 - %2","Trabalho n.º %1 - %2"
"SEO audit","Auditoria SEO"
"See details","Ver detalhes"
"Back to all jobs","Voltar a todos os trabalhos"
"Back to all issues","Voltar a todos os problemas"
"See URL details","Ver detalhes do URL"
"URL","URL"
"Score","Pontuação"
"Message","Mensagem"
"Checks","Verificações"
"Health score","Pontuação de saúde"
"Health score reflects the results of all checks performed on internal URLs of the website","A pontuação de saúde reflete os resultados de todas as verificações realizadas nos URLs internos do site"
"Issue distribution","Distribuição de problemas"
"Issue Type","Tipo de problema"
"Count","Contagem"
"Distribution","Distribuição"
"Error","Erro"
"Warning","Aviso"
"Notice","Aviso informativo"
"Error distribution","Distribuição de erros"
"Status","Estado"
"Description","Descrição"
"Pages without errors","Páginas sem erros"
"Pages with errors","Páginas com erros"
"General settings","Definições gerais"
"Core configuration settings that control the SEO audit functionality.","Definições de configuração principais que controlam a funcionalidade de auditoria SEO."
"Enable SEO audit","Ativar auditoria SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","Quando ativado, o módulo realizará auditorias SEO agendadas com base na configuração. Desativar irá pausar toda a funcionalidade de auditoria automatizada."
"Issue","Problema"
"Crawled","Rastreado"
"Errors","Erros"
"Warnings","Avisos"
"Notices","Avisos informativos"
"ID","ID"
"Date","Data"
"Duration","Duração"
"Total URLs crawled","Total de URLs rastreados"
"Pages","Páginas"
"Resources","Recursos"
"Resources with errors","Recursos com erros"
"Url details","Detalhes do URL"
"Url","URL"
"Url score","Pontuação do URL"
"Linked pages","Páginas hiperligadas"
"Linked resources","Recursos hiperligados"
"Server load threshold (%)","Limiar de carga do servidor (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","O crawler é pausado quando a carga da CPU excede este valor. O valor predefinido é 80. Diminua este valor em servidores sensíveis a picos de carga."
"Crawl schedule","Agendamento do rastreio"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","Expressão Cron para a frequência de execução do crawler. O predefinido <code>*/30 * * * *</code> é executado a cada 30 minutos. Use <code>0 2 * * *</code> para executar uma vez por dia às 2h."
"Crawl performance","Desempenho do rastreio"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","Controla a intensidade com que o audit de SEO rastreia a sua loja. Uma intensidade menor reduz a carga do servidor à custa de um tempo de rastreio mais longo."
"Crawl intensity","Intensidade do rastreio"
"Set the crawl intensity. Custom allows per-field configuration below.","Define a intensidade do rastreio. O modo Personalizado permite configuração por campo abaixo."
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>Alta — rastreio intensivo</b>: sem pausa entre os pedidos, indicado para servidores dedicados com capacidade disponível.<br/><b>Média — modo predefinido</b>: pausa de 200 ms, recomendado para a maioria das lojas.<br/><b>Baixa — rastreio suave</b>: pausa de 500 ms, para alojamento partilhado ou lojas com recursos limitados.<br/><b>Personalizado — modo especialista</b>: configurar manualmente todas as definições de rastreio."
"High — intensive crawl","Alta — rastreio intensivo"
"Medium — default mode","Média — modo predefinido"
"Low — soft crawl","Baixa — rastreio suave"
"Custom — expert mode","Personalizado — modo especialista"
"Custom intensity settings","Definições de intensidade personalizadas"
"Applies only when Crawl intensity is set to Custom.","Aplica-se apenas quando a intensidade do rastreio está definida como Personalizado."
"Delay between requests (ms)","Atraso entre pedidos (ms)"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","Tempo de espera entre pedidos de URL consecutivos. Defina <code>0</code> para sem atraso, <code>500</code> para meio segundo."
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","Atraso em milissegundos inserido após cada URL rastreada. Reduz a concorrência de pico do PHP-FPM em lojas com muito tráfego."
"Maximum URLs per cron run","Número máximo de URLs por execução Cron"
"The crawler also stops after 5 minutes regardless of this limit.","O crawler também para após 5 minutos independentemente deste limite."
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","Limite máximo do número de URLs rastreadas numa única execução Cron. Defina <code>0</code> para sem limite (apenas limitado por tempo)."
"Exclude URL patterns","Excluir padrões de URL"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","Um caminho ou subcadeia por linha. Qualquer URL que contenha um padrão listado será ignorada. Exemplo: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>."
"Restart job after (days)","Reiniciar trabalho após (dias)"
"The audit job is force-restarted after this many days. Use this as a safety net for stores with more URLs than the crawler can process in one day.","O trabalho de auditoria é reiniciado forçosamente após este número de dias. Utilize isto como proteção para lojas com mais URLs do que o crawler consegue processar num único dia."
"Product page is missing Product schema (JSON-LD)","À página de produto falta o schema Product (JSON-LD)"
"Product schema","Schema Product"
"Not applicable","Não aplicável"
"Product schema found","Schema Product encontrado"
"Product schema not found","Schema Product não encontrado"
"This product page has no Product (or ProductGroup) JSON-LD — it will not be eligible for Google rich results","Esta página de produto não tem JSON-LD do tipo Product (ou ProductGroup) — não será elegível para rich results do Google"
"Schema (JSON-LD) is missing properties Google requires","Ao schema (JSON-LD) faltam propriedades exigidas pelo Google"
"Schema quality","Qualidade do schema"
"No recognized schema on this page","Nenhum schema reconhecido nesta página"
"All required properties present","Todas as propriedades obrigatórias estão presentes"
"Some schema.org properties Google requires are missing or empty","Algumas propriedades schema.org exigidas pelo Google estão em falta ou vazias"
"Canonical tag is missing","A etiqueta Canonical está em falta"
"Canonical","Canonical"
"Page has thin content","A página tem conteúdo escasso"
"Word count","Número de palavras"
"%1 words","%1 palavras"
"Visible page content looks thin — consider adding more unique, substantive copy","O conteúdo visível da página parece escasso — considere acrescentar um texto mais único e substancial"
