"Page has links to broken page","الصفحة تحتوي على روابط لصفحة معطلة"
"Internal outlinks to 4xx","روابط خارجية داخلية إلى 4xx"
"Page has links to broken resources","الصفحة تحتوي على روابط لموارد معطلة"
"Linked broken resources","الموارد المعطلة المرتبطة"
"Redirects linked to the page","عمليات إعادة التوجيه المرتبطة بالصفحة"
"200 page","صفحة 200"
"Status Code","رمز الحالة"
"404 page","صفحة 404"
"4xx page","صفحة 4xx"
"H1 tag is missing or empty","وسم H1 مفقود أو فارغ"
"H1 tag","وسم H1"
"Page has more than one H1 tag","الصفحة تحتوي على أكثر من وسم H1"
"H1 tags","وسوم H1"
"Duplicate of meta description","تكرار وصف ميتا"
"URLs with the same meta descriptions","عناوين URL ذات وصف ميتا متطابق"
"The page doesn't have a meta description","الصفحة لا تحتوي على وصف ميتا"
"No pages with the identical meta description found","لم يتم العثور على صفحات بوصف ميتا متطابق"
"Empty meta description","وصف ميتا فارغ"
"Meta description too short","وصف ميتا قصير جدًا"
"Meta description too long","وصف ميتا طويل جدًا"
"Meta description length","طول وصف ميتا"
"Meta description","وصف ميتا"
"Duplicate of meta title","تكرار عنوان ميتا"
"URLs with the same meta titles","عناوين URL ذات عنوان ميتا متطابق"
"The page doesn't have a meta title","الصفحة لا تحتوي على عنوان ميتا"
"No pages with the identical meta title found","لم يتم العثور على صفحات بعنوان ميتا متطابق"
"Empty meta title","عنوان ميتا فارغ"
"Meta title too short","عنوان ميتا قصير جدًا"
"Meta title too long","عنوان ميتا طويل جدًا"
"Meta title length","طول عنوان ميتا"
"Meta title","عنوان ميتا"
"SEO audit disabled in configurations","تدقيق SEO معطل في التكوينات"
"This job no longer exists.","هذه المهمة لم تعد موجودة."
"Job #%1 - %2","المهمة رقم %1 - %2"
"SEO audit","تدقيق SEO"
"See details","عرض التفاصيل"
"Back to all jobs","العودة إلى جميع المهام"
"Back to all issues","العودة إلى جميع المشكلات"
"See URL details","عرض تفاصيل URL"
"URL","URL"
"Score","النتيجة"
"Message","الرسالة"
"Checks","الفحوصات"
"Health score","نقاط الصحة"
"Health score reflects the results of all checks performed on internal URLs of the website","تعكس نقاط الصحة نتائج جميع الفحوصات التي أُجريت على عناوين URL الداخلية للموقع"
"Issue distribution","توزيع المشكلات"
"Issue Type","نوع المشكلة"
"Count","العدد"
"Distribution","التوزيع"
"Error","خطأ"
"Warning","تحذير"
"Notice","ملاحظة"
"Error distribution","توزيع الأخطاء"
"Status","الحالة"
"Description","الوصف"
"Pages without errors","الصفحات بدون أخطاء"
"Pages with errors","الصفحات التي تحتوي على أخطاء"
"General settings","الإعدادات العامة"
"Core configuration settings that control the SEO audit functionality.","إعدادات التكوين الأساسية التي تتحكم في وظيفة تدقيق SEO."
"Enable SEO audit","تمكين تدقيق SEO"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","عند التمكين، سيجري الوحدة عمليات تدقيق SEO مجدولة بناءً على التكوين. التعطيل سيوقف مؤقتًا جميع وظائف التدقيق الآلي."
"Issue","المشكلة"
"Crawled","تم الزحف إليه"
"Errors","الأخطاء"
"Warnings","التحذيرات"
"Notices","الملاحظات"
"ID","المعرف"
"Date","التاريخ"
"Duration","المدة"
"Total URLs crawled","إجمالي عناوين URL التي تم زحفها"
"Pages","الصفحات"
"Resources","الموارد"
"Resources with errors","الموارد التي تحتوي على أخطاء"
"Url details","تفاصيل URL"
"Url","URL"
"Url score","نقاط URL"
"Linked pages","الصفحات المرتبطة"
"Linked resources","الموارد المرتبطة"
"Server load threshold (%)","حد تحميل الخادم (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","يتوقف الزاحف مؤقتًا عندما يتجاوز حمل المعالج هذه القيمة. القيمة الافتراضية 80. قلّل هذه القيمة على الخوادم الحساسة لارتفاعات الحمل."
"Crawl schedule","جدول الزحف"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","تعبير Cron لتحديد تكرار تشغيل الزاحف. القيمة الافتراضية <code>*/30 * * * *</code> تعمل كل 30 دقيقة. استخدم <code>0 2 * * *</code> للتشغيل مرة يوميًا في الساعة الثانية صباحًا."
"Crawl performance","أداء الزحف"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","يتحكم في مدى كثافة زحف تدقيق SEO على متجرك. تقليل الكثافة يخفف حمل الخادم على حساب وقت زحف أطول."
"Crawl intensity","كثافة الزحف"
"Set the crawl intensity. Custom allows per-field configuration below.","حدد كثافة الزحف. يتيح الوضع المخصص ضبط كل حقل بشكل منفرد أدناه."
"<b>High — intensive crawl</b>: no delay between requests, suitable for dedicated servers with spare capacity.<br/><b>Medium — default mode</b>: 200 ms delay, recommended for most stores.<br/><b>Low — soft crawl</b>: 500 ms delay, use on shared hosting or stores with limited resources.<br/><b>Custom — expert mode</b>: configure all crawl settings manually.","<b>مرتفعة — زحف مكثف</b>: بدون تأخير بين الطلبات، مناسب للخوادم المخصصة ذات الطاقة الفائضة.<br/><b>متوسطة — الوضع الافتراضي</b>: تأخير 200 مللي ثانية، موصى به لمعظم المتاجر.<br/><b>منخفضة — زحف ناعم</b>: تأخير 500 مللي ثانية، للاستخدام على الاستضافة المشتركة أو المتاجر ذات الموارد المحدودة.<br/><b>مخصص — وضع الخبير</b>: ضبط جميع إعدادات الزحف يدوياً."
"High — intensive crawl","مرتفعة — زحف مكثف"
"Medium — default mode","متوسطة — الوضع الافتراضي"
"Low — soft crawl","منخفضة — زحف ناعم"
"Custom — expert mode","مخصص — وضع الخبير"
"Custom intensity settings","إعدادات الكثافة المخصصة"
"Applies only when Crawl intensity is set to Custom.","ينطبق فقط عندما تكون كثافة الزحف مضبوطة على مخصص."
"Delay between requests (ms)","التأخير بين الطلبات (مللي ثانية)"
"Time to wait between consecutive URL requests. Set to <code>0</code> for no delay, <code>500</code> for half a second.","وقت الانتظار بين طلبات URL المتتالية. اضبط على <code>0</code> لعدم التأخير، أو <code>500</code> لنصف ثانية."
"Delay in milliseconds inserted after each crawled URL. Reduces peak PHP-FPM concurrency on busy stores.","تأخير بالمللي ثانية يُضاف بعد كل URL تم زحفه. يقلل من ذروة التزامن في PHP-FPM على المتاجر ذات الحركة العالية."
"Maximum URLs per cron run","الحد الأقصى لعناوين URL لكل تشغيل Cron"
"The crawler also stops after 5 minutes regardless of this limit.","يتوقف الزاحف أيضًا بعد 5 دقائق بصرف النظر عن هذا الحد."
"Hard cap on the number of URLs crawled in a single cron run. Set to <code>0</code> for no limit (time-bound only).","الحد الأقصى الصارم لعدد عناوين URL التي يتم زحفها في تشغيل Cron واحد. اضبط على <code>0</code> لعدم وجود حد (مقيد بالوقت فقط)."
"Exclude URL patterns","استبعاد أنماط URL"
"One path or substring per line. Any URL containing a listed pattern will be skipped. Example: <code>/checkout</code>, <code>/customer</code>, <code>/cdn-cgi/</code>, <code>facebook.com</code>.","مسار أو نص فرعي واحد في كل سطر. سيتم تخطي أي URL يحتوي على نمط مدرج. مثال: <code>/checkout</code>، <code>/customer</code>، <code>/cdn-cgi/</code>، <code>facebook.com</code>."
"Restart job after (days)","إعادة تشغيل المهمة بعد (أيام)"
"The audit job is force-restarted after this many days. Use this as a safety net for stores with more URLs than the crawler can process in one day.","تُعاد تشغيل مهمة التدقيق إجباريًا بعد هذا العدد من الأيام. استخدم هذا كشبكة أمان للمتاجر التي تحتوي على عناوين URL أكثر مما يستطيع الزاحف معالجته في يوم واحد."
"Product page is missing Product schema (JSON-LD)","صفحة المنتج تفتقد إلى schema من نوع Product (JSON-LD)"
"Product schema","schema المنتج"
"Not applicable","غير قابل للتطبيق"
"Product schema found","تم العثور على schema المنتج"
"Product schema not found","لم يتم العثور على schema المنتج"
"This product page has no Product (or ProductGroup) JSON-LD — it will not be eligible for Google rich results","لا تحتوي صفحة المنتج هذه على JSON-LD من نوع Product (أو ProductGroup) — لذا لن تكون مؤهلة لظهورها ضمن النتائج المنسقة في Google"
"Schema (JSON-LD) is missing properties Google requires","يفتقد الـ schema (JSON-LD) إلى الخصائص التي تتطلبها Google"
"Schema quality","جودة الـ schema"
"No recognized schema on this page","لم يتم التعرف على أي schema في هذه الصفحة"
"All required properties present","جميع الخصائص المطلوبة موجودة"
"Some schema.org properties Google requires are missing or empty","بعض خصائص schema.org التي تتطلبها Google مفقودة أو فارغة"
"Canonical tag is missing","وسم Canonical مفقود"
"Canonical","Canonical"
"Page has thin content","الصفحة تحتوي على محتوى ضعيف"
"Word count","عدد الكلمات"
"%1 words","%1 كلمة"
"Visible page content looks thin — consider adding more unique, substantive copy","محتوى الصفحة الظاهر يبدو ضعيفاً — يُفضّل إضافة محتوى فريد وأكثر قيمة"
