"Page has links to broken page","このページには壊れたページへのリンクがあります"
"Internal outlinks to 4xx","4xxへの内部外部リンク"
"Page has links to broken resources","このページには壊れたリソースへのリンクがあります"
"Linked broken resources","リンクされた壊れたリソース"
"Redirects linked to the page","このページにリンクされたリダイレクト"
"200 page","200ページ"
"Status Code","ステータスコード"
"404 page","404ページ"
"4xx page","4xxページ"
"H1 tag is missing or empty","H1タグがないか空です"
"H1 tag","H1タグ"
"Page has more than one H1 tag","このページには複数のH1タグがあります"
"H1 tags","H1タグ"
"Duplicate of meta description","メタディスクリプションの重複"
"URLs with the same meta descriptions","同じメタディスクリプションを持つURL"
"The page doesn't have a meta description","このページにはメタディスクリプションがありません"
"No pages with the identical meta description found","同一のメタディスクリプションを持つページは見つかりませんでした"
"Empty meta description","メタディスクリプションが空"
"Meta description too short","メタディスクリプションが短すぎます"
"Meta description too long","メタディスクリプションが長すぎます"
"Meta description length","メタディスクリプションの長さ"
"Meta description","メタディスクリプション"
"Duplicate of meta title","メタタイトルの重複"
"URLs with the same meta titles","同じメタタイトルを持つURL"
"The page doesn't have a meta title","このページにはメタタイトルがありません"
"No pages with the identical meta title found","同一のメタタイトルを持つページは見つかりませんでした"
"Empty meta title","メタタイトルが空"
"Meta title too short","メタタイトルが短すぎます"
"Meta title too long","メタタイトルが長すぎます"
"Meta title length","メタタイトルの長さ"
"Meta title","メタタイトル"
"SEO audit disabled in configurations","設定でSEO監査が無効になっています"
"This job no longer exists.","このジョブはすでに存在しません。"
"Job #%1 - %2","ジョブ #%1 - %2"
"SEO audit","SEO監査"
"See details","詳細を見る"
"Back to all jobs","すべてのジョブに戻る"
"Back to all issues","すべての問題に戻る"
"See URL details","URL詳細を見る"
"URL","URL"
"Score","スコア"
"Message","メッセージ"
"Checks","チェック"
"Health score","ヘルススコア"
"Health score reflects the results of all checks performed on internal URLs of the website","ヘルススコアはウェブサイトの内部URLに対して実行されたすべてのチェックの結果を反映しています"
"Issue distribution","問題の分布"
"Issue Type","問題タイプ"
"Count","件数"
"Distribution","分布"
"Error","エラー"
"Warning","警告"
"Notice","通知"
"Error distribution","エラーの分布"
"Status","ステータス"
"Description","説明"
"Pages without errors","エラーのないページ"
"Pages with errors","エラーのあるページ"
"General settings","全般設定"
"Core configuration settings that control the SEO audit functionality.","SEO監査機能を制御するコア設定です。"
"Enable SEO audit","SEO監査を有効化"
"When enabled, the module will perform scheduled SEO audits based on the configuration. Disabling will pause all automated audit functionality.","有効にすると、モジュールは設定に基づいてスケジュールされたSEO監査を実行します。無効にすると、すべての自動監査機能が一時停止されます。"
"Issue","問題"
"Crawled","クロール済み"
"Errors","エラー"
"Warnings","警告"
"Notices","通知"
"ID","ID"
"Date","日付"
"Duration","所要時間"
"Total URLs crawled","クロールされた総URL数"
"Pages","ページ"
"Resources","リソース"
"Resources with errors","エラーのあるリソース"
"Url details","URL詳細"
"Url","URL"
"Url score","URLスコア"
"Linked pages","リンクされたページ"
"Linked resources","リンクされたリソース"
"Server load threshold (%)","サーバー負荷しきい値 (%)"
"The crawler pauses when CPU load exceeds this value. Default is 80. Lower this value on servers that are sensitive to load spikes.","CPU 負荷がこの値を超えると、クローラーが一時停止します。デフォルトは 80 です。負荷の急増に敏感なサーバーではこの値を下げてください。"
"Crawl schedule","クロールスケジュール"
"Cron expression for how often the crawler runs. Default <code>*/30 * * * *</code> runs every 30 minutes. Use <code>0 2 * * *</code> to run once a day at 2 AM.","クローラーの実行頻度を指定する Cron 式です。デフォルト <code>*/30 * * * *</code> は 30 分ごとに実行されます。1 日 1 回午前 2 時に実行するには <code>0 2 * * *</code> を使用してください。"
"Crawl performance","クロールパフォーマンス"
"Control how aggressively the SEO audit crawls your store. Lower intensity reduces server load at the cost of a longer crawl time.","SEO 監査がストアをクロールする強度を制御します。強度を下げるとサーバー負荷が軽減されますが、クロール時間が長くなります。"
"Crawl intensity","クロール強度"
"Set the crawl intensity. Custom allows per-field configuration below.","クロール強度を設定します。「カスタム」を選択すると、下記フィールドで個別に設定できます。"
