"Fulfillment progress","Tiến trình giao hàng"
"Confirmed","Đã xác nhận"
"Packing","Đang đóng gói"
"Waiting for pickup","Chờ lấy hàng"
"Shipped","Đang giao"
"Delivered","Đã giao"
"Returning","Đang hoàn"
"Returned","Đã hoàn"
"Cancelled","Đã hủy"
"Carrier","Đơn vị vận chuyển"
"Tracking","Mã vận đơn"
"Fulfillment status is now %1.","Trạng thái giao hàng hiện tại: %1."
"Carrier: %1","Đơn vị vận chuyển: %1"
"Tracking: %1","Mã vận đơn: %1"
"Enable outbound order export","Bật xuất đơn ra OMS"
"Master switch for every OMS adapter (Pancake POS and later adapters). When No, the place-order observer and the 10-minute retry cron do not push any order. Each adapter still has its own enable flag. Default: Yes. No external data is required.","Công tắc chung cho mọi adapter OMS (Pancake POS và adapter sau này). Khi No, observer sau khi đặt hàng và cron retry 10 phút sẽ không đẩy đơn nào. Mỗi adapter vẫn có cờ bật riêng. Mặc định: Yes. Không cần dữ liệu bên ngoài."
"Max export attempts","Số lần xuất tối đa"
"How many times Magento retries a failed outbound push. Source: local config only (not read from Pancake). Cron secomm_fulfillmentcore_retry_failed_export runs every 10 minutes and retries rows in secomm_fulfillment_export with push_status pending or failed until this count. Default: 5. After the limit, fix the adapter error (for example warehouse_unmapped) then the row is not retried automatically.","Số lần Magento thử lại khi đẩy đơn thất bại. Nguồn: config nội bộ (không đọc từ Pancake). Cron secomm_fulfillmentcore_retry_failed_export chạy mỗi 10 phút, retry các dòng secomm_fulfillment_export có push_status pending hoặc failed cho đến số này. Mặc định: 5. Hết hạn mức thì sửa lỗi adapter (ví dụ warehouse_unmapped); dòng đó không được retry tự động."
