"Template manager","Gerenciador de templates"
"Rewrite manager","Gerenciador de reescritas"
"Settings","Configurações"
"Preview template","Pré-visualizar template"
"SEO description","Descrição SEO"
"Rewrite was removed","A reescrita foi removida"
"Please select rewrite","Por favor, selecione uma reescrita"
"This rewrite no longer exists.","Esta reescrita não existe mais."
"New rewrite","Nova reescrita"
"There is no sample file for this entity.","Não há arquivo de exemplo para esta entidade."
"Unable to create export file.","Não é possível criar o arquivo de exportação."
"Unable to send export file.","Não é possível enviar o arquivo de exportação."
"Import/Export rewrites","Importar/Exportar reescritas"
"%1 records were inserted or updated","%1 registros foram inseridos ou atualizados"
"Rewrite was saved.","A reescrita foi salva."
"No data to save.","Nenhum dado para salvar."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","O template foi removido"
"Please select template","Por favor, selecione um template"
"Template was duplicated successfully.","O template foi duplicado com sucesso."
"This template no longer exists.","Este template não existe mais."
"New template","Novo template"
"Template was saved.","O template foi salvo."
"Disabled","Desativado"
"At the beginning","No início"
"At the end","No final"
"At the beginning (add to the first page)","No início (adicionar à primeira página)"
"At the end (add to the first page)","No final (adicionar à primeira página)"
"Category","Categoria"
"Post","Publicação"
"Tag","Tag"
"Author","Autor"
"Brand","Marca"
"Open Chooser","Abrir seletor"
"Conditions combination","Combinação de condições"
"Filter Subselection","Subseleção de filtro"
"Category Attributes","Atributos da categoria"
"Product attributes","Atributos do produto"
"Page attributes","Atributos da página"
"Blog Attributes","Atributos do blog"
"Brand Attributes","Atributos da marca"
"Landing Page Attributes","Atributos da página de destino"
"Product attribute","Atributo do produto"
"is","é"
"is not","não é"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
"less than","menor que"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Se o número de filtros aplicados %1 %2 enquanto %3 dessas condições correspondem:"
"Landing Page","Página de destino"
"Page","Página"
"Attribute set","Conjunto de atributos"
"Product type","Tipo de produto"
"SEO Content","Conteúdo SEO"
"Is Category Page — %1","É página de categoria — %1"
"Is Landing Page — %1","É página de destino — %1"
"Is Navigation Page — %1","É página de navegação — %1"
"Is Product Page — %1","É página de produto — %1"
"Is CMS page — %1","É página CMS — %1"
"Is Blog Page — %1","É página de blog — %1"
"Is Brand Page — %1","É página de marca — %1"
"State","Estado"
"Applied Template — %1","Template aplicado — %1"
"Applied Rewrite — %1","Reescrita aplicada — %1"
"Content","Conteúdo"
"Content Sources","Fontes de conteúdo"
"Page %1 | %2","Página %1 | %2"
"%1 | Page %2","%1 | Página %2"
"Tag: %1","Tag: %1"
"Back","Voltar"
"Delete","Excluir"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Save and continue edit","Salvar e continuar editando"
"Save","Salvar"
"Edit","Editar"
"Delete rewrite?","Excluir a reescrita?"
"Default","Padrão"
"Yes","Sim"
"No","Não"
