"API key is not configured.","APIキーが設定されていません。"
"AI request failed: %1","AIリクエストが失敗しました: %1"
"SEO AI helper","SEO AIアシスタント"
"General settings","全般設定"
"Configure the core settings for the SEO AI helper functionality.","SEO AIアシスタント機能のコア設定を行ってください。"
"Enable SEO AI helper","SEO AIアシスタントを有効化"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Magentoストア全体でAIを活用したSEO最適化機能を有効にします。"
"Use Core AI settings","コアAI設定を使用"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","有効な場合: CoreモジュールのグローバルなアI設定を使用（推奨）<br>無効な場合: 以下のモジュール固有の設定を使用"
"AI provider","AIプロバイダー"
"Select the AI provider for SEO content generation.","SEOコンテンツ生成のAIプロバイダーを選択してください。"
"AI model","AIモデル"
"Select the AI model for content generation. Available models depend on the selected provider.","コンテンツ生成のAIモデルを選択してください。利用可能なモデルは選択したプロバイダーによって異なります。"
"API key","APIキー"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI APIキーを取得</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Anthropic APIキーを取得</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Google AI Studio APIキーを取得</a>"
"AI helper","AIアシスタント"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","監査結果に基づいてAIアシスタントがストアのSEOパフォーマンスを自動的に改善する方法を設定してください。"
"Automatically fix meta-related issues","メタ関連の問題を自動修正"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","有効にすると、システムは監査中に特定されたメタタイトル、ディスクリプション、その他のメタ要素の問題を修正するために、SEOリライトを自動的に生成・適用します。これにより、手動介入なしにサイト全体でSEOのベストプラクティスを維持できます。"
"Enable cron task","Cronタスクを有効化"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","MagentoのCronシステムを通じて30分ごとに自動SEO修正を実行するようスケジュールしてください。これにより、新しいコンテンツが追加されてもサイトのメタ情報が最適化されたままになります。手動で修正を実行する場合は無効にしてください。"
"Re-generate SEO rewrites","SEOリライトを再生成"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","有効にすると、システムは以前に生成されたメタコンテンツを、推奨される長さのガイドラインとSEOのベストプラクティスを満たすまで、後続の実行で継続的に改善します。この反復的な改善により、時間をかけて最適なメタコンテンツを達成できます。"
"Add store information to context","ストア情報をコンテキストに追加"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","メタコンテンツを作成する際にストアの名前と説明を含めることで、AI生成コンテンツを強化します。これによりAIに関連するコンテキストが提供され、より一貫したブランドイメージと適切なメタディスクリプションおよびタイトルが生成されます。"
"Store description","ストアの説明"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","ストアで販売している商品の種類を数語で説明してください。このコンテキストにより、AIがより適切でターゲットを絞ったメタコンテンツを生成できます。このデータは必須ではありません。"
"AI helper store context","AIアシスタントのストアコンテキスト"
