"Conditions","Умови"
"Wrong request.","Невірний запит."
"Rich snippet extender has been deleted.","Розширювач розширеного сніпета видалено."
"Edit rich snippet extender","Редагувати розширювач розширеного сніпета"
"Rich snippet extender with ID ""%1"" does not exist.","Розширювач розширеного сніпета з ID ""%1"" не існує."
"Rich snippet extenders","Розширювачі розширених сніпетів"
"New rich snippet extender","Новий розширювач розширеного сніпета"
"No data to save.","Немає даних для збереження."
"Rich snippet extender no longer exists.","Розширювач розширеного сніпета більше не існує."
"Incorrect JSON format","Невірний формат JSON"
"Rich snippet extender has been saved.","Розширювач розширеного сніпета збережено."
"Disabled","Вимкнено"
"Use description","Використовувати опис"
"Use meta description","Використовувати мета-опис"
"No","Ні"
"Yes, for all categories","Так, для всіх категорій"
"Yes, only for non-filtered categories","Так, лише для нефільтрованих категорій"
"Full (OfferCatalog)","Повний (OfferCatalog)"
"Simple (ItemList)","Простий (ItemList)"
"Aggregate Product","Зведений товар"
"Current page","Поточна сторінка"
"Entire category","Вся категорія"
"Yes, for all landing pages","Так, для всіх лендінгових сторінок"
"Yes, only for non-filtered landing pages","Так, лише для нефільтрованих лендінгових сторінок"
"Entire landing page","Вся лендінгова сторінка"
"Homepage only","Лише головна сторінка"
"All CMS pages","Усі CMS-сторінки"
"Specific CMS pages","Конкретні CMS-сторінки"
"Add from store information","Додати з інформації про магазин"
"Add manually","Додати вручну"
"Default (from configuration)","За замовчуванням (з конфігурації)"
"WebPage","WebPage"
"Article","Article"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Використовувати короткий опис"
"Configure manually","Налаштувати вручну"
"New for all products","Новий для всіх товарів"
"Kilograms (kg)","Кілограми (кг)"
"Pounds (lb)","Фунти (lb)"
"Grams (g)","Грами (г)"
"Search in the catalog of products","Пошук у каталозі товарів"
"Search in the blog articles","Пошук у статтях блогу"
"Summary card","Зведена картка"
"Summary card with large image","Зведена картка з великим зображенням"
"The rich snippet extender with ID ""%1"" doesn't exist.","Розширювач розширеного сніпета з ID ""%1"" не існує."
"Edit","Редагувати"
"Delete","Видалити"
"Delete record with ID %1","Видалити запис з ID %1"
"Are you sure you want to delete this rich snippet extender?","Ви впевнені, що хочете видалити цей розширювач розширеного сніпета?"
"Template variables","Змінні шаблону"
"learn more","дізнатись більше"
"Double click on a variable to insert it into the field","Двічі клацніть на змінну, щоб вставити її в поле"
"Learn more about template variables","Дізнатись більше про змінні шаблону"
"Rich snippets and OpenGraph","Розширені сніпети та OpenGraph"
"Product page","Сторінка товару"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Налаштуйте розширені сніпети для сторінок товарів, щоб покращити видимість у пошукових системах. Ці налаштування покращують відображення ваших товарів у результатах пошуку з додатковою інформацією, такою як ціни, наявність та відгуки."
"Delete wrong snippets automatically","Автоматично видаляти неправильні сніпети"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Автоматично видаляє неправильні структуровані дані зі сторінок товарів. Допомагає підтримувати чисту розмітку та запобігати проблемам валідації схеми."
"Enable rich snippet","Увімкнути розширений сніпет"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Активує розмітку структурованих даних для сторінок товарів. Це головний перемикач для всіх розширених сніпетів, пов'язаних з товарами."
"Item name length","Довжина назви елемента"
"Maximum character length for item name in structured data.","Максимальна довжина символів для назви елемента в структурованих даних."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Максимальне значення, рекомендоване Google, — 150. Значення нижче 25 за замовчуванням будуть 150. Якщо значення порожнє або 0, обмеження не застосовується."
"Item price","Ціна елемента"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Включає інформацію про ціну товару в OpenGraph та розширені сніпети. Увага: вимкнення цього видалить ціну зі структурованих даних і може спричинити помилки валідації Google Rich Results, оскільки ціна є обов'язковою для дійсних розширених сніпетів товарів."
"Single price mode","Режим єдиної ціни"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Якщо увімкнено, використовує тип schema.org Offer з єдиним значенням ціни замість типу AggregateOffer з діапазонами цін. Це змінює структуровані дані з агрегації кількох пропозицій до представлення однієї пропозиції."
"Include price valid until","Включити термін дії ціни"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Це допомагає пошуковим системам зрозуміти часову дійсність ціни та може підвищити точність функцій порівняння цін. Корисно для промоційних цін, обмежених у часі пропозицій або регулярно оновлюваних структур ціноутворення."
"Item description","Опис елемента"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Керує тим, яке поле опису товару використовується в структурованих даних. Виберіть найбільш підходяще джерело для вичерпної інформації про товар."
"Item description length","Довжина опису елемента"
"Maximum character length for item description in structured data.","Максимальна довжина символів для опису елемента в структурованих даних."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Максимальне значення, рекомендоване Google, — 5000. Значення нижче 25 за замовчуванням будуть 5000. Якщо значення порожнє або 0, обмеження не застосовується."
"Item image","Зображення елемента"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Включає зображення товарів у структуровані дані. Це забезпечує візуальне представлення товарів у результатах пошуку та розширених сніпетах."
"Item availability","Наявність елемента"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Відображає статус запасів товару в структурованих даних. Це допомагає повідомляти потенційних клієнтів про рівень запасів безпосередньо в результатах пошуку."
"Payment methods","Способи оплати"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Перераховує прийняті способи оплати в структурованих даних. Це забезпечує прозорість щодо варіантів оплати до того, як відвідувачі перейдуть далі."
"Delivery methods","Способи доставки"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Включає варіанти доставки та відправлення в структуровані дані. Це допомагає формувати очікування клієнтів щодо методів виконання замовлень."
"Product category","Категорія товару"
