"API key is not configured.","La chiave API non è configurata."
"AI request failed: %1","La richiesta AI è fallita: %1"
"SEO AI helper","Assistente SEO con AI"
"General settings","Impostazioni generali"
"Configure the core settings for the SEO AI helper functionality.","Configura le impostazioni principali per la funzionalità dell'assistente SEO con AI."
"Enable SEO AI helper","Abilita assistente SEO con AI"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Attiva le funzionalità di ottimizzazione SEO basate sull'AI in tutto il tuo negozio Magento."
"Use Core AI settings","Usa le impostazioni AI del modulo Core"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Quando abilitato: Usa le impostazioni AI globali dal modulo Core (consigliato)<br>Quando disabilitato: Usa le impostazioni specifiche del modulo seguenti"
"AI provider","Provider AI"
"Select the AI provider for SEO content generation.","Seleziona il provider AI per la generazione di contenuti SEO."
"AI model","Modello AI"
"Select the AI model for content generation. Available models depend on the selected provider.","Seleziona il modello AI per la generazione di contenuti. I modelli disponibili dipendono dal provider selezionato."
"API key","Chiave API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Ottieni la chiave API OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Ottieni la chiave API Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Ottieni la chiave API Google AI Studio</a>"
"AI helper","Assistente AI"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configura come l'assistente AI migliora automaticamente le prestazioni SEO del tuo negozio in base ai risultati dell'audit."
"Automatically fix meta-related issues","Correggi automaticamente i problemi relativi ai meta tag"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Quando abilitato, il sistema genererà e applicherà automaticamente riscritture SEO per correggere i problemi con i meta titoli, le descrizioni e altri elementi meta identificati durante gli audit. Questo aiuta a mantenere le best practice SEO su tutto il sito senza intervento manuale."
"Enable cron task","Abilita attività cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Pianifica correzioni SEO automatiche da eseguire ogni 30 minuti tramite il sistema cron di Magento. Questo garantisce che le meta informazioni del tuo sito rimangano ottimizzate anche quando vengono aggiunti nuovi contenuti. Disabilita se preferisci attivare le correzioni manualmente."
"Re-generate SEO rewrites","Rigenera le riscritture SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Quando abilitato, il sistema affinerà continuamente i meta contenuti generati in precedenza nelle esecuzioni successive fino a quando non soddisfa le linee guida sulla lunghezza raccomandate e le best practice SEO. Questo miglioramento iterativo aiuta a raggiungere meta contenuti ottimali nel tempo."
"Add store information to context","Aggiungi le informazioni del negozio al contesto"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Migliora il contenuto generato dall'AI includendo il nome e la descrizione del tuo negozio durante la creazione di meta contenuti. Questo fornisce contesto rilevante all'AI, risultando in meta descrizioni e titoli più allineati al brand e più pertinenti."
"Store description","Descrizione del negozio"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Descrivi in poche parole quali tipi di prodotti vende il tuo negozio. Questo contesto aiuta l'AI a generare meta contenuti più pertinenti e mirati. Questi dati non sono obbligatori."
"AI helper store context","Contesto del negozio dell'Assistente AI"
