"%1 service is not properly configured or available","خدمة %1 غير مهيأة أو غير متاحة بشكل صحيح"
"Invalid AI request data","بيانات طلب الذكاء الاصطناعي غير صالحة"
"Request prompt cannot be empty","لا يمكن أن يكون نص الطلب فارغاً"
"Claude API error","خطأ في Claude API"
"Invalid Claude API response: missing content","استجابة Claude API غير صالحة: المحتوى مفقود"
"Empty content received from Claude API","تم استلام محتوى فارغ من Claude API"
"Gemini API error","خطأ في Gemini API"
"Invalid Gemini API response: missing candidates","استجابة Gemini API غير صالحة: المرشحون مفقودون"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","تم اقتطاع استجابة Gemini API لأنه تم الوصول إلى الحد الأقصى للرموز. يُرجى زيادة إعداد max_tokens أو استخدام نص أقصر."
"Empty content received from Gemini API","تم استلام محتوى فارغ من Gemini API"
"AI services are disabled in configuration","خدمات الذكاء الاصطناعي معطلة في الإعدادات"
"No default AI provider configured","لم يتم تكوين مزود ذكاء اصطناعي افتراضي"
"No available AI provider for request validation","لا يوجد مزود ذكاء اصطناعي متاح للتحقق من الطلب"
"Request validation failed: %1","فشل التحقق من الطلب: %1"
"All AI providers failed. Last error: %1","فشل جميع مزودي الذكاء الاصطناعي. الخطأ الأخير: %1"
"Unsupported AI provider: %1. Supported providers: %2","مزود ذكاء اصطناعي غير مدعوم: %1. المزودون المدعومون: %2"
"Service class %1 must extend %2","يجب أن يرث الصنف %1 من %2"
"Failed to create AI service for provider %1: %2","فشل إنشاء خدمة الذكاء الاصطناعي للمزود %1: %2"
"Not configured","غير مهيأ"
"Unknown","غير معروف"
"Unknown API error","خطأ API غير معروف"
"Temperature must be between 0 and 2","يجب أن تكون درجة الحرارة بين 0 و 2"
"Max tokens must be greater than 0","يجب أن يكون الحد الأقصى للرموز أكبر من 0"
"Frequency penalty must be between -2 and 2","يجب أن يكون معامل التكرار بين -2 و 2"
"Format output as JSON.","تنسيق الإخراج كـ JSON."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","أرجع OpenAI API استجابة غير مكتملة لأنه تم تجاوز عدد رموز نافذة السياق."
"OpenAI API returned no content in the response.","لم يُرجع OpenAI API أي محتوى في الاستجابة."
"Not Installed","غير مثبت"
"A total of %1 record(s) have been deleted.","تم حذف %1 سجل(سجلات)."
"The record has been removed.","تم حذف السجل."
"Disallowed file type.","نوع الملف غير مسموح."
"Can't remove folder %s","لا يمكن حذف المجلد %s"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","الإضافة لا تحتوي على جميع الملفات الضرورية. يُرجى إعادة تثبيت الإضافة من الحزمة الأصلية."
"Extension Information","معلومات الإضافة"
"Status","الحالة"
"Other","أخرى"
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Cron لـ Magento لا يعمل. لإعداد مهمة cron، اتبع الرابط %1"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","مهام Cron [%1] لا تعمل. يُرجى التحقق من الجدول %2 للمهام المتوقفة وحذفها."
"Remove","حذف"
"Error","خطأ"
"Missed","فائت"
"Running","قيد التشغيل"
"Pending","قيد الانتظار"
"Success","نجاح"
"Server gmt time","وقت الخادم GMT"
"Last job","آخر مهمة"
"Executed","تم التنفيذ"
"none","لا شيء"
"Cron setup","إعداد Cron"
"Cron Jobs","مهام Cron"
"No AI-enabled modules are currently active.","لا توجد وحدات ذكاء اصطناعي نشطة حالياً."
"%1 module(s) using AI functionality:","%1 وحدة(وحدات) تستخدم وظائف الذكاء الاصطناعي:"
"Provider:","المزود:"
"ai_provider","ai_provider"
"You have the latest version","لديك أحدث إصدار"
"New version %1 is available","الإصدار الجديد %1 متاح"
"View %1 details (opens in new window)","عرض تفاصيل %1 (يفتح في نافذة جديدة)"
"Details","التفاصيل"
"View %1 user guide (opens in new window)","عرض دليل المستخدم لـ %1 (يفتح في نافذة جديدة)"
"User Guide","دليل المستخدم"
"View %1 changelog (opens in new window)","عرض سجل التغييرات لـ %1 (يفتح في نافذة جديدة)"
"Changelog","سجل التغييرات"
"Request new feature for %1 (opens in new window)","طلب ميزة جديدة لـ %1 (يفتح في نافذة جديدة)"
"Request New Feature","طلب ميزة جديدة"
"Installed Extensions","الإضافات المثبتة"
"Check changes","التحقق من التغييرات"
"Validate All Extensions","التحقق من جميع الإضافات"
"Suggest Improvement","اقتراح تحسين"
"%1 (opens in new window)","%1 (يفتح في نافذة جديدة)"
"More Details","مزيد من التفاصيل"
