"Add new link","新しいリンクを追加"
"Import/Export links","リンクのインポート/エクスポート"
"[deleted]","[削除済み]"
"All store views","すべてのストアビュー"
"There is no sample file for this entity.","このエンティティのサンプルファイルはありません。"
"Unable to create export file.","エクスポートファイルを作成できません。"
"Unable to send export file.","エクスポートファイルを送信できません。"
"Cross-links","クロスリンク"
"%1 records were inserted or updated","%1 件のレコードが挿入または更新されました"
"New link","新しいリンク"
"Item was successfully deleted","アイテムが正常に削除されました"
"Edit link '%1'","リンク '%1' を編集"
"The link does not exist.","リンクが存在しません。"
"Please select item(s)","アイテムを選択してください"
"Total of %1 record(s) were successfully deleted","合計 %1 件のレコードが正常に削除されました"
"Total of %1 record(s) were successfully disabled","合計 %1 件のレコードが無効化されました"
"Total of %1 record(s) were successfully enabled","合計 %1 件のレコードが有効化されました"
"Link was successfully saved","リンクが正常に保存されました"
"Unable to find link to save","保存するリンクが見つかりません"
"First","最初"
"Last","最後"
"Random","ランダム"
"CMS page","CMSページ"
"CMS block","CMSブロック"
"Category description","カテゴリ説明"
"Product short description","商品短い説明"
"Product full description","商品全説明"
"Product attributes","商品属性"
"SEO description","SEO説明文"
"Blog MX post content","Blog MX投稿コンテンツ"
"Mageplaza Blog post content","Mageplaza Blog投稿コンテンツ"
"_self (in current window)","_self (現在のウィンドウ)"
"_blank (in new window)","_blank (新しいウィンドウ)"
"_self (in own frameset)","_self (自分のフレームセット)"
"_top (in full current browser window)","_top (ブラウザウィンドウ全体)"
"Back","戻る"
"Delete","削除"
"Are you sure you want to do this?","この操作を実行してもよろしいですか？"
"Reset","リセット"
"Resets input fields values","入力フィールドの値をリセットします"
"Save and continue edit","保存して編集を続ける"
"Save","保存"
"Edit","編集"
"SEO Autolink Import","SEO自動リンクインポート"
"Import links (.csv)","リンクをインポート (.csv)"
"Import links","リンクをインポート"
"This is a required field.","これは必須フィールドです。"
"Download example CSV file for autolink import","自動リンクインポート用のCSVサンプルファイルをダウンロード"
"Example of CSV file","CSVファイルの例"
"SEO Autolink Export","SEO自動リンクエクスポート"
"Export links (.csv)","リンクをエクスポート (.csv)"
"Export links","リンクをエクスポート"
"Cross-links settings","クロスリンク設定"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","内部リンク構造を強化するためにサイトコンテンツ全体でクロスリンクがどのように機能するかを設定してください。"
"Allowed areas for cross-links","クロスリンクが許可されるエリア"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","クロスリンクを自動的に挿入するコンテンツエリアを選択してください。関連エリアに限定することでページ読み込みパフォーマンスが向上します。"
"Restrict link placement in tags","タグ内のリンク配置を制限"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","リンクを挿入しないHTMLタグを指定してください（例: h1, h2, a, strong）。1行に1タグ、括弧なしで入力してください。"
"Prevent adding cross-links on pages","ページへのクロスリンク追加を防止"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","クロスリンクを無効にするURLパターンを入力してください（1行に1つ）。ワイルドカードとして * を使用してください（例: catalog/product/* または */checkout）。"
"Template paths for link insertion","リンク挿入のテンプレートパス"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","リンクを挿入するテンプレートファイルパスを指定してください（1行に1つ）。注意: メモリ制限により1000個以上のHTMLタグを持つテンプレートの処理は失敗します。"
"Max number of links per page","1ページあたりの最大リンク数"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","1ページあたりの自動生成クロスリンクの最大数を設定してください。低い値にするとページ読み込み時間が改善され、過度な最適化を防ぐことができます。"
"Avoid duplicate URLs in cross-links","クロスリンクの重複URLを避ける"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","有効にすると、複数のキーワードが同じURLを指している場合、最初の出現のみがリンクされます。これにより重複リンクが防止され、ページ読み込みパフォーマンスが向上します。"
"General information","基本情報"
"Keyword","キーワード"
"URL","URL"
"URL target","URLターゲット"
"URL title","URLタイトル"
"Nofollow","Nofollow"
"Number of substitutions","置換数"
"Sort order","並び順"
"Occurrence","出現回数"
"Is active","有効"
"Active from","有効開始日"
"Active to","有効終了日"
"Visible in store view","ストアビューで表示"
"Change status","ステータスを変更"
"Active","有効"
"Inactive","無効"
"Delete items","アイテムを削除"
"Are you sure you want to delete the selected items?","選択したアイテムを削除してもよろしいですか？"
"ID","ID"
"Store view","ストアビュー"
"Status","ステータス"
"Is nofollow","Nofollow"
"Max replacements","最大置換数"
"Link type","リンクタイプ"
"Entity ID","エンティティID"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","商品IDまたはカテゴリIDを入力してください。リンクが挿入されると、このエンティティの現在のURLが自動的に解決されます。"
"Custom URL","カスタムURL"
"Product by ID","IDで商品を指定"
"Category by ID","IDでカテゴリを指定"
"URL is required for custom URL links.","カスタムURLリンクにはURLが必要です。"
"Entity ID is required for product/category links.","商品/カテゴリリンクにはエンティティIDが必要です。"
