"API key is not configured.","A chave API não está configurada."
"AI request failed: %1","A solicitação de IA falhou: %1"
"SEO AI helper","Assistente SEO com IA"
"General settings","Configurações gerais"
"Configure the core settings for the SEO AI helper functionality.","Configure as configurações principais para a funcionalidade do assistente SEO com IA."
"Enable SEO AI helper","Ativar assistente SEO com IA"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Ativa os recursos de otimização SEO baseados em IA em toda a sua loja Magento."
"Use Core AI settings","Usar configurações de IA do módulo Core"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Quando ativado: Usa as configurações globais de IA do módulo Core (recomendado)<br>Quando desativado: Usa as configurações específicas do módulo abaixo"
"AI provider","Provedor de IA"
"Select the AI provider for SEO content generation.","Selecione o provedor de IA para geração de conteúdo SEO."
"AI model","Modelo de IA"
"Select the AI model for content generation. Available models depend on the selected provider.","Selecione o modelo de IA para geração de conteúdo. Os modelos disponíveis dependem do provedor selecionado."
"API key","Chave API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Obter chave API OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Obter chave API Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Obter chave API Google AI Studio</a>"
"AI helper","Assistente de IA"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configure como o assistente de IA melhora automaticamente o desempenho SEO da sua loja com base nos resultados de auditoria."
"Automatically fix meta-related issues","Corrigir automaticamente problemas relacionados a meta tags"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Quando ativado, o sistema gerará e aplicará automaticamente reescritas SEO para corrigir problemas com meta títulos, descrições e outros elementos meta identificados durante as auditorias. Isso ajuda a manter as melhores práticas de SEO em todo o site sem intervenção manual."
"Enable cron task","Ativar tarefa cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Agende correções SEO automáticas para serem executadas a cada 30 minutos através do sistema cron do Magento. Isso garante que as informações meta do seu site permaneçam otimizadas mesmo quando novo conteúdo é adicionado. Desative se preferir acionar correções manualmente."
"Re-generate SEO rewrites","Regenerar reescritas SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Quando ativado, o sistema refinará continuamente o conteúdo meta gerado anteriormente nas execuções subsequentes até que atenda às diretrizes de comprimento recomendadas e às melhores práticas de SEO. Essa melhoria iterativa ajuda a alcançar conteúdo meta ideal ao longo do tempo."
"Add store information to context","Adicionar informações da loja ao contexto"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Aprimora o conteúdo gerado por IA ao incluir o nome e a descrição da sua loja ao criar conteúdo meta. Isso fornece contexto relevante para a IA, resultando em meta descrições e títulos mais alinhados com a marca e mais relevantes."
"Store description","Descrição da loja"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Descreva em poucas palavras que tipos de produtos sua loja está vendendo. Esse contexto ajuda a IA a gerar conteúdo meta mais relevante e direcionado. Esses dados não são obrigatórios."
"AI helper store context","Contexto da loja do Assistente de IA"
