"A canonical tag is set for this page.","Bu sayfa için bir canonical etiketi ayarlanmış."
"No canonical tag is set for this page.","Bu sayfa için canonical etiketi ayarlanmamış."
"There is no H1 tag on the page.","Sayfada H1 etiketi yok."
"One H1 tag — optimal.","Bir H1 etiketi — optimal."
"Multiple H1 tags found. Try to use only one H1 tag.","Birden fazla H1 etiketi bulundu. Yalnızca bir H1 etiketi kullanmayı deneyin."
"<%1>: %2","<%1>: %2"
"%1 image(s) without ALT tag","ALT etiketi olmayan %1 resim"
"%1 images with correct alt attribute.","%1 resim doğru alt özelliğine sahip."
"%1 characters — not good. Try to enlarge it to 160 characters.","%1 karakter — iyi değil. 160 karaktere genişletmeyi deneyin."
"%1 characters — not good. Try to minimize it to 300 characters.","%1 karakter — iyi değil. 300 karaktere küçültmeyi deneyin."
"%1 characters — optimal.","%1 karakter — optimal."
"%1 characters, %2 words.","%1 karakter, %2 kelime."
"Is not set","Ayarlanmamış"
"No cross-links detected","Çapraz bağlantı tespit edilmedi"
"Cross-links successfully applied","Çapraz bağlantılar başarıyla uygulandı"
"%1 characters — not good. Try to enlarge it to 10 characters.","%1 karakter — iyi değil. 10 karaktere genişletmeyi deneyin."
"%1 characters — not good. Try to minimize it to 70 characters.","%1 karakter — iyi değil. 70 karaktere küçültmeyi deneyin."
"Page analysis","Sayfa analizi"
"Close SEO Toolbar","SEO Araç Çubuğunu Kapat"
"SEO toolbar settings","SEO araç çubuğu ayarları"
"Configure the SEO toolbar's visibility and access restrictions. The toolbar provides real-time SEO analysis information directly in your storefront.","SEO araç çubuğunun görünürlüğünü ve erişim kısıtlamalarını yapılandırın. Araç çubuğu, gerçek zamanlı SEO analiz bilgilerini doğrudan mağazanızda sağlar."
"Enable toolbar","Araç çubuğunu etkinleştir"
"When enabled, the SEO toolbar will be displayed according to the IP restrictions below. Disable to completely turn off the toolbar functionality.","Etkinleştirildiğinde, SEO araç çubuğu aşağıdaki IP kısıtlamalarına göre görüntülenir. Araç çubuğu işlevini tamamen kapatmak için devre dışı bırakın."
"Show toolbar only for IPs","Araç çubuğunu yalnızca IP'ler için göster"
"For security, enter comma-separated IP addresses that are allowed to see the toolbar. Leave empty to show the toolbar for all IPs. Example: 192.168.1.1,10.0.0.1","Güvenlik için, araç çubuğunu görmesine izin verilen virgülle ayrılmış IP adreslerini girin. Tüm IP'ler için araç çubuğunu göstermek üzere boş bırakın. Örnek: 192.168.1.1,10.0.0.1"
"Disable toolbar for links","Bağlantılar için araç çubuğunu devre dışı bırak"
"Specify links (one per line) where the toolbar should be disabled (e.g., /customer/login or /checkout).","Araç çubuğunun devre dışı bırakılması gereken bağlantıları belirtin (satır başına bir tane, ör. /customer/login veya /checkout)."
