"Template manager","Gestor de modelos"
"Rewrite manager","Gestor de reescritas"
"Settings","Definições"
"Preview template","Pré-visualizar modelo"
"SEO description","Descrição SEO"
"Rewrite was removed","A reescrita foi removida"
"Please select rewrite","Selecione a reescrita"
"This rewrite no longer exists.","Esta reescrita já não existe."
"New rewrite","Nova reescrita"
"There is no sample file for this entity.","Não existe ficheiro de exemplo para esta entidade."
"Unable to create export file.","Não foi possível criar o ficheiro de exportação."
"Unable to send export file.","Não foi possível enviar o ficheiro de exportação."
"Import/Export rewrites","Importar/Exportar reescritas"
"%1 records were inserted or updated","%1 registos foram inseridos ou atualizados"
"Rewrite was saved.","A reescrita foi guardada."
"No data to save.","Não há dados para guardar."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","O modelo foi removido"
"Please select template","Selecione o modelo"
"Template was duplicated successfully.","O modelo foi duplicado com sucesso."
"This template no longer exists.","Este modelo já não existe."
"New template","Novo modelo"
"Template was saved.","O modelo foi guardado."
"Disabled","Desativado"
"At the beginning","No início"
"At the end","No fim"
"At the beginning (add to the first page)","No início (adicionar à primeira página)"
"At the end (add to the first page)","No fim (adicionar à primeira página)"
"Category","Categoria"
"Post","Publicação"
"Tag","Etiqueta"
"Author","Autor"
"Brand","Marca"
"Open Chooser","Abrir seletor"
"Conditions combination","Combinação de condições"
"Filter Subselection","Subseleção de filtro"
"Category Attributes","Atributos de categoria"
"Product attributes","Atributos de produto"
"Page attributes","Atributos de página"
"Blog Attributes","Atributos de blogue"
"Brand Attributes","Atributos de marca"
"Landing Page Attributes","Atributos de página de destino"
"Product attribute","Atributo de produto"
"is","é"
"is not","não é"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"greater than","maior que"
"less than","menor que"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Se o número de filtros aplicados %1 %2 enquanto %3 destas condições corresponderem:"
"Landing Page","Página de destino"
"Page","Página"
"Attribute set","Conjunto de atributos"
"Product type","Tipo de produto"
"SEO Content","Conteúdo SEO"
"Is Category Page — %1","É página de categoria — %1"
"Is Landing Page — %1","É página de destino — %1"
"Is Navigation Page — %1","É página de navegação — %1"
"Is Product Page — %1","É página de produto — %1"
"Is CMS page — %1","É página CMS — %1"
"Is Blog Page — %1","É página de blogue — %1"
"Is Brand Page — %1","É página de marca — %1"
"State","Estado"
"Applied Template — %1","Modelo aplicado — %1"
"Applied Rewrite — %1","Reescrita aplicada — %1"
"Content","Conteúdo"
"Content Sources","Fontes de conteúdo"
"Page %1 | %2","Página %1 | %2"
"%1 | Page %2","%1 | Página %2"
"Tag: %1","Etiqueta: %1"
"Back","Voltar"
"Delete","Eliminar"
"Are you sure you want to do this?","Tem a certeza de que pretende efetuar esta ação?"
"Save and continue edit","Guardar e continuar a editar"
"Save","Guardar"
"Edit","Editar"
"Delete rewrite?","Eliminar reescrita?"
"Default","Predefinição"
"Yes","Sim"
"No","Não"
"Bottom of the page","Fundo da página"
"Under custom template","Sob modelo personalizado"
"Don't add automatically","Não adicionar automaticamente"
"Don't change","Não alterar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Condições"
"Conditions (leave blank for all elements, depending from rule type)","Condições (deixe em branco para todos os elementos, dependendo do tipo de regra)"
"Duplicate","Duplicar"
"Delete template?","Eliminar modelo?"
"Meta title","Meta título"
"Meta keywords","Meta palavras-chave"
"Meta description","Meta descrição"
"Title (H1)","Título (H1)"
"Product short description","Descrição breve do produto"
"Product Description","Descrição do produto"
"Category description","Descrição de categoria"
"Brand Description","Descrição de marca"
"Under product list","Abaixo da lista de produtos"
"Under short description","Abaixo da descrição breve"
"Under full description","Abaixo da descrição completa"
"Categories","Categorias"
"Layered navigation","Navegação em camadas"
"Products","Produtos"
"CMS pages","Páginas CMS"
"Blog","Blogue"
"Landing Pages","Páginas de destino"
"SEO Rewrite Import","Importação de Reescrita SEO"
"Import rewrites (.csv)","Importar reescritas (.csv)"
"Import rewrites","Importar reescritas"
"This is a required field.","Este campo é obrigatório."
"Example of CSV file","Exemplo de ficheiro CSV"
"SEO Rewrite Export","Exportação de Reescrita SEO"
"Export rewrites (.csv)","Exportar reescritas (.csv)"
"Export rewrites","Exportar reescritas"
"Please select the rule type","Selecione o tipo de regra"
"Preview not allowed for layered navigation templates","Pré-visualização não permitida para modelos de navegação em camadas"
"Preview not allowed for Blog templates","Pré-visualização não permitida para modelos de blogue"
"Preview not allowed for Brand templates","Pré-visualização não permitida para modelos de marca"
"URL or Entity IDs separated by comma","URL ou IDs de entidade separados por vírgula"
"Nothing to display","Nada para apresentar"
"Template variables","Variáveis de modelo"
"learn more","saber mais"
"Double click on a variable to insert it into the field","Clique duas vezes numa variável para a inserir no campo"
"Learn more about template variables","Saber mais sobre variáveis de modelo"
"Template Preview","Pré-visualização do modelo"
"Reload","Recarregar"
"SEO Templates and rewrites","Modelos e reescritas SEO"
"General settings","Definições gerais"
"Configure basic behavior of meta tags processing across your store.","Configure o comportamento básico do processamento de meta etiquetas na sua loja."
"Apply store prefixes to custom titles","Aplicar prefixos de loja a títulos personalizados"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Quando ativado, o prefixo/sufixo de título da loja (configurado em Conteúdo > Design > Configuração) será automaticamente aplicado a quaisquer meta títulos personalizados."
"Allow HTML in meta tags","Permitir HTML em meta etiquetas"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Quando ativado, os caracteres especiais HTML (&, <, >, etc.) serão preservados nas meta etiquetas em vez de serem escapados. Útil para incluir símbolos ou entidades especiais."
"Use existing meta tags","Usar meta etiquetas existentes"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Defina como o módulo deve aplicar meta etiquetas baseadas em modelos para diferentes tipos de página. Quando ativado, a extensão verifica primeiro as meta etiquetas originais. Se não estiverem vazias, usa-as; caso contrário, gera meta etiquetas com base nos modelos definidos. Quando desativado, as meta etiquetas são sempre geradas a partir dos modelos, independentemente das meta etiquetas existentes."
"Category pages","Páginas de categoria"
"Product pages","Páginas de produto"
"Blog pages","Páginas de blogue"
"Requires Mirasvit Blog module.","Requer o módulo Mirasvit Blog."
"Brand pages","Páginas de marca"
"Requires Mirasvit Brand module.","Requer o módulo Mirasvit Brand."
"Landing pages","Páginas de destino"
"Requires Mirasvit Landing Page module.","Requer o módulo Mirasvit Landing Page."
"Content and meta length settings","Definições de comprimento de conteúdo e meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Especifique limites de caracteres para diferentes elementos meta para garantir uma apresentação ideal nos resultados de pesquisa. O valor do elemento meta será truncado ao comprimento especificado. Valores demasiado baixos serão substituídos pelos mínimos recomendados."
"Maximum character length for meta titles.","Comprimento máximo de caracteres para meta títulos."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","O Google exibe tipicamente ~55-60 caracteres. Valores abaixo de 25 serão predefinidos para 55. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Maximum character length for meta descriptions.","Comprimento máximo de caracteres para meta descrições."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","O Google exibe tipicamente ~150-160 caracteres. Valores abaixo de 25 serão predefinidos para 150. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Product name","Nome do produto"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Comprimento máximo de caracteres para nomes de produtos exibidos em páginas de produto. Esta definição controla o truncamento de títulos de produtos no conteúdo da página."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Valores abaixo de 10 serão predefinidos para 25. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Comprimento máximo de caracteres para descrições breves de produtos exibidas em páginas de produto. Esta definição afeta a apresentação do conteúdo da página."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Valores abaixo de 25 serão predefinidos para 90. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Paginated content settings","Definições de conteúdo paginado"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configure como as informações de paginação aparecem nas meta etiquetas para listagens de categorias de múltiplas páginas e resultados de pesquisa."
"Add pagination to meta titles","Adicionar paginação aos meta títulos"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Controla como os números de página aparecem nos meta títulos para conteúdo paginado. Ajuda os motores de pesquisa a compreender a estrutura de paginação."
"Add pagination to meta descriptions","Adicionar paginação às meta descrições"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Controla como os números de página aparecem nas meta descrições para conteúdo paginado. Ajuda a manter meta descrições únicas em páginas paginadas."
"H1 Title","Título H1"
"General information","Informações gerais"
"Pattern of URL or action name","Padrão de URL ou nome de ação"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Pode ser um nome de ação completo ou um caminho de pedido. Caráter universal permitido. Exemplos:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Está ativo"
"Sort order","Ordem de classificação"
"Store view","Vista de loja"
"Title","Título"
"Use title in breadcrumbs","Usar título nos breadcrumbs"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Quando ativado, o valor do campo <b>Título</b> será usado como a última etiqueta de item de breadcrumb na página correspondente."
"Robots meta header","Cabeçalho meta Robots"
"Add to Sitemap","Adicionar ao mapa do site"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","O padrão de hiperligação incluída não pode ser um nome de ação nem conter carateres universais. Para um mapa do site frontend, o campo <b>Título</b> é obrigatório."
"SEO description position","Posição da descrição SEO"
"Template for adding SEO description","Modelo para adicionar descrição SEO"
"Block template","Modelo de bloco"
