"Template manager","Şablon yöneticisi"
"Rewrite manager","Yeniden yazma yöneticisi"
"Settings","Ayarlar"
"Preview template","Şablon önizleme"
"SEO description","SEO açıklaması"
"Rewrite was removed","Yeniden yazma kaldırıldı"
"Please select rewrite","Lütfen yeniden yazma seçin"
"This rewrite no longer exists.","Bu yeniden yazma artık mevcut değil."
"New rewrite","Yeni yeniden yazma"
"There is no sample file for this entity.","Bu varlık için örnek dosya yok."
"Unable to create export file.","Dışa aktarma dosyası oluşturulamıyor."
"Unable to send export file.","Dışa aktarma dosyası gönderilemiyor."
"Import/Export rewrites","Yeniden yazmaları içe/dışa aktar"
"%1 records were inserted or updated","%1 kayıt eklendi veya güncellendi"
"Rewrite was saved.","Yeniden yazma kaydedildi."
"No data to save.","Kaydedilecek veri yok."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Şablon kaldırıldı"
"Please select template","Lütfen şablon seçin"
"Template was duplicated successfully.","Şablon başarıyla çoğaltıldı."
"This template no longer exists.","Bu şablon artık mevcut değil."
"New template","Yeni şablon"
"Template was saved.","Şablon kaydedildi."
"Disabled","Devre dışı"
"At the beginning","Başında"
"At the end","Sonunda"
"At the beginning (add to the first page)","Başında (ilk sayfaya ekle)"
"At the end (add to the first page)","Sonunda (ilk sayfaya ekle)"
"Category","Kategori"
"Post","Gönderi"
"Tag","Etiket"
"Author","Yazar"
"Brand","Marka"
"Open Chooser","Seçiciyi aç"
"Conditions combination","Koşul kombinasyonu"
"Filter Subselection","Filtre alt seçimi"
"Category Attributes","Kategori özellikleri"
"Product attributes","Ürün özellikleri"
"Page attributes","Sayfa özellikleri"
"Blog Attributes","Blog özellikleri"
"Brand Attributes","Marka özellikleri"
"Landing Page Attributes","Açılış sayfası özellikleri"
"Product attribute","Ürün özelliği"
"is","eşittir"
"is not","eşit değil"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","büyük"
"less than","küçük"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Uygulanan filtre sayısı %1 %2 ve bu Koşulların %3'ü eşleşiyorsa:"
"Landing Page","Açılış sayfası"
"Page","Sayfa"
"Attribute set","Özellik seti"
"Product type","Ürün türü"
"SEO Content","SEO Content"
"Is Category Page — %1","Kategori Sayfası — %1"
"Is Landing Page — %1","Açılış Sayfası — %1"
"Is Navigation Page — %1","Navigasyon Sayfası — %1"
"Is Product Page — %1","Ürün Sayfası — %1"
"Is CMS page — %1","CMS Sayfası — %1"
"Is Blog Page — %1","Blog Sayfası — %1"
"Is Brand Page — %1","Marka Sayfası — %1"
"State","Durum"
"Applied Template — %1","Uygulanan Şablon — %1"
"Applied Rewrite — %1","Uygulanan Yeniden Yazma — %1"
"Content","İçerik"
"Content Sources","İçerik kaynakları"
"Page %1 | %2","Sayfa %1 | %2"
"%1 | Page %2","%1 | Sayfa %2"
"Tag: %1","Etiket: %1"
"Back","Geri"
"Delete","Sil"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz?"
"Save and continue edit","Kaydet ve düzenlemeye devam et"
"Save","Kaydet"
"Edit","Düzenle"
"Delete rewrite?","Yeniden yazma silinsin mi?"
"Default","Varsayılan"
"Yes","Evet"
"No","Hayır"
"Bottom of the page","Sayfanın altı"
"Under custom template","Özel şablonun altında"
"Don't add automatically","Otomatik ekleme"
"Don't change","Değiştirme"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Koşullar"
"Conditions (leave blank for all elements, depending from rule type)","Koşullar (kural türüne bağlı olarak tüm öğeler için boş bırakın)"
"Duplicate","Çoğalt"
"Delete template?","Şablon silinsin mi?"
"Meta title","Meta başlık"
"Meta keywords","Meta anahtar kelimeler"
"Meta description","Meta açıklama"
"Title (H1)","Başlık (H1)"
"Product short description","Ürün kısa açıklaması"
"Product Description","Ürün açıklaması"
"Category description","Kategori açıklaması"
