"API key is not configured.","API-sleutel is niet geconfigureerd."
"AI request failed: %1","AI-verzoek mislukt: %1"
"SEO AI helper","SEO AI-assistent"
"General settings","Algemene instellingen"
"Configure the core settings for the SEO AI helper functionality.","Configureer de kerninstellingen voor de SEO AI-assistent functionaliteit."
"Enable SEO AI helper","SEO AI-assistent inschakelen"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Activeert de door AI aangestuurde SEO-optimalisatiefuncties in uw Magento-winkel."
"Use Core AI settings","Core AI-instellingen gebruiken"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Indien ingeschakeld: Gebruikt globale AI-instellingen uit de Core-module (aanbevolen)<br>Indien uitgeschakeld: Gebruikt de modulespecifieke instellingen hieronder"
"AI provider","AI-aanbieder"
"Select the AI provider for SEO content generation.","Selecteer de AI-aanbieder voor het genereren van SEO-inhoud."
"AI model","AI-model"
"Select the AI model for content generation. Available models depend on the selected provider.","Selecteer het AI-model voor het genereren van inhoud. Beschikbare modellen zijn afhankelijk van de geselecteerde aanbieder."
"API key","API-sleutel"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API-sleutel ophalen</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Anthropic API-sleutel ophalen</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Google AI Studio API-sleutel ophalen</a>"
"AI helper","AI-assistent"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Configureer hoe de AI-assistent automatisch de SEO-prestaties van uw winkel verbetert op basis van auditresultaten."
"Automatically fix meta-related issues","Meta-gerelateerde problemen automatisch oplossen"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Indien ingeschakeld genereert en past het systeem automatisch SEO-herschrijvingen toe om problemen met metatitels, beschrijvingen en andere meta-elementen op te lossen die tijdens audits zijn geïdentificeerd. Dit helpt SEO-best practices te handhaven op uw site zonder handmatige tussenkomst."
"Enable cron task","Cron-taak inschakelen"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Plan automatische SEO-fixes om elke 30 minuten te worden uitgevoerd via het cron-systeem van Magento. Dit zorgt ervoor dat de meta-informatie van uw site geoptimaliseerd blijft, zelfs wanneer nieuwe inhoud wordt toegevoegd. Uitschakelen als u liever handmatig fixes activeert."
"Re-generate SEO rewrites","SEO-herschrijvingen opnieuw genereren"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Indien ingeschakeld verfijnt het systeem continu eerder gegenereerde meta-inhoud in volgende runs totdat deze voldoet aan aanbevolen lengterichtlijnen en SEO-best practices. Deze iteratieve verbetering helpt bij het bereiken van optimale meta-inhoud na verloop van tijd."
"Add store information to context","Winkelinformatie toevoegen aan context"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Verbetert door AI gegenereerde inhoud door de naam en beschrijving van uw winkel op te nemen bij het maken van meta-inhoud. Dit biedt relevante context aan de AI, wat resulteert in meer merkconsistente en relevante metabeschrijvingen en -titels."
"Store description","Winkelbeschrijving"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Beschrijf in een paar woorden welke soorten producten uw winkel verkoopt. Deze context helpt de AI meer relevante en gerichte meta-inhoud te genereren. Deze gegevens zijn niet verplicht."
"AI helper store context","AI-assistent winkelcontext"
