"Conditions","条件"
"Rule conditions (leave blank to use only regular expression)","ルール条件（正規表現のみ使用する場合は空白のままにしてください）"
"Checklist","チェックリスト"
"Duplicateinfo","重複情報"
"Store Id","ストアID"
"Category Path","カテゴリパス"
"Category Id","カテゴリID"
"Current request path","現在のリクエストパス"
"URL key","URLキー"
"Root Catalog (ID: 1)","ルートカタログ (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","リダイレクト"
"Canonical rewrite","canonicalリライト"
"Cross-links","クロスリンク"
"Sitemap","サイトマップ"
"Settings","設定"
"User manual","ユーザーマニュアル"
"Get support","サポートを受ける"
"Add New Redirect","新しいリダイレクトを追加"
"Import/Export redirects","リダイレクトのインポート/エクスポート"
"Rewrite manager","リライトマネージャー"
"Add rewrite","リライトを追加"
"Store group","ストアグループ"
"Hreflang","Hreflang"
"Store","ストア"
"Add","追加"
"(Id: %1)","(Id: %1)"
"Stores","ストア一覧"
"button_label","button_label"
"Attribute","属性"
"Usage","使用状況"
"Page type","ページタイプ"
"Remove parent category path","親カテゴリパスを削除"
"URL pattern","URLパターン"
"Option","オプション"
"Meta title","メタタイトル"
"Meta keywords","メタキーワード"
"Meta description","メタディスクリプション"
"Title (H1)","タイトル (H1)"
"SEO description","SEO説明文"
"Product short description","商品短い説明"
"Product description","商品説明"
"Add SEO Template","SEOテンプレートを追加"
"Home","ホーム"
"Go to Home Page","ホームページへ移動"
"SEO","SEO"
"This row no longer exists.","この行はすでに存在しません。"
"New canonical rewrite","新しいcanonicalリライト"
"%1 item(s) was removed","%1 件のアイテムが削除されました"
"Please select item(s)","アイテムを選択してください"
"Edit canonical rewrite ID: %1","canonicalリライトID: %1 を編集"
"Total of %1 record(s) were successfully disabled","合計 %1 件のレコードが無効化されました"
"Total of %1 record(s) were successfully enabled","合計 %1 件のレコードが有効化されました"
"Row was saved.","行が保存されました。"
"No data to save.","保存するデータがありません。"
"SEO Checklist","SEOチェックリスト"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","このテーブルに表示されているすべてのカテゴリに一意のURLキーを作成してください。テーブルが空の場合は重複キーが存在せず、""<a href=""%1"" target=""_blank"">親カテゴリパスを削除</a>""ボタンを押してカテゴリURLを変更できます。"
"Category duplicate urls","カテゴリの重複URL"
"Add redirect","リダイレクトを追加"
"Item was successfully deleted","アイテムが正常に削除されました"
"Edit redirect","リダイレクトを編集"
"The item does not exist.","アイテムが存在しません。"
"Total of %1 record(s) were successfully deleted","合計 %1 件のレコードが正常に削除されました"
"Item was successfully saved","アイテムが正常に保存されました"
"Unable to find an item to save","保存するアイテムが見つかりません"
"There is no sample file for this entity.","このエンティティのサンプルファイルはありません。"
"%1 records were inserted or updated","%1 件のレコードが挿入または更新されました"
