"Conditions","条件"
"Rule conditions (leave blank to use only regular expression)","规则条件（留空则仅使用正则表达式）"
"Checklist","检查清单"
"Duplicateinfo","重复信息"
"Store Id","商店ID"
"Category Path","分类路径"
"Category Id","分类ID"
"Current request path","当前请求路径"
"URL key","URL键"
"Root Catalog (ID: 1)","根目录 (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","重定向"
"Canonical rewrite","canonical重写"
"Cross-links","交叉链接"
"Sitemap","站点地图"
"Settings","设置"
"User manual","用户手册"
"Get support","获取支持"
"Add New Redirect","添加新重定向"
"Import/Export redirects","导入/导出重定向"
"Rewrite manager","重写管理器"
"Add rewrite","添加重写"
"Store group","商店组"
"Hreflang","Hreflang"
"Store","商店"
"Add","添加"
"(Id: %1)","(Id: %1)"
"Stores","商店列表"
"button_label","button_label"
"Attribute","属性"
"Usage","使用情况"
"Page type","页面类型"
"Remove parent category path","删除父分类路径"
"URL pattern","URL模式"
"Option","选项"
"Meta title","元标题"
"Meta keywords","元关键词"
"Meta description","元描述"
"Title (H1)","标题 (H1)"
"SEO description","SEO描述"
"Product short description","产品简短描述"
"Product description","产品描述"
"Add SEO Template","添加SEO模板"
"Home","首页"
"Go to Home Page","前往首页"
"SEO","SEO"
"This row no longer exists.","此行已不存在。"
"New canonical rewrite","新canonical重写"
"%1 item(s) was removed","已删除 %1 个项目"
"Please select item(s)","请选择项目"
"Edit canonical rewrite ID: %1","编辑canonical重写 ID: %1"
"Total of %1 record(s) were successfully disabled","共 %1 条记录已成功禁用"
"Total of %1 record(s) were successfully enabled","共 %1 条记录已成功启用"
"Row was saved.","行已保存。"
"No data to save.","没有可保存的数据。"
"SEO Checklist","SEO检查清单"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","为此表中列出的所有分类创建唯一URL键。如果表格为空，则表示没有重复键，可以点击""<a href=""%1"" target=""_blank"">删除父分类路径</a>""按钮来更改分类URL。"
"Category duplicate urls","分类重复URL"
"Add redirect","添加重定向"
"Item was successfully deleted","项目已成功删除"
"Edit redirect","编辑重定向"
"The item does not exist.","该项目不存在。"
"Total of %1 record(s) were successfully deleted","共 %1 条记录已成功删除"
"Item was successfully saved","项目已成功保存"
"Unable to find an item to save","找不到可保存的项目"
"There is no sample file for this entity.","此实体没有示例文件。"
"%1 records were inserted or updated","已插入或更新 %1 条记录"
"URLs have been processed.","URL已处理完成。"
"Something went wrong.","出现了错误。"
"Missing canonical URL.","缺少canonical URL。"
"%1 canonical on the page.","页面上有 %1 个canonical。"
"Canonical created not using Mirasvit SEO extension.","canonical是在未使用Mirasvit SEO扩展的情况下创建的。"
"There is no H1 tag on the page.","页面上没有H1标签。"
"One H1 tag","一个H1标签"
"%1 H1 tags.","%1 个H1标签。"
"Length = %1. Recommended length up to %2 characters.","长度 = %1。建议长度不超过 %2 个字符。"
"Meta title not defined.","元标题未定义。"
"Meta description not defined.","元描述未定义。"
"Meta keywords not defined.","元关键词未定义。"
"Some alt tags are empty or missing.","部分alt标签为空或缺失。"
"Total number of images","图片总数"
"Images without alt attribute","无alt属性的图片"
"Images with empty alt attribute","alt属性为空的图片"
"%1 images with correct alt attribute.","%1 张图片具有正确的alt属性。"
"Conditions combination","条件组合"
"Categories and layered navigation","分类和分层导航"
"Products","产品"
"Product attributes","产品属性"
"Products additional","产品附加信息"
"Attribute set","属性集"
"Category","分类"
"Created (days ago)","创建时间（天前）"
"Updated (days ago)","更新时间（天前）"
"Quantity","数量"
"Price - Final Price","价格 - 最终价格"
"Percent Discount","折扣百分比"
"Open Chooser","打开选择器"
"Disabled","已禁用"
"Enabled for all websites","已对所有网站启用"
"Configure","配置"
"Add automatically","自动添加"
"Add all selected options","添加所有已选选项"
"Add if only one option selected","仅在选择一个选项时添加"
"Without filters","无筛选器"
"With all filters","应用所有筛选器"
"Default","默认"
"Parent product","父产品"
"Use Robots meta header","使用Robots元标头"
"Enabled","已启用"
"Enabled if cookie exist","Cookie存在时启用"
"Right","右"
"Left","左"
"Active","活跃"
"Inactive","非活跃"
"Don't change","不更改"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","默认优先"
"Custom","自定义"
"Brand only","仅品牌"
"Category + Brand","分类 + 品牌"
"Direct link","直接链接"
"Shortest path","最短路径"
"Longest path","最长路径"
"Long","长"
"Short","短"
"Include categories path to Product URLs","在产品URL中包含分类路径"
"Don't include categories path to Product URLs","不在产品URL中包含分类路径"
"301 Moved permanently","301 永久移动"
"302 Object moved","302 临时移动"
"307 Temporary redirect","307 临时重定向"
"Total number of products with reviews","有评价的产品总数"
"Total number of reviews","评价总数"
"Redirect to the same page with trailing slash","重定向到带尾部斜杠的同一页面"
"Redirect to the same page without trailing slash","重定向到不带尾部斜杠的同一页面"
"Parent category path has been removed.","父分类路径已删除。"
"Alternate Settings","备用设置"
"Alternate group","备用组"
"Open Graph Image Url","Open Graph图片URL"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Hreflang区域代码值有误: ""%1""。必须使用<a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2格式</a>"
"Template for URL key of Product Images","产品图片URL键模板"
"Template for Product Images Alt","产品图片alt属性模板"
"Template for Product Images Title","产品图片标题模板"
"The store can't be indexed when closed to robots and crawlers.","对机器人和爬虫关闭时，商店无法被索引。"
"The page needs to display a correct title and store description in search results.","页面需要在搜索结果中显示正确的标题和商店描述。"
"Unable to run test, the robots.txt file is empty","无法运行测试，robots.txt文件为空"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","深入了解您的客户。Google Analytics提供免费工具，让您在一处分析业务数据。"
