"Template manager","模板管理器"
"Rewrite manager","重写管理器"
"Settings","设置"
"Preview template","预览模板"
"SEO description","SEO描述"
"Rewrite was removed","重写已删除"
"Please select rewrite","请选择重写"
"This rewrite no longer exists.","此重写已不存在。"
"New rewrite","新重写"
"There is no sample file for this entity.","此实体没有示例文件。"
"Unable to create export file.","无法创建导出文件。"
"Unable to send export file.","无法发送导出文件。"
"Import/Export rewrites","导入/导出重写"
"%1 records were inserted or updated","已插入或更新 %1 条记录"
"Rewrite was saved.","重写已保存。"
"No data to save.","没有可保存的数据。"
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","模板已删除"
"Please select template","请选择模板"
"Template was duplicated successfully.","模板已成功复制。"
"This template no longer exists.","此模板已不存在。"
"New template","新模板"
"Template was saved.","模板已保存。"
"Disabled","已禁用"
"At the beginning","在开头"
"At the end","在末尾"
"At the beginning (add to the first page)","在开头（添加到第一页）"
"At the end (add to the first page)","在末尾（添加到第一页）"
"Category","分类"
"Post","文章"
"Tag","标签"
"Author","作者"
"Brand","品牌"
"Open Chooser","打开选择器"
"Conditions combination","条件组合"
"Filter Subselection","筛选子选择"
"Category Attributes","分类属性"
"Product attributes","产品属性"
"Page attributes","页面属性"
"Blog Attributes","博客属性"
"Brand Attributes","品牌属性"
"Landing Page Attributes","落地页属性"
"Product attribute","产品属性"
"is","是"
"is not","不是"
"equals or greater than","大于或等于"
"equals or less than","小于或等于"
"greater than","大于"
"less than","小于"
"If number of applied filters %1 %2 while %3 of these Conditions match:","如果已应用筛选器数量 %1 %2，同时这些条件中有 %3 个匹配："
"Landing Page","落地页"
"Page","页面"
"Attribute set","属性集"
"Product type","产品类型"
"SEO Content","SEO内容"
"Is Category Page — %1","分类页面 — %1"
"Is Landing Page — %1","落地页 — %1"
"Is Navigation Page — %1","导航页面 — %1"
"Is Product Page — %1","产品页面 — %1"
"Is CMS page — %1","CMS页面 — %1"
"Is Blog Page — %1","博客页面 — %1"
"Is Brand Page — %1","品牌页面 — %1"
"State","状态"
"Applied Template — %1","已应用模板 — %1"
"Applied Rewrite — %1","已应用重写 — %1"
"Content","内容"
"Content Sources","内容来源"
"Page %1 | %2","第 %1 页 | %2"
"%1 | Page %2","%1 | 第 %2 页"
"Tag: %1","标签: %1"
"Back","返回"
"Delete","删除"
"Are you sure you want to do this?","您确定要执行此操作吗？"
"Save and continue edit","保存并继续编辑"
"Save","保存"
"Edit","编辑"
"Delete rewrite?","删除重写？"
"Default","默认"
"Yes","是"
"No","否"
"Bottom of the page","页面底部"
"Under custom template","在自定义模板下方"
"Don't add automatically","不自动添加"
"Don't change","不更改"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","条件"
"Conditions (leave blank for all elements, depending from rule type)","条件（根据规则类型，留空则适用于所有元素）"
"Duplicate","复制"
"Delete template?","删除模板？"
