"Conditions","Voorwaarden"
"Wrong request.","Verkeerd verzoek."
"Rich snippet extender has been deleted.","Rich snippet-uitbreider is verwijderd."
"Edit rich snippet extender","Rich snippet-uitbreider bewerken"
"Rich snippet extender with ID ""%1"" does not exist.","Rich snippet-uitbreider met ID ""%1"" bestaat niet."
"Rich snippet extenders","Rich snippet-uitbreiders"
"New rich snippet extender","Nieuwe rich snippet-uitbreider"
"No data to save.","Geen gegevens om op te slaan."
"Rich snippet extender no longer exists.","Rich snippet-uitbreider bestaat niet meer."
"Incorrect JSON format","Onjuist JSON-formaat"
"Rich snippet extender has been saved.","Rich snippet-uitbreider is opgeslagen."
"Disabled","Uitgeschakeld"
"Use description","Beschrijving gebruiken"
"Use meta description","Metabeschrijving gebruiken"
"No","Nee"
"Yes, for all categories","Ja, voor alle categorieën"
"Yes, only for non-filtered categories","Ja, alleen voor niet-gefilterde categorieën"
"Full (OfferCatalog)","Volledig (OfferCatalog)"
"Simple (ItemList)","Eenvoudig (ItemList)"
"Aggregate Product","Geaggregeerd product"
"Current page","Huidige pagina"
"Entire category","Volledige categorie"
"Yes, for all landing pages","Ja, voor alle landingspagina's"
"Yes, only for non-filtered landing pages","Ja, alleen voor niet-gefilterde landingspagina's"
"Entire landing page","Volledige landingspagina"
"Homepage only","Alleen startpagina"
"All CMS pages","Alle CMS-pagina's"
"Specific CMS pages","Specifieke CMS-pagina's"
"Add from store information","Toevoegen uit winkelinformatie"
"Add manually","Handmatig toevoegen"
"Default (from configuration)","Standaard (uit configuratie)"
"WebPage","WebPage"
"Article","Artikel"
"BlogPosting","BlogPosting"
"AboutPage","AboutPage"
"ContactPage","ContactPage"
"Use short description","Korte beschrijving gebruiken"
"Configure manually","Handmatig configureren"
"New for all products","Nieuw voor alle producten"
"Kilograms (kg)","Kilogram (kg)"
"Pounds (lb)","Pond (lb)"
"Grams (g)","Gram (g)"
"Search in the catalog of products","Zoeken in de productcatalogus"
"Search in the blog articles","Zoeken in blogartikelen"
"Summary card","Overzichtskaart"
"Summary card with large image","Overzichtskaart met grote afbeelding"
"The rich snippet extender with ID ""%1"" doesn't exist.","De rich snippet-uitbreider met ID ""%1"" bestaat niet."
"Edit","Bewerken"
"Delete","Verwijderen"
"Delete record with ID %1","Record met ID %1 verwijderen"
"Are you sure you want to delete this rich snippet extender?","Weet u zeker dat u deze rich snippet-uitbreider wilt verwijderen?"
"Template variables","Sjabloonvariabelen"
"learn more","meer informatie"
"Double click on a variable to insert it into the field","Dubbelklik op een variabele om deze in het veld in te voegen"
"Learn more about template variables","Meer informatie over sjabloonvariabelen"
"Rich snippets and OpenGraph","Rich snippets en OpenGraph"
"Product page","Productpagina"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configureer rich snippets voor productpagina's om de zoekmachinevisibiliteit te verbeteren. Deze instellingen verbeteren hoe uw producten verschijnen in zoekresultaten met aanvullende informatie zoals prijzen, beschikbaarheid en beoordelingen."
"Delete wrong snippets automatically","Onjuiste snippets automatisch verwijderen"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Verwijdert automatisch onjuiste gestructureerde gegevens van productpagina's. Helpt schone opmaak te behouden en schemvalidatieproblemen te voorkomen."
"Enable rich snippet","Rich snippet inschakelen"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Activeert gestructureerde gegevensopmaak voor productpagina's. Dit is de hoofdschakelaar voor alle productgerelateerde rich snippets."
"Item name length","Lengte van itemnaam"
"Maximum character length for item name in structured data.","Maximale tekenlengte voor de itemnaam in gestructureerde gegevens."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","De maximale waarde aanbevolen door Google is 150. Waarden onder 25 worden standaard 150. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Item price","Itemprijs"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Bevat productprijsinformatie in OpenGraph en Rich Snippets. Waarschuwing: uitschakelen verwijdert de prijs uit gestructureerde gegevens en kan Google Rich Results-validatiefouten veroorzaken, omdat prijs vereist is voor geldige Product rich snippets."
"Single price mode","Enkelvoudige prijsmodus"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Indien ingeschakeld wordt het schema.org Offer-type met een enkele prijswaarde gebruikt in plaats van het AggregateOffer-type met prijsbereiken. Dit wijzigt de gestructureerde gegevens van aggregatie van meerdere aanbiedingen naar een enkele aanbiedingsrepresentatie."
"Include price valid until","Prijs geldig tot opnemen"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Dit helpt zoekmachines de tijdelijke geldigheid van prijzen te begrijpen en kan de nauwkeurigheid van prijsvergelijkingsfuncties verbeteren. Handig voor promotionele prijzen, tijdbeperkte aanbiedingen of regelmatig bijgewerkte prijsstructuren."
"Item description","Itembeschrijving"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Bepaalt welk productbeschrijvingsveld wordt gebruikt in gestructureerde gegevens. Selecteer de meest geschikte bron voor uitgebreide productinformatie."
"Item description length","Lengte van itembeschrijving"
"Maximum character length for item description in structured data.","Maximale tekenlengte voor de itembeschrijving in gestructureerde gegevens."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","De maximale waarde aanbevolen door Google is 5000. Waarden onder 25 worden standaard 5000. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Item image","Itemafbeelding"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Bevat productafbeeldingen in gestructureerde gegevens. Dit maakt visuele weergave van producten mogelijk in zoekresultaten en rich snippets."
"Item availability","Beschikbaarheid van item"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Toont de voorraadstatus van producten in gestructureerde gegevens. Dit helpt voorraadniveaus direct in zoekresultaten te communiceren aan potentiële klanten."
"Payment methods","Betaalmethoden"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Geeft geaccepteerde betaalmethoden weer in gestructureerde gegevens. Dit biedt transparantie over betalingsopties voordat bezoekers doorklikken."
