"Secomm Extensions","Secomm Extensions"
"Commerce Tracking","Commerce Tracking"
"General","General"
"Enable Commerce Tracking","Enable Commerce Tracking"
"Master switch for the Launchpad tracking event layer (browser dataLayer pipeline + server outbox). Default: No.","Master switch for the Launchpad tracking event layer (browser dataLayer pipeline + server outbox). Default: No."
"Debug Log","Debug Log"
"Write masked delivery/debug entries to var/log/secomm_tracking.log and the delivery table for QC reconcile. Default: No.","Write masked delivery/debug entries to var/log/secomm_tracking.log and the delivery table for QC reconcile. Default: No."
"Meta — Pixel & Conversions API","Meta — Pixel & Conversions API"
"Enable Meta","Enable Meta"
"Server-side Conversions API events (purchase/refund) + browser pixel events via GTM container. Default: No.","Server-side Conversions API events (purchase/refund) + browser pixel events via GTM container. Default: No."
"Pixel ID","Pixel ID"
"Meta Pixel numeric ID (Business Manager → Events Manager → Data sources).","Meta Pixel numeric ID (Business Manager → Events Manager → Data sources)."
"System User Access Token","System User Access Token"
"Meta system-user token with ads_management/events permissions for the Conversions API. Stored encrypted — never commit.","Meta system-user token with ads_management/events permissions for the Conversions API. Stored encrypted — never commit."
"Test Mode","Test Mode"
"Send with test_event_code so events land in Events Manager → Test Events instead of live audiences. Default: No.","Send with test_event_code so events land in Events Manager → Test Events instead of live audiences. Default: No."
"Test Event Code","Test Event Code"
"TEST12345-style code from Events Manager → Test Events. Only used when Test Mode is Yes.","TEST12345-style code from Events Manager → Test Events. Only used when Test Mode is Yes."
"TikTok — Pixel & Events API","TikTok — Pixel & Events API"
"Enable TikTok","Enable TikTok"
"Server-side Events API events (CompletePayment/refund) + browser pixel events via GTM container. Default: No.","Server-side Events API events (CompletePayment/refund) + browser pixel events via GTM container. Default: No."
"TikTok Pixel ID (TikTok Business Center → Events → Web events).","TikTok Pixel ID (TikTok Business Center → Events → Web events)."
"Events API Access Token","Events API Access Token"
"TikTok long-term Events API token (Business Center → Events → Manage assets → API). Stored encrypted — never commit.","TikTok long-term Events API token (Business Center → Events → Manage assets → API). Stored encrypted — never commit."
"Test Mode (Debug)","Test Mode (Debug)"
"Send with the debug flag so events land in TikTok Event Debug instead of live. Default: No.","Send with the debug flag so events land in TikTok Event Debug instead of live. Default: No."
"Refund Events","Refund Events"
"Enable Refund Events","Enable Refund Events"
"Send a refund event (Meta Refund / TikTok custom refund) per creditmemo to enabled server vendors. Default: No.","Send a refund event (Meta Refund / TikTok custom refund) per creditmemo to enabled server vendors. Default: No."
