"API key is not configured.","لم يتم تكوين مفتاح API."
"AI request failed: %1","فشل طلب الذكاء الاصطناعي: %1"
"SEO AI helper","مساعد الذكاء الاصطناعي لـ SEO"
"General settings","الإعدادات العامة"
"Configure the core settings for the SEO AI helper functionality.","تكوين الإعدادات الأساسية لوظيفة مساعد الذكاء الاصطناعي لـ SEO."
"Enable SEO AI helper","تمكين مساعد الذكاء الاصطناعي لـ SEO"
"Activates the AI-powered SEO optimization features throughout your Magento store.","تفعيل ميزات تحسين SEO المعتمدة على الذكاء الاصطناعي في جميع أنحاء متجر Magento الخاص بك."
"Use Core AI settings","استخدام إعدادات Core AI"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","عند التمكين: يستخدم إعدادات الذكاء الاصطناعي العامة من وحدة Core (موصى به)<br>عند التعطيل: يستخدم الإعدادات الخاصة بالوحدة أدناه"
"AI provider","مزود الذكاء الاصطناعي"
"Select the AI provider for SEO content generation.","حدد مزود الذكاء الاصطناعي لإنشاء محتوى SEO."
"AI model","نموذج الذكاء الاصطناعي"
"Select the AI model for content generation. Available models depend on the selected provider.","حدد نموذج الذكاء الاصطناعي لإنشاء المحتوى. تعتمد النماذج المتاحة على المزود المحدد."
"API key","مفتاح API"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">الحصول على مفتاح OpenAI API</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">الحصول على مفتاح Anthropic API</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">الحصول على مفتاح Google AI Studio API</a>"
"AI helper","مساعد الذكاء الاصطناعي"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","تكوين كيفية قيام مساعد الذكاء الاصطناعي تلقائيًا بتحسين أداء SEO لمتجرك بناءً على نتائج التدقيق."
"Automatically fix meta-related issues","إصلاح مشكلات ميتا تلقائيًا"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","عند التمكين، سيقوم النظام تلقائيًا بإنشاء وتطبيق إعادة كتابة SEO لإصلاح مشكلات عناوين ميتا والأوصاف وعناصر ميتا الأخرى التي تم تحديدها أثناء عمليات التدقيق. يساعد هذا في الحفاظ على أفضل ممارسات SEO عبر موقعك دون تدخل يدوي."
"Enable cron task","تمكين مهمة Cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","جدولة إصلاحات SEO التلقائية للتشغيل كل 30 دقيقة عبر نظام Cron في Magento. يضمن هذا أن تظل معلومات ميتا لموقعك محسّنة حتى عند إضافة محتوى جديد. قم بالتعطيل إذا كنت تفضل تشغيل الإصلاحات يدويًا."
"Re-generate SEO rewrites","إعادة إنشاء إعادة كتابة SEO"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","عند التمكين، سيقوم النظام باستمرار بتحسين محتوى ميتا الذي تم إنشاؤه مسبقًا في عمليات التشغيل اللاحقة حتى يستوفي إرشادات الطول الموصى بها وأفضل ممارسات SEO. يساعد هذا التحسين التكراري في تحقيق محتوى ميتا مثالي بمرور الوقت."
"Add store information to context","إضافة معلومات المتجر إلى السياق"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","يحسن المحتوى الذي ينشئه الذكاء الاصطناعي من خلال تضمين اسم متجرك ووصفه عند إنشاء محتوى ميتا. يوفر هذا سياقًا ذا صلة للذكاء الاصطناعي، مما ينتج عنه أوصاف وعناوين ميتا أكثر توافقًا مع العلامة التجارية وأكثر صلة."
"Store description","وصف المتجر"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","اصف في كلمات قليلة أنواع المنتجات التي يبيعها متجرك. يساعد هذا السياق الذكاء الاصطناعي على إنشاء محتوى ميتا أكثر صلة واستهدافًا. هذه البيانات غير مطلوبة."
"AI helper store context","سياق متجر مساعد الذكاء الاصطناعي"
