"Conditions","Warunki"
"Rule conditions (leave blank to use only regular expression)","Warunki reguły (pozostaw puste, aby używać tylko wyrażenia regularnego)"
"Checklist","Lista kontrolna"
"Duplicateinfo","Informacje o duplikatach"
"Store Id","ID sklepu"
"Category Path","Ścieżka kategorii"
"Category Id","ID kategorii"
"Current request path","Aktualna ścieżka żądania"
"URL key","Klucz URL"
"Root Catalog (ID: 1)","Katalog główny (ID: 1)"
"(ID: %1)","(ID: %1)"
"Redirects","Przekierowania"
"Canonical rewrite","Przepisanie kanoniczne"
"Cross-links","Linki krzyżowe"
"Sitemap","Mapa witryny"
"Settings","Ustawienia"
"User manual","Instrukcja obsługi"
"Get support","Uzyskaj wsparcie"
"Add New Redirect","Dodaj nowe przekierowanie"
"Import/Export redirects","Importuj/Eksportuj przekierowania"
"Rewrite manager","Menedżer przepisań"
"Add rewrite","Dodaj przepisanie"
"Store group","Grupa sklepu"
"Hreflang","Hreflang"
"Store","Sklep"
"Add","Dodaj"
"(Id: %1)","(Id: %1)"
"Stores","Sklepy"
"button_label","button_label"
"Attribute","Atrybut"
"Usage","Użycie"
"Page type","Typ strony"
"Remove parent category path","Usuń ścieżkę kategorii nadrzędnej"
"URL pattern","Wzorzec URL"
"Option","Opcja"
"Meta title","Meta tytuł"
"Meta keywords","Meta słowa kluczowe"
"Meta description","Meta opis"
"Title (H1)","Tytuł (H1)"
"SEO description","Opis SEO"
"Product short description","Krótki opis produktu"
"Product description","Opis produktu"
"Add SEO Template","Dodaj szablon SEO"
"Home","Strona główna"
"Go to Home Page","Przejdź do strony głównej"
"SEO","SEO"
"This row no longer exists.","Ten wiersz już nie istnieje."
"New canonical rewrite","Nowe przepisanie kanoniczne"
"%1 item(s) was removed","Usunięto %1 element(ów)"
"Please select item(s)","Wybierz element(y)"
"Edit canonical rewrite ID: %1","Edytuj przepisanie kanoniczne ID: %1"
"Total of %1 record(s) were successfully disabled","Łącznie %1 rekord(ów) zostało pomyślnie wyłączonych"
"Total of %1 record(s) were successfully enabled","Łącznie %1 rekord(ów) zostało pomyślnie włączonych"
"Row was saved.","Wiersz został zapisany."
"No data to save.","Brak danych do zapisania."
"SEO Checklist","Lista kontrolna SEO"
"Create a unique url key for all of your categories listed on this table. If the table is empty, this means that you do not have duplicate keys and can push the ""<a href=""%1"" target=""_blank"">Remove parent category path</a>"" button to change category urls.","Utwórz unikalny klucz URL dla wszystkich kategorii wymienionych w tej tabeli. Jeśli tabela jest pusta, oznacza to, że nie masz zduplikowanych kluczy i możesz nacisnąć przycisk ""<a href=""%1"" target=""_blank"">Usuń ścieżkę kategorii nadrzędnej</a>"", aby zmienić adresy URL kategorii."
"Category duplicate urls","Zduplikowane adresy URL kategorii"
"Add redirect","Dodaj przekierowanie"
"Item was successfully deleted","Element został pomyślnie usunięty"
"Edit redirect","Edytuj przekierowanie"
"The item does not exist.","Element nie istnieje."
"Total of %1 record(s) were successfully deleted","Łącznie %1 rekord(ów) zostało pomyślnie usuniętych"
"Item was successfully saved","Element został pomyślnie zapisany"
"Unable to find an item to save","Nie można znaleźć elementu do zapisania"
"There is no sample file for this entity.","Brak pliku przykładowego dla tej encji."
"%1 records were inserted or updated","Wstawiono lub zaktualizowano %1 rekordów"
"URLs have been processed.","Adresy URL zostały przetworzone."
"Something went wrong.","Coś poszło nie tak."
"Missing canonical URL.","Brak kanonicznego adresu URL."
"%1 canonical on the page.","%1 kanoniczny(-ch) na stronie."
"Canonical created not using Mirasvit SEO extension.","Kanoniczny URL utworzony bez rozszerzenia Mirasvit SEO."
"There is no H1 tag on the page.","Na stronie nie ma znacznika H1."
"One H1 tag","Jeden znacznik H1"
"%1 H1 tags.","%1 znaczników H1."
"Length = %1. Recommended length up to %2 characters.","Długość = %1. Zalecana długość do %2 znaków."
"Meta title not defined.","Meta tytuł nie jest zdefiniowany."
"Meta description not defined.","Meta opis nie jest zdefiniowany."
"Meta keywords not defined.","Meta słowa kluczowe nie są zdefiniowane."
"Some alt tags are empty or missing.","Niektóre znaczniki alt są puste lub brakuje ich."
"Total number of images","Łączna liczba obrazów"
"Images without alt attribute","Obrazy bez atrybutu alt"
"Images with empty alt attribute","Obrazy z pustym atrybutem alt"
"%1 images with correct alt attribute.","%1 obrazów z prawidłowym atrybutem alt."
"Conditions combination","Kombinacja warunków"
"Categories and layered navigation","Kategorie i nawigacja warstwowa"
"Products","Produkty"
"Product attributes","Atrybuty produktu"
"Products additional","Produkty dodatkowe"
"Attribute set","Zestaw atrybutów"
"Category","Kategoria"
"Created (days ago)","Utworzono (dni temu)"
"Updated (days ago)","Zaktualizowano (dni temu)"
"Quantity","Ilość"
"Price - Final Price","Cena - Cena końcowa"
"Percent Discount","Rabat procentowy"
"Open Chooser","Otwórz selektor"
"Disabled","Wyłączony"
"Enabled for all websites","Włączony dla wszystkich witryn"
"Configure","Konfiguruj"
"Add automatically","Dodaj automatycznie"
"Add all selected options","Dodaj wszystkie zaznaczone opcje"
"Add if only one option selected","Dodaj jeśli wybrana jest tylko jedna opcja"
"Without filters","Bez filtrów"
"With all filters","Ze wszystkimi filtrami"
"Default","Domyślny"
"Parent product","Produkt nadrzędny"
"Use Robots meta header","Użyj nagłówka meta Robots"
"Enabled","Włączony"
"Enabled if cookie exist","Włączony jeśli istnieje plik cookie"
"Right","Prawy"
"Left","Lewy"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Don't change","Nie zmieniaj"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Domyślny jako pierwszy"
"Custom","Niestandardowy"
"Brand only","Tylko marka"
"Category + Brand","Kategoria + Marka"
"Direct link","Bezpośredni link"
"Shortest path","Najkrótsza ścieżka"
"Longest path","Najdłuższa ścieżka"
"Long","Długi"
"Short","Krótki"
"Include categories path to Product URLs","Uwzględnij ścieżkę kategorii w adresach URL produktów"
"Don't include categories path to Product URLs","Nie uwzględniaj ścieżki kategorii w adresach URL produktów"
"301 Moved permanently","301 Trwałe przeniesienie"
"302 Object moved","302 Obiekt przeniesiony"
"307 Temporary redirect","307 Tymczasowe przekierowanie"
"Total number of products with reviews","Łączna liczba produktów z recenzjami"
"Total number of reviews","Łączna liczba recenzji"
"Redirect to the same page with trailing slash","Przekieruj na tę samą stronę z ukośnikiem końcowym"
"Redirect to the same page without trailing slash","Przekieruj na tę samą stronę bez ukośnika końcowego"
"Parent category path has been removed.","Ścieżka kategorii nadrzędnej została usunięta."
"Alternate Settings","Ustawienia alternatywne"
"Alternate group","Grupa alternatywna"
"Open Graph Image Url","URL obrazu Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Nieprawidłowa wartość kodu lokalizacji Hreflang: ""%1"". Należy używać <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formatu ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Szablon klucza URL dla obrazów produktów"
"Template for Product Images Alt","Szablon alt dla obrazów produktów"
"Template for Product Images Title","Szablon tytułu dla obrazów produktów"
"The store can't be indexed when closed to robots and crawlers.","Sklep nie może być indeksowany, gdy jest zamknięty dla robotów i crawlerów."
"The page needs to display a correct title and store description in search results.","Strona musi wyświetlać prawidłowy tytuł i opis sklepu w wynikach wyszukiwania."
"Unable to run test, the robots.txt file is empty","Nie można uruchomić testu, plik robots.txt jest pusty"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Uzyskaj głębsze zrozumienie swoich klientów. Google Analytics daje Ci bezpłatne narzędzia potrzebne do analizowania danych biznesowych w jednym miejscu."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Włącz moduł Mirasvit_SeoSitemap, uruchamiając następujące polecenie: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Ulepszone wyniki wyszukiwania, które dostarczają wyszukującym dodatkowych informacji o zawartości strony. Google i inne wyszukiwarki używają danych strukturalnych zawartych w HTML lub JavaScript strony internetowej do tworzenia tych fragmentów."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Używanie nazw produktów lub innych zmiennych jako nazw plików obrazów jest bardziej opisowe dla wyszukiwarek niż używanie losowych znaków lub liczb."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Znaczniki alt zapewniają tekstową alternatywę dla obrazu dla wyszukiwarek i osób używających czytników ekranu do przeglądania stron internetowych."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Gdy opcja ""Używaj znaczników meta z produktów, jeśli nie są puste"" jest ustawiona na ""Tak"", wpłynie to na ten szablon. Czytaj więcej"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Gdy opcja ""Używaj znaczników meta z kategorii, jeśli nie są puste"" jest ustawiona na ""Tak"", wpłynie to na ten szablon. Czytaj więcej"
"Blog Data","Dane bloga"
"Brand Data","Dane marki"
"Category Data","Dane kategorii"
"CMS Page Data","Dane strony CMS"
"Filter Data","Dane filtrów"
"Landing Page Data","Dane strony docelowej"
"Current Page Data","Dane bieżącej strony"
"Pagination","Paginacja"
"Page %1","Strona %1"
"Product Data","Dane produktu"
"Store Data","Dane sklepu"
"Reversed by TrailingSlashService","Odwrócony przez TrailingSlashService"
"Auto-generated by TrailingSlashService","Automatycznie wygenerowany przez TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID produktu: %1 ID sklepu: %2 Klucz URL: %3"
"Already used url key","Klucz URL jest już używany"
"Empty url key","Pusty klucz URL"
"Duplicate used url key","Zduplikowany używany klucz URL"
"Updated url key","Zaktualizowany klucz URL"
"Edit","Edytuj"
"Delete","Usuń"
"Delete item?","Usunąć element?"
"Back","Wstecz"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Reset","Resetuj"
"Resets input fields values","Resetuje wartości pól wprowadzania"
"Save and continue edit","Zapisz i kontynuuj edycję"
"Save","Zapisz"
"All store views","Wszystkie widoki sklepu"
"Tests passed.","Testy zakończone pomyślnie."
"test(s) remaining","pozostałe testy"
"Hint","Wskazówka"
"Solution","Rozwiązanie"
"here","tutaj"
"Import redirects (.csv)","Importuj przekierowania (.csv)"
"Import redirects","Importuj przekierowania"
"Download example CSV file for redirect import","Pobierz przykładowy plik CSV do importu przekierowań"
"Example of CSV file","Przykład pliku CSV"
"Export redirects (.csv)","Eksportuj przekierowania (.csv)"
"Export redirects","Eksportuj przekierowania"
"This operation can take a long time.","Ta operacja może zająć dużo czasu."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Wszystkie adresy URL kategorii zostaną zmienione. Tej czynności nie można cofnąć. Czy chcesz potwierdzić?"
"Error during request.","Błąd podczas żądania."
"Error during removal of category path.","Błąd podczas usuwania ścieżki kategorii."
"Error during processing URLs.","Błąd podczas przetwarzania adresów URL."
