"%1 service is not properly configured or available","%1-palvelua ei ole määritetty oikein tai se ei ole käytettävissä"
"Invalid AI request data","Virheelliset tekoälypyynnön tiedot"
"Request prompt cannot be empty","Pyynnön kehote ei voi olla tyhjä"
"Claude API error","Claude API -virhe"
"Invalid Claude API response: missing content","Virheellinen Claude API -vastaus: sisältö puuttuu"
"Empty content received from Claude API","Tyhjä sisältö vastaanotettu Claude API:sta"
"Gemini API error","Gemini API -virhe"
"Invalid Gemini API response: missing candidates","Virheellinen Gemini API -vastaus: ehdokkaat puuttuvat"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","Gemini API -vastaus katkaistiin, koska max_tokens-raja saavutettiin. Harkitse max_tokens-asetuksen kasvattamista tai lyhyemmän kehotteen käyttämistä."
"Empty content received from Gemini API","Tyhjä sisältö vastaanotettu Gemini API:sta"
"AI services are disabled in configuration","Tekoälypalvelut on poistettu käytöstä määrityksissä"
"No default AI provider configured","Oletustekoälypalveluntarjoajaa ei ole määritetty"
"No available AI provider for request validation","Pyynnön validointiin ei ole käytettävissä tekoälypalveluntarjoajaa"
"Request validation failed: %1","Pyynnön validointi epäonnistui: %1"
"All AI providers failed. Last error: %1","Kaikki tekoälypalveluntarjoajat epäonnistuivat. Viimeinen virhe: %1"
"Unsupported AI provider: %1. Supported providers: %2","Ei-tuettu tekoälypalveluntarjoaja: %1. Tuetut palveluntarjoajat: %2"
"Service class %1 must extend %2","Palveluluokan %1 on laajennettava %2"
"Failed to create AI service for provider %1: %2","Tekoälypalvelun luominen palveluntarjoajalle %1 epäonnistui: %2"
"Not configured","Ei määritetty"
Unknown,Tuntematon
"Unknown API error","Tuntematon API-virhe"
"Temperature must be between 0 and 2","Lämpötilan on oltava välillä 0–2"
"Max tokens must be greater than 0","Tokenien enimmäismäärän on oltava suurempi kuin 0"
"Frequency penalty must be between -2 and 2","Toistosakkoa on oltava välillä -2 ja 2"
"Format output as JSON.","Muotoile tulostus JSON-muotoon."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","OpenAI API palautti epätäydellisen vastauksen, koska mallin konteksti-ikkunan tokenien määrä ylittyi."
"OpenAI API returned no content in the response.","OpenAI API ei palauttanut sisältöä vastauksessa."
"Not Installed","Ei asennettu"
"A total of %1 record(s) have been deleted.","Yhteensä %1 tietue(tta) on poistettu."
"The record has been removed.","Tietue on poistettu."
"Disallowed file type.","Kielletty tiedostotyyppi."
"Can't remove folder %s","Kansiota %s ei voi poistaa"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Laajennus ei sisällä kaikkia tarvittavia tiedostoja. Asenna laajennus uudelleen alkuperäisestä paketista."
"Extension Information","Laajennustiedot"
Status,Tila
Other,Muu
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
