"Template manager","Sjabloonbeheer"
"Rewrite manager","Herschrijvingsbeheer"
"Settings","Instellingen"
"Preview template","Voorbeeld van sjabloon"
"SEO description","SEO-beschrijving"
"Rewrite was removed","Herschrijving is verwijderd"
"Please select rewrite","Selecteer een herschrijving"
"This rewrite no longer exists.","Deze herschrijving bestaat niet meer."
"New rewrite","Nieuwe herschrijving"
"There is no sample file for this entity.","Er is geen voorbeeldbestand voor deze entiteit."
"Unable to create export file.","Kan exportbestand niet aanmaken."
"Unable to send export file.","Kan exportbestand niet verzenden."
"Import/Export rewrites","Herschrijvingen importeren/exporteren"
"%1 records were inserted or updated","%1 records zijn ingevoegd of bijgewerkt"
"Rewrite was saved.","Herschrijving is opgeslagen."
"No data to save.","Geen gegevens om op te slaan."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","Sjabloon is verwijderd"
"Please select template","Selecteer een sjabloon"
"Template was duplicated successfully.","Sjabloon is succesvol gedupliceerd."
"This template no longer exists.","Dit sjabloon bestaat niet meer."
"New template","Nieuw sjabloon"
"Template was saved.","Sjabloon is opgeslagen."
"Disabled","Uitgeschakeld"
"At the beginning","Aan het begin"
"At the end","Aan het einde"
"At the beginning (add to the first page)","Aan het begin (toevoegen aan de eerste pagina)"
"At the end (add to the first page)","Aan het einde (toevoegen aan de eerste pagina)"
"Category","Categorie"
"Post","Bericht"
"Tag","Tag"
"Author","Auteur"
"Brand","Merk"
"Open Chooser","Kiezer openen"
"Conditions combination","Combinatie van voorwaarden"
"Filter Subselection","Filterselectie"
"Category Attributes","Categorieattributen"
"Product attributes","Productattributen"
"Page attributes","Pagina-attributen"
"Blog Attributes","Blogattributen"
"Brand Attributes","Merkattributen"
"Landing Page Attributes","Landingspagina-attributen"
"Product attribute","Productattribuut"
"is","is"
"is not","is niet"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"greater than","groter dan"
"less than","kleiner dan"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Als het aantal toegepaste filters %1 %2 is terwijl %3 van deze voorwaarden overeenkomen:"
"Landing Page","Landingspagina"
"Page","Pagina"
"Attribute set","Attribuutset"
"Product type","Producttype"
"SEO Content","SEO-inhoud"
"Is Category Page — %1","Is categoriepagina — %1"
"Is Landing Page — %1","Is landingspagina — %1"
"Is Navigation Page — %1","Is navigatiepagina — %1"
"Is Product Page — %1","Is productpagina — %1"
"Is CMS page — %1","Is CMS-pagina — %1"
"Is Blog Page — %1","Is blogpagina — %1"
"Is Brand Page — %1","Is merkpagina — %1"
"State","Status"
"Applied Template — %1","Toegepast sjabloon — %1"
"Applied Rewrite — %1","Toegepaste herschrijving — %1"
"Content","Inhoud"
"Content Sources","Inhoudsbronnen"
"Page %1 | %2","Pagina %1 | %2"
"%1 | Page %2","%1 | Pagina %2"
"Tag: %1","Tag: %1"
"Back","Terug"
"Delete","Verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Save and continue edit","Opslaan en bewerken voortzetten"
"Save","Opslaan"
"Edit","Bewerken"
"Delete rewrite?","Herschrijving verwijderen?"
"Default","Standaard"
"Yes","Ja"
"No","Nee"
"Bottom of the page","Onderkant van de pagina"
"Under custom template","Onder aangepast sjabloon"
"Don't add automatically","Niet automatisch toevoegen"
"Don't change","Niet wijzigen"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Voorwaarden"
"Conditions (leave blank for all elements, depending from rule type)","Voorwaarden (leeg laten voor alle elementen, afhankelijk van het regeltype)"
"Duplicate","Dupliceren"
"Delete template?","Sjabloon verwijderen?"
"Meta title","Metatitel"
"Meta keywords","Metatrefwoorden"
"Meta description","Metabeschrijving"
"Title (H1)","Titel (H1)"
"Product short description","Korte productbeschrijving"
"Product Description","Productbeschrijving"
"Category description","Categoriebeschrijving"
"Brand Description","Merkbeschrijving"
"Under product list","Onder de productlijst"
"Under short description","Onder de korte beschrijving"
"Under full description","Onder de volledige beschrijving"
"Categories","Categorieën"
"Layered navigation","Gelaagde navigatie"
"Products","Producten"
"CMS pages","CMS-pagina's"
"Blog","Blog"
"Landing Pages","Landingspagina's"
"SEO Rewrite Import","SEO-herschrijving importeren"
"Import rewrites (.csv)","Herschrijvingen importeren (.csv)"
"Import rewrites","Herschrijvingen importeren"
"This is a required field.","Dit is een verplicht veld."
"Example of CSV file","Voorbeeld van CSV-bestand"
"SEO Rewrite Export","SEO-herschrijving exporteren"
"Export rewrites (.csv)","Herschrijvingen exporteren (.csv)"
"Export rewrites","Herschrijvingen exporteren"
"Please select the rule type","Selecteer het regeltype"
"Preview not allowed for layered navigation templates","Voorbeeld niet toegestaan voor sjablonen voor gelaagde navigatie"
"Preview not allowed for Blog templates","Voorbeeld niet toegestaan voor blogsjablonen"
"Preview not allowed for Brand templates","Voorbeeld niet toegestaan voor merksjablonen"
"URL or Entity IDs separated by comma","URL of entiteit-ID's gescheiden door komma"
"Nothing to display","Niets om weer te geven"
"Template variables","Sjabloonvariabelen"
"learn more","meer informatie"
"Double click on a variable to insert it into the field","Dubbelklik op een variabele om deze in het veld in te voegen"
"Learn more about template variables","Meer informatie over sjabloonvariabelen"
"Template Preview","Sjabloonvoorbeeld"
"Reload","Opnieuw laden"
"SEO Templates and rewrites","SEO-sjablonen en herschrijvingen"
"General settings","Algemene instellingen"
"Configure basic behavior of meta tags processing across your store.","Configureer het basisgedrag van de verwerking van metatags in uw winkel."
"Apply store prefixes to custom titles","Winkelprefixen toepassen op aangepaste titels"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Indien ingeschakeld wordt het titelprefix/-suffix van de winkel (geconfigureerd in Inhoud > Ontwerp > Configuratie) automatisch toegepast op alle aangepaste metatitels."
"Allow HTML in meta tags","HTML toestaan in metatags"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Indien ingeschakeld worden HTML-speciale tekens (&, <, >, etc.) bewaard in metatags in plaats van geëscapet. Handig voor het opnemen van speciale symbolen of entiteiten."
"Use existing meta tags","Bestaande metatags gebruiken"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Definieer hoe de module sjabloongebaseerde metatags moet toepassen voor verschillende paginatypen. Indien ingeschakeld controleert de extensie eerst de originele metatags. Als ze niet leeg zijn, worden ze gebruikt; anders worden metatags gegenereerd op basis van de gedefinieerde sjablonen. Indien uitgeschakeld worden metatags altijd gegenereerd uit de sjablonen, ongeacht bestaande metatags."
"Category pages","Categoriepagina's"
"Product pages","Productpagina's"
"Blog pages","Blogpagina's"
"Requires Mirasvit Blog module.","Vereist de Mirasvit Blog-module."
"Brand pages","Merkpagina's"
"Requires Mirasvit Brand module.","Vereist de Mirasvit Brand-module."
"Landing pages","Landingspagina's"
"Requires Mirasvit Landing Page module.","Vereist de Mirasvit Landing Page-module."
"Content and meta length settings","Instellingen voor inhoud- en metalengte"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Geef tekenlimits op voor verschillende meta-elementen om een optimale weergave in zoekresultaten te garanderen. De waarde van het meta-element wordt afgekapt tot de opgegeven lengte. Te lage waarden worden vervangen door aanbevolen minimumlengtes."
"Maximum character length for meta titles.","Maximale tekenlengte voor metatitels."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google geeft doorgaans ~55-60 tekens weer. Waarden onder 25 worden standaard 55. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Maximum character length for meta descriptions.","Maximale tekenlengte voor metabeschrijvingen."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google geeft doorgaans ~150-160 tekens weer. Waarden onder 25 worden standaard 150. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Product name","Productnaam"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Maximale tekenlengte voor productnamen die op productpagina's worden weergegeven. Deze instelling bepaalt het afkappen van producttitels in pagina-inhoud."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Waarden onder 10 worden standaard 25. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Maximale tekenlengte voor korte productbeschrijvingen die op productpagina's worden weergegeven. Deze instelling beïnvloedt de presentatie van pagina-inhoud."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Waarden onder 25 worden standaard 90. Als de waarde leeg of 0 is, wordt geen limiet toegepast."
"Paginated content settings","Instellingen voor gepagineerde inhoud"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configureer hoe paginerings informatie verschijnt in metatags voor meerpagina categorielijstingen en zoekresultaten."
"Add pagination to meta titles","Paginering toevoegen aan metatitels"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Bepaalt hoe paginanummers verschijnen in metatitels voor gepagineerde inhoud. Helpt zoekmachines de pagineringsstructuur te begrijpen."
"Add pagination to meta descriptions","Paginering toevoegen aan metabeschrijvingen"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Bepaalt hoe paginanummers verschijnen in metabeschrijvingen voor gepagineerde inhoud. Helpt unieke metabeschrijvingen over gepagineerde pagina's te behouden."
"H1 Title","H1-titel"
"General information","Algemene informatie"
