"Add new link","Adicionar nova hiperligação"
"Import/Export links","Importar/Exportar hiperligações"
"[deleted]","[eliminado]"
"All store views","Todas as vistas de loja"
"There is no sample file for this entity.","Não existe ficheiro de exemplo para esta entidade."
"Unable to create export file.","Não foi possível criar o ficheiro de exportação."
"Unable to send export file.","Não foi possível enviar o ficheiro de exportação."
"Cross-links","Hiperligações cruzadas"
"%1 records were inserted or updated","%1 registos foram inseridos ou atualizados"
"New link","Nova hiperligação"
"Item was successfully deleted","O item foi eliminado com sucesso"
"Edit link '%1'","Editar hiperligação '%1'"
"The link does not exist.","A hiperligação não existe."
"Please select item(s)","Selecione o(s) item(s)"
"Total of %1 record(s) were successfully deleted","Total de %1 registo(s) eliminado(s) com sucesso"
"Total of %1 record(s) were successfully disabled","Total de %1 registo(s) desativado(s) com sucesso"
"Total of %1 record(s) were successfully enabled","Total de %1 registo(s) ativado(s) com sucesso"
"Link was successfully saved","A hiperligação foi guardada com sucesso"
"Unable to find link to save","Não foi possível encontrar a hiperligação para guardar"
"First","Primeira"
"Last","Última"
"Random","Aleatória"
"CMS page","Página CMS"
"CMS block","Bloco CMS"
"Category description","Descrição de categoria"
"Product short description","Descrição breve do produto"
"Product full description","Descrição completa do produto"
"Product attributes","Atributos de produto"
"SEO description","Descrição SEO"
"Blog MX post content","Conteúdo de publicação Blog MX"
"Mageplaza Blog post content","Conteúdo de publicação Mageplaza Blog"
"_self (in current window)","_self (na janela atual)"
"_blank (in new window)","_blank (em nova janela)"
"_self (in own frameset)","_self (no frameset próprio)"
"_top (in full current browser window)","_top (em janela de browser completa)"
"Back","Voltar"
"Delete","Eliminar"
"Are you sure you want to do this?","Tem a certeza de que pretende efetuar esta ação?"
"Reset","Repor"
"Resets input fields values","Repõe os valores dos campos de entrada"
"Save and continue edit","Guardar e continuar a editar"
"Save","Guardar"
"Edit","Editar"
"SEO Autolink Import","Importação de Autolink SEO"
"Import links (.csv)","Importar hiperligações (.csv)"
"Import links","Importar hiperligações"
"This is a required field.","Este campo é obrigatório."
"Download example CSV file for autolink import","Descarregar ficheiro CSV de exemplo para importação de autolinks"
"Example of CSV file","Exemplo de ficheiro CSV"
"SEO Autolink Export","Exportação de Autolink SEO"
"Export links (.csv)","Exportar hiperligações (.csv)"
"Export links","Exportar hiperligações"
"Cross-links settings","Definições de hiperligações cruzadas"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","Configure o comportamento das hiperligações cruzadas no conteúdo do seu site para melhorar a estrutura de ligações internas."
"Allowed areas for cross-links","Áreas permitidas para hiperligações cruzadas"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Selecione as áreas de conteúdo específicas onde as hiperligações cruzadas devem ser inseridas automaticamente. Limitar às áreas relevantes melhora o desempenho de carregamento de página."
"Restrict link placement in tags","Restringir a colocação de hiperligações em etiquetas"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Especifique as etiquetas HTML onde as hiperligações não devem ser inseridas (p. ex., h1, h2, a, strong). Introduza uma etiqueta por linha sem parênteses retos."
"Prevent adding cross-links on pages","Impedir a adição de hiperligações cruzadas em páginas"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Introduza padrões de URL (um por linha) onde as hiperligações cruzadas devem ser desativadas. Use * como caráter universal (p. ex., catalog/product/* ou */checkout)."
"Template paths for link insertion","Caminhos de modelo para inserção de hiperligações"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Especifique os caminhos de ficheiros de modelo (um por linha) onde as hiperligações devem ser inseridas. Nota: O processamento falha para modelos que excedam 1000 etiquetas HTML devido a restrições de memória."
"Max number of links per page","Número máximo de hiperligações por página"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Defina o número máximo de hiperligações cruzadas geradas automaticamente por página. Valores mais baixos podem melhorar o tempo de carregamento de página e evitar a sobreotimização."
"Avoid duplicate URLs in cross-links","Evitar URLs duplicados em hiperligações cruzadas"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Quando ativado, se múltiplas palavras-chave apontarem para o mesmo URL, apenas a primeira ocorrência será hiperligada. Isto evita hiperligações duplicadas e melhora o desempenho de carregamento de página."
"General information","Informações gerais"
"Keyword","Palavra-chave"
"URL","URL"
"URL target","Destino do URL"
"URL title","Título do URL"
"Nofollow","Nofollow"
"Number of substitutions","Número de substituições"
"Sort order","Ordem de classificação"
"Occurrence","Ocorrência"
"Is active","Está ativo"
"Active from","Ativo desde"
"Active to","Ativo até"
"Visible in store view","Visível na vista de loja"
"Change status","Alterar estado"
"Active","Ativo"
"Inactive","Inativo"
"Delete items","Eliminar itens"
"Are you sure you want to delete the selected items?","Tem a certeza de que pretende eliminar os itens selecionados?"
"ID","ID"
"Store view","Vista de loja"
"Status","Estado"
"Is nofollow","É nofollow"
"Max replacements","Substituições máximas"
"Link type","Tipo de ligação"
"Entity ID","ID da entidade"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Introduza o ID do produto ou o ID da categoria. O URL atual desta entidade será resolvido automaticamente quando a ligação for inserida."
"Custom URL","URL personalizado"
"Product by ID","Produto por ID"
"Category by ID","Categoria por ID"
"URL is required for custom URL links.","O URL é obrigatório para ligações de URL personalizadas."
"Entity ID is required for product/category links.","O ID da entidade é obrigatório para ligações de produto/categoria."
