"API key is not configured.","API anahtarı yapılandırılmamış."
"AI request failed: %1","AI isteği başarısız oldu: %1"
"SEO AI helper","SEO AI yardımcısı"
"General settings","Genel ayarlar"
"Configure the core settings for the SEO AI helper functionality.","SEO AI yardımcısı işlevi için temel ayarları yapılandırın."
"Enable SEO AI helper","SEO AI yardımcısını etkinleştir"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Magento mağazanız genelinde yapay zeka destekli SEO optimizasyon özelliklerini etkinleştirir."
"Use Core AI settings","Temel AI ayarlarını kullan"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Etkinleştirildiğinde: Core modülünden genel AI ayarlarını kullanır (önerilir)<br>Devre dışı bırakıldığında: Aşağıdaki modüle özgü ayarları kullanır"
"AI provider","AI sağlayıcı"
"Select the AI provider for SEO content generation.","SEO içerik oluşturma için AI sağlayıcıyı seçin."
"AI model","AI modeli"
"Select the AI model for content generation. Available models depend on the selected provider.","İçerik oluşturma için AI modelini seçin. Mevcut modeller seçilen sağlayıcıya bağlıdır."
"API key","API anahtarı"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API anahtarı al</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Anthropic API anahtarı al</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Google AI Studio API anahtarı al</a>"
"AI helper","AI yardımcısı"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","AI asistanının denetim sonuçlarına göre mağazanızın SEO performansını otomatik olarak nasıl iyileştireceğini yapılandırın."
"Automatically fix meta-related issues","Meta ile ilgili sorunları otomatik olarak düzelt"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Etkinleştirildiğinde, sistem denetimler sırasında tespit edilen meta başlıklar, açıklamalar ve diğer meta öğelerle ilgili sorunları gidermek için otomatik olarak SEO yeniden yazmaları oluşturur ve uygular. Bu, manuel müdahale olmadan siteniz genelinde SEO en iyi uygulamalarının sürdürülmesine yardımcı olur."
"Enable cron task","Cron görevini etkinleştir"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Magento'nun cron sistemi aracılığıyla her 30 dakikada bir çalışacak otomatik SEO düzeltmeleri zamanlayın. Bu, yeni içerik eklendiğinde bile sitenizin meta bilgilerinin optimize edilmiş kalmasını sağlar. Manuel olarak düzeltme tetiklemeyi tercih ediyorsanız devre dışı bırakın."
"Re-generate SEO rewrites","SEO yeniden yazmalarını yeniden oluştur"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Etkinleştirildiğinde, sistem önerilen uzunluk yönergelerini ve SEO en iyi uygulamalarını karşılayana kadar sonraki çalışmalarda önceden oluşturulmuş meta içeriği sürekli olarak iyileştirir. Bu yinelemeli iyileştirme, zamanla optimum meta içeriğe ulaşılmasına yardımcı olur."
"Add store information to context","Mağaza bilgisini bağlama ekle"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Meta içerik oluştururken mağazanızın adını ve açıklamasını ekleyerek AI tarafından oluşturulan içeriği geliştirir. Bu, AI'ya ilgili bağlamı sağlar ve daha marka uyumlu ve alakalı meta açıklamaları ve başlıkları elde edilmesini sağlar."
"Store description","Mağaza açıklaması"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Mağazanızın ne tür ürünler sattığını birkaç kelimeyle açıklayın. Bu bağlam, AI'nın daha alakalı ve hedefli meta içerik oluşturmasına yardımcı olur. Bu veriler zorunlu değildir."
"AI helper store context","AI yardımcısı mağaza bağlamı"
