Date,Ngày
From,Từ
To,Đến
"Day/Month/Year (%1)","Ngày/Tháng/Năm (%1)"
"Day-Month-Year (%1)","Ngày-Tháng-Năm (%1)"
"Day.Month.Year (%1)","Ngày.Tháng.Năm (%1)"
"Month/Day/Year (%1)","Tháng/Ngày/Năm (%1)"
"Month-Day-Year (%1)","Tháng-Ngày-Năm (%1)"
"Month.Day.Year (%1)","Tháng.Ngày.Năm (%1)"
"Year/Month/Day (%1)","Năm/Tháng/Ngày (%1)"
"Year-Month-Day (%1)","Năm-Tháng-Ngày (%1)"
"Year.Month.Day (%1)","Năm.Tháng.Ngày (%1)"
"Short d M, y (%1)","Ngắn gọn d M, y (%1)"
"Medium d MM, Y (%1)","Trung bình d MM, Y (%1)"
"Full DD, d MM, yy (%1)","Đầy đủ DD, d MM, yy (%1)"
"Delivery On:","Ngày giao hàng:"
"House Security Code:","Mã bảo mật nhà:"
"Delivery Comment:","Ghi chú giao hàng:"
Add,Thêm
"Add after","Thêm sau"
Delete,Xóa
"Delivery Date","Ngày giao hàng"
"Delivery Time","Thời gian giao hàng"
"House Security Code","Mã bảo mật nhà"
"Delivery Comment","Ghi chú giao hàng"
"-- Please select a delivery time--","-- Vui lòng chọn thời gian giao hàng--"
"Date value must not be empty.","Giá trị ngày không được để trống."
"General Configuration","Cấu hình chung"
Enable,Bật
"Select <strong>Yes</strong> to enable the module.","Chọn <strong>Yes</strong> để bật module."
"Enable House Security Code","Bật Mã bảo mật nhà"
"Select <strong>Yes</strong> to allow customers to fill their house security codes.","Chọn <strong>Yes</strong> để cho phép khách hàng nhập mã bảo mật nhà."
"Enable Delivery Comment","Bật Ghi chú giao hàng"
"Select <strong>Yes</strong> to allow customers to commend on their orders.","Chọn <strong>Yes</strong> để cho phép khách hàng ghi chú cho đơn hàng."
"Enable Delivery Time","Bật Thời gian giao hàng"
"Select <strong>Yes</strong> to allow customers to choose estimated delivery time.","Chọn <strong>Yes</strong> để cho phép khách hàng chọn thời gian giao hàng dự kiến."
"Allows admins to choose the time frame for delivery","Cho phép quản trị viên chọn khung giờ giao hàng"
"Date Format","Định dạng ngày"
"Select the date format used for delivery date.","Chọn định dạng ngày sử dụng cho ngày giao hàng."
"Day Off","Ngày nghỉ trong tuần"
"Allows admins to choose the day off in week. Customers can not select the days off for delivery","Cho phép quản trị viên chọn ngày nghỉ trong tuần. Khách hàng không thể chọn các ngày nghỉ này để giao hàng"
"Date Off","Ngày nghỉ theo ngày"
"Allows admins to choose any date off that they want. Customers can not select the days off for delivery","Cho phép quản trị viên chọn ngày nghỉ bất kỳ. Khách hàng không thể chọn các ngày nghỉ này để giao hàng"
"Enable Cut-off Time","Bật Giờ cắt đơn"
"Cut-off Time","Giờ cắt đơn"
"Allows admins to choose the Cut-off time of the day","Cho phép quản trị viên chọn giờ cắt đơn trong ngày"
"Leave a message for the extra fee.","Để lại lời nhắn cho phí bổ sung."
"Comments","Bình luận"
"Enter your comment here","Nhập bình luận của bạn tại đây"
"Your coupon was successfully applied.","Mã giảm giá đã được áp dụng thành công."
"Your coupon was successfully removed.","Mã giảm giá đã được xóa thành công."
"The coupon code isn't valid. Verify the code and try again.","Mã giảm giá không hợp lệ. Vui lòng kiểm tra lại mã và thử lại."
"Enter discount code","Nhập mã giảm giá"
"Apply Discount","Áp dụng"
"Cancel coupon","Hủy mã giảm giá"
"%1 day(s)","%1 ngày"
"%1 - %2 day(s)","%1 - %2 ngày"
"Please choose at least one option for each require extra fee","Vui lòng chọn ít nhất một tùy chọn cho mỗi phí bổ sung bắt buộc"
Already have an account? Click here to login,Đã có tài khoản? Nhấp vào đây để đăng nhập
You already have an account with us.,Bạn đã có tài khoản với chúng tôi.
You already have an account with us. Sign in or continue as guest.,Bạn đã có tài khoản với chúng tôi. Đăng nhập hoặc tiếp tục với khách.
Shipping Address,Địa chỉ giao hàng
Email Address,Địa chỉ email
My billing and shipping address are the same,Địa chỉ thanh toán và giao hàng của tôi giống nhau
Billing Address,Địa chỉ thanh toán
Create an account,Tạo tài khoản
Shipping Methods,Phương thức vận chuyển
Payment Methods,Phương thức thanh toán
Payment Information,Thông tin thanh toán
Discount Code,Mã giảm giá
Order Summary,Tóm tắt đơn hàng
Item in Cart,Sản phẩm trong giỏ hàng
Items in Cart,Các sản phẩm trong giỏ hàng
Product Name,Tên sản phẩm
Quantity,Số lượng
Subtotal,Tổng phụ
Action,Thao tác
Cart Subtotal,Tổng phụ giỏ hàng
Shipping,Giao hàng
Register for newsletter,Đăng ký nhận bản tin
Place Order,Đặt hàng
Save in address book,Lưu vào sổ địa chỉ
Please specify a payment method.,Vui lòng chọn phương thức thanh toán.
Selected shipping method is not available. Please select another shipping method for this order.,Phương thức giao hàng đã chọn không khả dụng. Vui lòng chọn phương thức giao hàng khác cho đơn hàng này.
The selected shipping method is not applicable to your order. Please contact us for more details.,Phương thức vận chuyển đã chọn không áp dụng cho đơn hàng của bạn. Vui lòng liên hệ với chúng tôi để biết thêm chi tiết.
Leave a message with the extra fee.,Để lại lời nhắn về khoản phí phát sinh.
You will be charged for,Bạn sẽ thanh toán
Tooltip,Trợ giúp
We'll send your order confirmation here.,Chúng tôi sẽ gửi xác nhận đơn hàng của bạn tại đây.
For delivery questions.,Dành cho câu hỏi giao hàng.
Please specify a shipping method.,Vui lòng chọn phương thức vận chuyển.
View Details,Xem chi tiết
Options Details,Chi tiết tùy chọn
Forgot an item?,Quên một sản phẩm?
No Payment method available.,Không có phương thức thanh toán nào khả dụng.
"Sorry, no quotes are available for this order at this time","Rất tiếc, hiện không có phương thức vận chuyển nào cho đơn hàng này"
You can create an account after checkout.,Bạn có thể tạo tài khoản sau khi thanh toán.
Discount,Chiết khấu
Discount (%1),Chiết khấu (%1)
