"Home","Головна"
"Go to Home Page","Перейти на головну сторінку"
"Categories","Категорії"
"Pages","Сторінки"
"Products","Товари"
"Stores","Магазини"
"Top of page","Верх сторінки"
"Bottom of page","Низ сторінки"
"Both top and bottom","Верх і низ"
"Disable","Вимкнути"
"Permanent only","Лише постійні"
"All","Всі"
"Priority must be between 0 and 1","Пріоритет повинен бути від 0 до 1"
"A cron job is required for automatic sitemap generation. Automatic generation can be configured at System > Configuration > Catalog > Google Sitemap > Generation Settings. Cron for Magento is not running. To set up a cron job, follow the link.","Для автоматичної генерації карти сайту необхідне завдання cron. Автоматичну генерацію можна налаштувати в Система > Конфігурація > Каталог > Google Sitemap > Налаштування генерації. Cron для Magento не запущено. Щоб налаштувати завдання cron, перейдіть за посиланням."
"Blog","Блог"
"Blog Home","Головна блогу"
"Brand","Бренд"
"Knowledge Base","База знань"
"Landing Pages","Лендінгові сторінки"
"Search sitemap","Пошук по карті сайту"
"Search","Пошук"
"Search through sitemap items","Пошук серед елементів карти сайту"
"Visit %1 store","Відвідати магазин %1"
"View %1 page","Переглянути сторінку %1"
"Additional Links","Додаткові посилання"
"Visit %1","Відвідати %1"
"View %1","Переглянути %1"
"View category: %1","Переглянути категорію: %1"
"View product: %1","Переглянути товар: %1"
"Nothing to show, please change a search query","Нічого для відображення, змініть пошуковий запит"
"Extended sitemap","Розширена карта сайту"
"General sitemap settings","Загальні налаштування карти сайту"
"Basic configuration options that affect both frontend and XML sitemaps.","Основні параметри конфігурації, що впливають як на фронтальну, так і на XML-карту сайту."
"Ignore CMS pages","Ігнорувати CMS-сторінки"
"Select pages that should not appear in any sitemaps. Useful for login, registration, and other utility pages.","Виберіть сторінки, які не повинні відображатися в будь-яких картах сайту. Корисно для сторінок входу, реєстрації та інших утиліт."
"Include SEO rewrites in sitemap","Включати SEO перезаписи в карту сайту"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Якщо увімкнено, усі URL SEO перезаписів з мета-роботами INDEX FOLLOW будуть включені в карту сайту. Включений шаблон посилання не повинен бути назвою дії або містити символи підстановки. Для фронтальної карти сайту поле <b>Заголовок</b> є обов'язковим."
"Exclude redirects from sitemap","Виключати перенаправлення з карти сайту"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Керує тим, як URL перенаправлень обробляються при генерації карти сайту. Виключення перенаправлень запобігає індексуванню пошуковими системами URL перенаправлень, тоді як їх включення дозволяє краулерам виявляти ланцюг перенаправлень. Постійні перенаправлення (301) зазвичай слід виключати, оскільки вони вказують на canonical URL, що вже є в карті сайту."
"Additional links","Додаткові посилання"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Додайте власні URL для включення в карти сайту. Формат: один URL на рядок. Для фронтальних карт сайту вкажіть і URL, і заголовок сторінки через кому."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Приклад:<br/>/promotions/, Наші Акції<br/>/customer/account/, Акаунт клієнта"
"Exclude by pattern","Виключати за шаблоном"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Вкажіть шаблони URL для виключення з усіх карт сайту. Кожен шаблон повинен бути на новому рядку. Символи підстановки (*) підтримуються."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Приклад:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Налаштування фронтальної карти сайту"
"Configure how your HTML sitemap appears to visitors and search engines.","Налаштуйте, як ваша HTML-карта сайту відображається відвідувачам та пошуковим системам."
"Display settings","Налаштування відображення"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Налаштуйте візуальне представлення та елементи інтерфейсу вашої HTML-карти сайту. Ці налаштування контролюють відображення карти сайту для відвідувачів, включно зі структурою макету, засобами навігації та інтерактивними функціями."
"Columns count","Кількість стовпців"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Визначте, скільки стовпців відображатиметься у фронтальній карті сайту. Більше стовпців може покращити читабельність на великих сайтах."
"Valid values from 1 to 10","Допустимі значення від 1 до 10"
"Alphabetical product grouping","Алфавітне групування товарів"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Якщо увімкнено, товари будуть згруповані в алфавітному порядку з заголовками великих літер, що покращує навігацію для відвідувачів."
"Show sitemap search box","Показувати поле пошуку в карті сайту"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Відображайте поле пошуку на сторінці фронтальної карти сайту. Відвідувачі можуть використовувати його для фільтрації та пошуку конкретного контенту в карті сайту без прокрутки всіх записів."
"Pagination controls position","Позиція елементів керування пагінацією"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Налаштуйте, де відображається навігація пагінації у фронтальній карті сайту: вгорі сторінки, внизу сторінки або в обох місцях. Для великих карт сайту на кількох сторінках розміщення елементів керування вгорі та внизу покращує зручність навігації."
"Cap product links per page","Обмежити посилання на товари на сторінку"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Встановіть максимальну кількість посилань на товари на сторінку, щоб запобігти надмірному розміру сторінки. Якщо перевищено, пагінація застосовуватиметься автоматично."
"SEO settings","SEO-налаштування"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Визначте елементи пошукової оптимізації для сторінки HTML-карти сайту. Ці налаштування безпосередньо впливають на відображення карти сайту в результатах пошуку та її знаходимість користувачами і краулерами."
"Base URL path to frontend sitemap","Базовий URL-шлях до фронтальної карти сайту"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Вкажіть URL-шлях, де буде доступна фронтальна карта сайту (наприклад, 'map' зробить її доступною за адресою example.com/map)."
"Meta title","Мета-заголовок"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Визначте заголовок вкладки браузера для вашої сторінки карти сайту. Важливо для індексації пошуковими системами."
"Meta keywords","Мета-ключові слова"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Визначте ключові слова для сторінки карти сайту. Хоча вони менш важливі для сучасного SEO, це все ще може бути корисним для внутрішнього пошуку."
"Meta description","Мета-опис"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Визначте мета-опис для вашої сторінки карти сайту. Цей текст може відображатися в результатах пошукових систем."
"H1 header","Заголовок H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Визначте основний заголовок (H1), що відображається на сторінці карти сайту. Важливо як для зручності використання, так і для SEO."
"Content settings","Налаштування контенту"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Керуйте тим, які типи контенту включаються в HTML-карту сайту. Ці налаштування визначають обсяг та повноту вашої карти сайту, дозволяючи адаптувати її до конкретних навігаційних потреб вашого сайту з урахуванням впливу на продуктивність для великих каталогів."
"Show products","Показувати товари"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Якщо увімкнено, всі товари будуть перераховані у фронтальній карті сайту. Враховуйте вплив на продуктивність для великих каталогів."
"Show categories","Показувати категорії"
"When enabled, all categories will be included in the frontend sitemap.","Якщо увімкнено, всі категорії будуть включені у фронтальну карту сайту."
"Show CMS pages","Показувати CMS-сторінки"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Якщо увімкнено, CMS-сторінки (крім виключених у загальних налаштуваннях карти сайту) будуть відображатися у фронтальній карті сайту."
"Show additional links","Показувати додаткові посилання"
"When enabled, additional links will be included in the frontend sitemap.","Якщо увімкнено, додаткові посилання будуть включені у фронтальну карту сайту."
"Show stores","Показувати магазини"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Якщо увімкнено, посилання на всі представлення магазину будуть включені у фронтальну карту сайту. Корисно для багатомовних магазинів для покращення навігації."
"Show landing pages","Показувати лендінгові сторінки"
"When enabled, landing pages will be included in the frontend sitemap.","Якщо увімкнено, лендінгові сторінки будуть включені у фронтальну карту сайту."
"Show brands","Показувати бренди"
"When enabled, brands will be included in the frontend sitemap.","Якщо увімкнено, бренди будуть включені у фронтальну карту сайту."
"Show knowledge base","Показувати базу знань"
"When enabled, the knowledge base will be included in the frontend sitemap.","Якщо увімкнено, база знань буде включена у фронтальну карту сайту."
"Show blog","Показувати блог"
"When enabled, the blog will be included in the frontend sitemap.","Якщо увімкнено, блог буде включено у фронтальну карту сайту."
"Show Aheadworks blog","Показувати блог Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Якщо увімкнено, блог Aheadworks буде включено у фронтальну карту сайту."
"Show FishPig blog","Показувати блог FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Якщо увімкнено, блог FishPig буде включено у фронтальну карту сайту."
"Show Mageplaza blog","Показувати блог Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Якщо увімкнено, блог Mageplaza буде включено у фронтальну карту сайту."
"Show Magefan blog","Показувати блог Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Якщо увімкнено, блог Magefan буде включено у фронтальну карту сайту."
"Show Amasty blog","Показувати блог Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Якщо увімкнено, блог Amasty буде включено у фронтальну карту сайту."
"Show Magezon blog","Показувати блог Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Якщо увімкнено, блог Magezon буде включено у фронтальну карту сайту."
"XML sitemap settings","Налаштування XML-карти сайту"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Налаштуйте XML-карти сайту для краулерів пошукових систем. Ці налаштування впливають на те, як пошукові системи виявляють та індексують контент вашого сайту."
"Common settings","Загальні налаштування"
"Settings that apply to all XML sitemap entries regardless of content type.","Налаштування, що застосовуються до всіх записів XML-карти сайту незалежно від типу контенту."
"Strip optional sitemap tags","Видалити необов'язкові теги карти сайту"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Якщо увімкнено, теги changefreq та priority будуть видалені з усіх XML-карт сайту. Деякі SEO-експерти рекомендують це, оскільки ці значення часто ігноруються пошуковими системами."
"Strip optional image tags","Видалити необов'язкові теги зображень"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Якщо увімкнено, теги image:title та image:caption будуть видалені з усіх XML-карт сайту. Зменшує розмір файлу карти сайту та покращує продуктивність генерації."
"Strip PageMap tags","Видалити теги PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Якщо увімкнено, теги PageMap будуть видалені з усіх XML-карт сайту. PageMap є застарілою функцією Google, що рідко використовується в сучасному індексуванні. Увімкніть для зменшення складності карти сайту."
"Categories options","Параметри категорій"
"Configure how category pages appear in XML sitemaps.","Налаштуйте, як сторінки категорій відображаються в XML-картах сайту."
"Frequency","Частота"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Запропонуйте пошуковим системам, як часто змінюються сторінки категорій. Це лише підказка і може не впливати на частоту сканування."
"Priority","Пріоритет"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Запропонуйте відносну важливість сторінок категорій. Це лише підказка і може не впливати на ранжування."
