"%1 service is not properly configured or available","%1 hizmeti düzgün yapılandırılmamış veya kullanılamıyor"
"Invalid AI request data","Geçersiz AI istek verileri"
"Request prompt cannot be empty","İstek promptu boş olamaz"
"Claude API error","Claude API hatası"
"Invalid Claude API response: missing content","Geçersiz Claude API yanıtı: içerik eksik"
"Empty content received from Claude API","Claude API'den boş içerik alındı"
"Gemini API error","Gemini API hatası"
"Invalid Gemini API response: missing candidates","Geçersiz Gemini API yanıtı: adaylar eksik"
"Gemini API response was truncated because the max_tokens limit was reached. Consider increasing the max_tokens setting or using a shorter prompt.","max_tokens sınırına ulaşıldığı için Gemini API yanıtı kesildi. max_tokens ayarını artırmayı veya daha kısa bir prompt kullanmayı düşünün."
"Empty content received from Gemini API","Gemini API'den boş içerik alındı"
"AI services are disabled in configuration","Yapılandırmada AI hizmetleri devre dışı bırakıldı"
"No default AI provider configured","Varsayılan AI sağlayıcı yapılandırılmamış"
"No available AI provider for request validation","İstek doğrulaması için kullanılabilir AI sağlayıcı yok"
"Request validation failed: %1","İstek doğrulaması başarısız: %1"
"All AI providers failed. Last error: %1","Tüm AI sağlayıcıları başarısız oldu. Son hata: %1"
"Unsupported AI provider: %1. Supported providers: %2","Desteklenmeyen AI sağlayıcı: %1. Desteklenen sağlayıcılar: %2"
"Service class %1 must extend %2","Hizmet sınıfı %1, %2'yi genişletmelidir"
"Failed to create AI service for provider %1: %2","%1 sağlayıcısı için AI hizmeti oluşturulamadı: %2"
"Not configured","Yapılandırılmamış"
Unknown,Bilinmiyor
"Unknown API error","Bilinmeyen API hatası"
"Temperature must be between 0 and 2","Sıcaklık 0 ile 2 arasında olmalıdır"
"Max tokens must be greater than 0","Maksimum token sayısı 0'dan büyük olmalıdır"
"Frequency penalty must be between -2 and 2","Frekans cezası -2 ile 2 arasında olmalıdır"
"Format output as JSON.","Çıktıyı JSON olarak biçimlendir."
"OpenAI API returned an incomplete response because the model's context window tokens number was exceeded.","Modelin bağlam penceresi token sayısı aşıldığı için OpenAI API eksik bir yanıt döndürdü."
"OpenAI API returned no content in the response.","OpenAI API yanıtta içerik döndürmedi."
"Not Installed","Yüklü Değil"
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt silindi."
"The record has been removed.","Kayıt kaldırıldı."
"Disallowed file type.","İzin verilmeyen dosya türü."
"Can't remove folder %s","%s klasörü kaldırılamıyor"
"Extension does not contain all necessary files. Please reinstall the extension from original package.","Uzantı gerekli tüm dosyaları içermiyor. Lütfen uzantıyı orijinal paketten yeniden yükleyin."
"Extension Information","Uzantı Bilgileri"
Status,Durum
Other,Diğer
"Advanced Reports","Advanced Reports"
"Layered Navigation","Layered Navigation"
"Cron for Magento is not running. To setup a cron job, follow the link %1","Magento için Cron çalışmıyor. Bir cron işi kurmak için %1 bağlantısını takip edin"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Cron işleri [%1] çalışmıyor. Lütfen donmuş işler için %2 tablosunu kontrol edin ve bunları kaldırın."
Remove,Kaldır
Error,Hata
Missed,Kaçırıldı
Running,Çalışıyor
Pending,Beklemede
Success,Başarılı
"Server gmt time","Sunucu GMT zamanı"
"Last job","Son iş"
Executed,Yürütüldü
none,yok
"Cron setup","Cron kurulumu"
"Cron Jobs","Cron İşleri"
"No AI-enabled modules are currently active.","Şu anda aktif AI özellikli modül yok."
"%1 module(s) using AI functionality:","%1 modül AI işlevselliğini kullanıyor:"
Provider:,Sağlayıcı:
ai_provider,ai_provider
"You have the latest version","En son sürüme sahipsiniz"
"New version %1 is available","Yeni sürüm %1 mevcut"
"View %1 details (opens in new window)","%1 ayrıntılarını görüntüle (yeni pencerede açılır)"
Details,Ayrıntılar
"View %1 user guide (opens in new window)","%1 kullanıcı kılavuzunu görüntüle (yeni pencerede açılır)"
"User Guide","Kullanıcı Kılavuzu"
"View %1 changelog (opens in new window)","%1 değişiklik günlüğünü görüntüle (yeni pencerede açılır)"
Changelog,Değişiklik Günlüğü
