"API key is not configured.","API klíč není nakonfigurován."
"AI request failed: %1","AI požadavek selhal: %1"
"SEO AI helper","SEO AI pomocník"
"General settings","Obecná nastavení"
"Configure the core settings for the SEO AI helper functionality.","Nakonfigurujte základní nastavení pro funkčnost SEO AI pomocníka."
"Enable SEO AI helper","Povolit SEO AI pomocníka"
"Activates the AI-powered SEO optimization features throughout your Magento store.","Aktivuje funkce SEO optimalizace pomocí AI v celém vašem obchodě Magento."
"Use Core AI settings","Použít základní nastavení AI"
"When enabled: Uses global AI settings from Core module (recommended)<br>When disabled: Uses the module-specific settings below","Pokud je povoleno: Používá globální nastavení AI z modulů Core (doporučeno)<br>Pokud je zakázáno: Používá níže uvedená nastavení specifická pro modul"
"AI provider","Poskytovatel AI"
"Select the AI provider for SEO content generation.","Vyberte poskytovatele AI pro generování SEO obsahu."
"AI model","Model AI"
"Select the AI model for content generation. Available models depend on the selected provider.","Vyberte model AI pro generování obsahu. Dostupné modely závisí na vybraném poskytovateli."
"API key","API klíč"
"<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Get OpenAI API key</a>","<a href=""https://platform.openai.com/api-keys"" target=""_blank"">Získat API klíč OpenAI</a>"
"<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Get Anthropic API key</a>","<a href=""https://console.anthropic.com/settings/keys"" target=""_blank"">Získat API klíč Anthropic</a>"
"<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Get Google AI Studio API key</a>","<a href=""https://aistudio.google.com/apikey"" target=""_blank"">Získat API klíč Google AI Studio</a>"
"AI helper","AI pomocník"
"Configure how the AI assistant automatically improves your store's SEO performance based on audit results.","Nakonfigurujte, jak AI asistent automaticky zlepšuje výkon SEO vašeho obchodu na základě výsledků auditu."
"Automatically fix meta-related issues","Automaticky opravovat problémy týkající se meta"
"When enabled, the system will automatically generate and apply SEO rewrites to fix issues with meta titles, descriptions, and other meta elements identified during audits. This helps maintain SEO best practices across your site without manual intervention.","Pokud je povoleno, systém automaticky generuje a aplikuje SEO přepisy pro opravu problémů s meta titulky, popisy a dalšími meta elementy identifikovanými během auditů. To pomáhá udržovat osvědčené SEO postupy na celém webu bez ruční intervence."
"Enable cron task","Povolit úlohu cron"
"Schedule automatic SEO fixes to run every 30 minutes via Magento's cron system. This ensures your site's meta information remains optimized even as new content is added. Disable if you prefer to trigger fixes manually.","Naplánujte automatické SEO opravy, které se budou spouštět každých 30 minut prostřednictvím systému cron Magento. To zajišťuje, že meta informace vašeho webu zůstávají optimalizovány i při přidávání nového obsahu. Zakažte, pokud preferujete ruční spouštění oprav."
"Re-generate SEO rewrites","Znovu generovat SEO přepisy"
"When enabled, the system will continuously refine previously generated meta content in subsequent runs until it meets recommended length guidelines and SEO best practices. This iterative improvement helps achieve optimal meta content over time.","Pokud je povoleno, systém bude průběžně zdokonalovat dříve vygenerovaný meta obsah v následných bězích, dokud nebude splňovat doporučené pokyny pro délku a osvědčené SEO postupy. Toto iterativní zlepšení pomáhá dosáhnout optimálního meta obsahu v průběhu času."
"Add store information to context","Přidat informace o obchodě do kontextu"
"Enhances AI-generated content by including your store's name and description when creating meta content. This provides relevant context to the AI, resulting in more brand-aligned and relevant meta descriptions and titles.","Vylepšuje obsah generovaný AI zahrnutím názvu a popisu vašeho obchodu při vytváření meta obsahu. To poskytuje AI relevantní kontext, výsledkem jsou meta popisy a titulky více odpovídající značce."
"Store description","Popis obchodu"
"Describe in a few words what types of products your store is selling. This context helps the AI generate more relevant and targeted meta content. This data is not required.","Popište v několika slovech, jaké typy produktů váš obchod prodává. Tento kontext pomáhá AI generovat relevantnější a cílenější meta obsah. Tato data nejsou povinná."
"AI helper store context","Kontext obchodu pro AI pomocníka"
