"Template manager","مدير القوالب"
"Rewrite manager","مدير إعادة الكتابة"
"Settings","الإعدادات"
"Preview template","معاينة القالب"
"SEO description","وصف SEO"
"Rewrite was removed","تمت إزالة إعادة الكتابة"
"Please select rewrite","يرجى تحديد إعادة الكتابة"
"This rewrite no longer exists.","إعادة الكتابة هذه لم تعد موجودة."
"New rewrite","إعادة كتابة جديدة"
"There is no sample file for this entity.","لا يوجد ملف نموذجي لهذا الكيان."
"Unable to create export file.","تعذّر إنشاء ملف التصدير."
"Unable to send export file.","تعذّر إرسال ملف التصدير."
"Import/Export rewrites","استيراد/تصدير عمليات إعادة الكتابة"
"%1 records were inserted or updated","تم إدراج أو تحديث %1 سجل"
"Rewrite was saved.","تم حفظ إعادة الكتابة."
"No data to save.","لا توجد بيانات للحفظ."
"Advanced SEO Suite","Advanced SEO Suite"
"Template was removed","تمت إزالة القالب"
"Please select template","يرجى تحديد القالب"
"Template was duplicated successfully.","تم تكرار القالب بنجاح."
"This template no longer exists.","هذا القالب لم يعد موجوداً."
"New template","قالب جديد"
"Template was saved.","تم حفظ القالب."
"Disabled","معطّل"
"At the beginning","في البداية"
"At the end","في النهاية"
"At the beginning (add to the first page)","في البداية (إضافة إلى الصفحة الأولى)"
"At the end (add to the first page)","في النهاية (إضافة إلى الصفحة الأولى)"
"Category","الفئة"
"Post","منشور"
"Tag","وسم"
"Author","المؤلف"
"Brand","العلامة التجارية"
"Open Chooser","فتح المحدد"
"Conditions combination","مجموعة الشروط"
"Filter Subselection","تحديد فرعي للفلتر"
"Category Attributes","سمات الفئة"
"Product attributes","سمات المنتج"
"Page attributes","سمات الصفحة"
"Blog Attributes","سمات المدونة"
"Brand Attributes","سمات العلامة التجارية"
"Landing Page Attributes","سمات الصفحة المقصودة"
"Product attribute","سمة المنتج"
"is","هو"
"is not","ليس"
"equals or greater than","يساوي أو أكبر من"
"equals or less than","يساوي أو أصغر من"
"greater than","أكبر من"
"less than","أصغر من"
"If number of applied filters %1 %2 while %3 of these Conditions match:","إذا كان عدد الفلاتر المطبقة %1 %2 بينما تتطابق %3 من هذه الشروط:"
"Landing Page","الصفحة المقصودة"
"Page","الصفحة"
"Attribute set","مجموعة السمات"
"Product type","نوع المنتج"
"SEO Content","محتوى SEO"
"Is Category Page — %1","صفحة فئة — %1"
"Is Landing Page — %1","صفحة مقصودة — %1"
"Is Navigation Page — %1","صفحة تنقل — %1"
